mode_key,input_fingerprint,previous_gap_region,previous_rules_decision,previous_rf_cnn_decision,input_validity,reason
nstxuG142301C50/N1/egn01w.2571E+02,a5090db4b3195a6acdd094cb5770a94309db39ea405533115c4f419d2230eb8d,tae_like,BAD,bad,INVALID,CONTINUUM_MODE_MISMATCH
nstxuG142301C50/N1/egn01w.2637E+02,cf91696f990f6c4cd0450eaaeb0f47bb3e0e6ebf70a01f1b1df15d0bdb281347,tae_like,BAD,bad,INVALID,CONTINUUM_MODE_MISMATCH
nstxuG142301C50/N1/egn01w.4362E+02,c92d2f1d73a9fbc67df755926e20efa372ad02a2c50035896a8aea5c7fe82e82,eae_like,,,INVALID,CONTINUUM_MODE_MISMATCH
nstxuG142301C50/N1/egn01w.4820E+02,5620ce720700ea2f028cc94cf1e9af6d56ea9cbad8b766693d8b846547c75d26,eae_like,,,INVALID,CONTINUUM_MODE_MISMATCH
nstxuG142301C50/N1/egn01w.5386E+02,6ccc5d740a426f3375c0d6773961264e7222354f17cb869fe43cfa9211c38e0b,tae_like,BAD,bad,INVALID,CONTINUUM_MODE_MISMATCH
nstxuG142301C50/N1/egn01w.5519E+02,7f7e5a1c8d0181b551f8f5f82c32a9d70c1da9c0a10e708922d1d50f08a37840,tae_like,BAD,bad,INVALID,CONTINUUM_MODE_MISMATCH
nstxuG142301C50/N1/egn01w.5560E+02,4437b63fefc49e2bcebe923855dd7326a2498115c29046b967ffedf8f4e6da2e,mixed,BAD,bad,INVALID,CONTINUUM_MODE_MISMATCH
nstxuG142301C50/N1/egn01w.5703E+02,57c56c7ac126bca9a46cea2196a3d6bf849245b8005b4b611d878edb748bf874,tae_like,BAD,bad,INVALID,CONTINUUM_MODE_MISMATCH
nstxuG142301C50/N1/egn01w.5856E+02,048bbfbb63d346cf3c6e82bd4e976b9196f01398fbd37ce42d21dad0f3b87ded,tae_like,BAD,bad,INVALID,CONTINUUM_MODE_MISMATCH
nstxuG142301C50/N1/egn01w.6077E+02,2e1c8f80f2a7662939dfb40b66fdfbfce77fe78536c3d0ccbc4d245523062193,tae_like,BAD,bad,INVALID,CONTINUUM_MODE_MISMATCH
nstxuG142301C50/N1/egn01w.6437E+02,61bc52267e428f88f40383cf40f47210b0cbc78875f5db9a6f9db3cd5bff000c,tae_like,BAD,bad,INVALID,CONTINUUM_MODE_MISMATCH
nstxuG142301C50/N1/egn01w.6456E+02,9e8a78cb20ff151da9ff8b78f1fadefc75885444122672feb9f19a58a2a678ed,tae_like,BAD,bad,INVALID,CONTINUUM_MODE_MISMATCH
nstxuG142301C50/N1/egn01w.6469E+02,74389c54b3b929ff50ddf0c6690fdbf429abe14690a97e4af8248c3265adf551,tae_like,BAD,bad,INVALID,CONTINUUM_MODE_MISMATCH
nstxuG142301C50/N1/egn01w.8889E+02,98b750b26b69fb6ee8b0c7af90e2ef38b8366472883cea5ef132966bad26a9e8,tae_like,GOOD,bad,INVALID,CONTINUUM_MODE_MISMATCH
nstxuG142301C50/N1/egn01w.9040E+02,dd18041f4c345d6269965126e4676e39980db907f8166a5ace4f9fa6ac0abbbd,tae_like,GOOD,bad,INVALID,CONTINUUM_MODE_MISMATCH
nstxuG142301C50/N1/egn01w.9225E+02,35f1e1e6e1593f547d30840b92aa4a1e38ba6e0e228b5b8d17e9dad2bb4ea921,tae_like,BAD,bad,INVALID,CONTINUUM_MODE_MISMATCH
nstxuG142301C50/N1/egn01w.1257E+03,177a08e440b77b45155a7d3568e060a2c382119c4d0966809423be419c8af95d,eae_like,,,INVALID,CONTINUUM_MODE_MISMATCH
nstxuG142301C50/N1/egn01w.1315E+03,15168d514f2bd3d585824eaeaa893eb024ea72f3a31bb74682cc24261687dbda,eae_like,,,INVALID,CONTINUUM_MODE_MISMATCH
nstxuG142301C50/N1/egn01w.1325E+03,204032e88a3586795ae96ca035591e948badf1397532ac2bebd78322a6c2af65,eae_like,,,INVALID,CONTINUUM_MODE_MISMATCH
nstxuG142301C50/N1/egn01w.1335E+03,03153ff9966a6ebdeed97fd34d1294e631fcd5bc2f28bfc3fc38fb59a7d3ef69,eae_like,,,INVALID,CONTINUUM_MODE_MISMATCH
nstxuG142301C50/N1/egn01w.1446E+03,60049d7c265bcd84e2d3b10149137366bf88528229e8d658648b1ee24be0d318,eae_like,,,INVALID,CONTINUUM_MODE_MISMATCH
nstxuG142301C50/N1/egn01w.1462E+03,7393b1e3bb82cb2747bfbadf614b7708e10c4432aeaaf425f393e08e1ba8b9e1,eae_like,,,INVALID,CONTINUUM_MODE_MISMATCH
nstxuG142301C50/N1/egn01w.1471E+03,fe6898c6dd7cc96f3cf2b9f114e5de9db75344d9595709c694c04e278226e85e,eae_like,,,INVALID,CONTINUUM_MODE_MISMATCH
nstxuG142301C50/N1/egn01w.1481E+03,a6b86593b9b4e87cf41909fa479f548cec17ba40fd690ec714553f6c8ce5e6a0,eae_like,,,INVALID,CONTINUUM_MODE_MISMATCH
nstxuG142301C50/N1/egn01w.1487E+03,da04d69edf5ecf4ff9e46dbb9758741d1d0577aa4996df6eeda404112de91cf3,eae_like,,,INVALID,CONTINUUM_MODE_MISMATCH
nstxuG142301C50/N1/egn01w.1509E+03,e87e82f0df726cfc9817a99804cbd8074e2f2e6b57cba7d1c572861b8e5c80b2,eae_like,,,INVALID,CONTINUUM_MODE_MISMATCH
nstxuG142301C50/N1/egn01w.1522E+03,7297263118473b0c3eeadb5e53d6c31e8ff46a941ced0e746d8761200d8776f2,eae_like,,,INVALID,CONTINUUM_MODE_MISMATCH
nstxuG142301C50/N1/egn01w.1537E+03,64df9198ac7b4541a1924a6c3b41ba89794e83a9596040efac82b3e7f8bf70e4,eae_like,,,INVALID,CONTINUUM_MODE_MISMATCH
nstxuG142301C50/N1/egn01w.1539E+03,59b6fabc90e13a9d79100985ecc4c971616e452d3978b659a260d5a10b412c37,eae_like,,,INVALID,CONTINUUM_MODE_MISMATCH
nstxuG142301C50/N1/egn01w.1545E+03,8888e8f75c64100a16b9dcdf0aeafac6eebfc6e79ac1aa6de67697cd378a9586,eae_like,,,INVALID,CONTINUUM_MODE_MISMATCH
nstxuG142301C50/N1/egn01w.1548E+03,3550feccf42be4524ed8d995feb5446f3cb3dfafed2130c880f8c0c641afa7e6,eae_like,,,INVALID,CONTINUUM_MODE_MISMATCH
nstxuG142301C50/N1/egn01w.1549E+03,f1e2746c97328e38a2c2a6b3997d121b0445cb85434658358f257ed75667eced,eae_like,,,INVALID,CONTINUUM_MODE_MISMATCH
nstxuG142301C50/N1/egn01w.1550E+03,af2ef2f7398e13fbd0bf94f4996e37040d3ffc320d7c04255c2872fc01c34929,eae_like,,,INVALID,CONTINUUM_MODE_MISMATCH
nstxuG142301C50/N1/egn01w.1552E+03,09b47db3b55cb0e4df14cd492e05c08b9aa63df8ec84717634d8d0cd0d51be78,eae_like,,,INVALID,CONTINUUM_MODE_MISMATCH
nstxuG142301C50/N1/egn01w.1554E+03,889c871510ec6c84ef74e39582e4bd6544ce0858374aac3689b7459a267abbe9,eae_like,,,INVALID,CONTINUUM_MODE_MISMATCH
nstxuG142301C50/N1/egn01w.1558E+03,232529fe7348f96ec04a176f3bc9dcb3e7a574320b7ad3977bb7c6fb651b98cf,eae_like,,,INVALID,CONTINUUM_MODE_MISMATCH
nstxuG142301C50/N1/egn01w.1564E+03,922228583fbf0f03a105f2d277507e5b8391626abd0f81e6be50f9d051b111db,eae_like,,,INVALID,CONTINUUM_MODE_MISMATCH
nstxuG142301C50/N1/egn01w.1571E+03,7447f6c5543b80544de9e299dd6d615a0b71151182a78e3149179fca30c73715,eae_like,,,INVALID,CONTINUUM_MODE_MISMATCH
nstxuG142301C50/N1/egn01w.1577E+03,a4a7dabf668a2030138ccbd502e6c8507502a1248efe418fbeccfd36e896ab31,eae_like,,,INVALID,CONTINUUM_MODE_MISMATCH
nstxuG142301C50/N1/egn01w.1587E+03,5c8c8ea2f713ab988868146b35b529eec5f92f1b961b5312205ed4b462440f1f,eae_like,,,INVALID,CONTINUUM_MODE_MISMATCH
nstxuG142301C50/N1/egn01w.1595E+03,a9eb1121a02f4144cbb35c882a7a096a9b080bd815ff593df61f73d2d737bc65,eae_like,,,INVALID,CONTINUUM_MODE_MISMATCH
nstxuG142301C50/N1/egn01w.1598E+03,8304b9ee186c6d7c8a6dff33fd680f4a56d20233311da20e87a561411070658c,eae_like,,,INVALID,CONTINUUM_MODE_MISMATCH
