path,omega,nr,nhar,comparison_to_last_rules,input_fingerprint,mode_sha256
nstxuG142301C50/N1/egn01w.4201E+02,6.481393377594945,201,25,unchanged_inputs,2d6ac4f345323153d8e1fb86a3d00f16f00d1d061a4dbf16815921ab33302c65,eb91fc8cd8273521ff9dae92b4e0dd22768815fc410e550ba9d039c6dbe8675d
nstxuG142301C50/N1/egn01w.4206E+02,6.484984712932923,201,25,unchanged_inputs,7a3f3779bd980f903355bbaaa0bad86d8511495d062ec58fb7a8351ae536d4f0,26592340261365edc147e357131736e41160c8ee5bb9d5ddd925c7885f76b2a9
nstxuG142301C50/N1/egn01w.4229E+02,6.5031013287082775,201,25,unchanged_inputs,9e09c3da9ecbcd2dff913257eae4621b01f928bc92b2d9003b410d44bcd62f77,6af614c6e721cb5985c217a89a693a56cb0dca8730ffcc54492fe0827efc537d
nstxuG142301C50/N1/egn01w.4277E+02,6.539718445925153,201,25,unchanged_inputs,134122d2154a2911285415ff8883db8331b37945dada41e8e12014f1c42b0ebc,abf873d017972d8177b8523c512139451051a97ef2f64d5e963957aa14f61ce2
nstxuG142301C50/N1/egn01w.4472E+02,6.68759453327184,201,25,unchanged_inputs,f8321d931255fea6a2ca5996a1842bf9f097355130fb6f0a1717f7f17bde1b0d,242c7c0d23eea4a65a73344b2434dac4b15bd2f5226348d940527a69d3383551
nstxuG142301C50/N1/egn01w.4655E+02,6.82306414732799,201,25,unchanged_inputs,f2ce81752617df23a282859fe4eb0aa6732cd6f07adee03ec97e18275a5b3e4c,244fb24c33b47cc40b765b1bc33131b9608e986aa4b8be92c286584528581601
nstxuG142301C50/N1/egn01w.4671E+02,6.834106098661564,201,25,unchanged_inputs,5eb1cfd2e583647831dcc8ace2d855cd92841bfead7c772dd47002c80960f3f8,4a8b59dd8d0a041efae7d3dc0cec92f88ba3a41bcfa14ce61633517d2df9357c
nstxuG142301C50/N1/egn01w.5347E+02,7.312217437185811,201,25,unchanged_inputs,35c4a40e1ff5115688534e64647c908e283781b066b720075e271d61e3c3f446,03147c60dce2cf86760513dec01f33cf060a1a60d66d14911e8b99de9853da8a
nstxuG142301C50/N1/egn01w.1187E+03,10.896977565627521,201,25,new_filename,71d395c73c4d407dbe47d93a5f34ce286db25c7974cea403a120d72fdb1a5c4c,fc5a1244a922ada921f09f27f64fc9c102b1ff9bd527df5ce91fe4f5fa06c1ae
nstxuG142301C50/N1/egn01w.1188E+03,10.899467710928777,201,25,new_filename,125506a54b7e7caa80da5f88ee77633547a74f0fd369a1e01cf58dabfdc34058,c6f15b7c9d94ce41bbf27ea96fb384d69a8b6726f9b2b0b8f5fe0de04abd25fe
nstxuG142301C50/N1/egn01w.1570E+03,12.52858081232877,201,25,new_filename,fabcc97e354afeb29d32f50cc5862cec24f10ae42d1dfe0f93bb7d68eb64dd41,23ba269f0465a58e65bc99fa77528e9c45d2a2f92498ea22c73706d8c3366967
nstxuG142301C50/N1/egn01w.1583E+03,12.582240970071561,201,25,new_filename,aa5d18df56ee4ea6b677fcfee349f88858f944fa6213cebefa377eb3fa57c606,284d9ff49bbbdea783649458761cc5629a03d1e4b6f575a7f1ba77a83c260e95
nstxuG142301C50/N1/egn01w.2849E+03,16.880069901171044,201,25,new_filename,7b214a5cc24559d49fe85b5cfcf1bc19deae6056050348f32278cf7ccbaad9ce,248b3d8763719ae9327e6bc4139f50ba940cf4905f479205eb3a9f1cb9b9182f
nstxuG142301C50/N1/egn01w.2888E+03,16.99356737818289,201,25,new_filename,647ed3b1f6124729c6f2aa7ff555caa553e4b596af84fe4250f864800e4b9e38,25dac92e1aa939c3a241b12e03de6f4543b893e6122c1c2cc23c6a3efe76d847
nstxuG142301C50/N1/egn01w.2894E+03,17.012550997641952,201,25,new_filename,bfda28c76d91b90f42e34c8b7da2d4c32b7372d435fbf87c2687776714547617,60a44e14a6292904ffa3e05ba17af020b05b282899dc75b17f32f1ce853fd746
nstxuG142301C50/N1/egn01w.2949E+03,17.173196201148972,201,25,new_filename,224b54d75abb8808fda0fc04a44d5c03970366a61bc1eb3157309adb6f54a198,27608c9421edadf551931c82e669bf1614a294ba53002dae932565d990d079a8
nstxuG142301C50/N1/egn01w.2950E+03,17.17652400730962,201,25,new_filename,b6a32645c8fa368e52f6b5240e4f7e3072bf985a87bbcb0eea9be76f72c54e1a,63f78ba99ce02e745f5aa4d60e9129e2322ddff3c347cfcc5b4d6cefa355ef7f
nstxuG142301C50/N1/egn01w.2954E+03,17.187388755620848,201,25,new_filename,b88315da18bf7f6b11be9ec4c02cd74f05e6c411b82bd4e1ec9051c4c2f02594,b7bf857ba7804514ff07fb1808fc2e03da67aad3a08451a02620bdd36c2f67b9
