path,omega,nr,nhar,input_fingerprint,gap_region,processing_status,rule_decision,rule_primary_reason,rule_triggered_rules,final_decision,overall_rule_severity,rule_margin,nearest_gate
nstxuG142301C50/N1/egn01w.4201E+02,6.481393377594945,201,25,2d6ac4f345323153d8e1fb86a3d00f16f00d1d061a4dbf16815921ab33302c65,tae_like,RULE_EVALUATED,BAD,BAD_AXIS_SPIKE,"[""BAD_AXIS_SPIKE""]",BAD,18.450604881062745,-17.450604881062745,BAD_CONT_CROSS_WINDOW
nstxuG142301C50/N1/egn01w.4206E+02,6.484984712932923,201,25,7a3f3779bd980f903355bbaaa0bad86d8511495d062ec58fb7a8351ae536d4f0,tae_like,RULE_EVALUATED,BAD,BAD_AXIS_SPIKE,"[""BAD_AXIS_SPIKE""]",BAD,6.732384918124202,-5.732384918124202,BAD_CONT_CROSS_WINDOW
nstxuG142301C50/N1/egn01w.4229E+02,6.5031013287082775,201,25,9e09c3da9ecbcd2dff913257eae4621b01f928bc92b2d9003b410d44bcd62f77,tae_like,RULE_EVALUATED,BAD,BAD_AXIS_SPIKE,"[""BAD_AXIS_SPIKE""]",BAD,5.0,-4.0,BAD_AXIS_SPIKE
nstxuG142301C50/N1/egn01w.4277E+02,6.539718445925153,201,25,134122d2154a2911285415ff8883db8331b37945dada41e8e12014f1c42b0ebc,tae_like,RULE_EVALUATED,BAD,BAD_AXIS_SPIKE,"[""BAD_AXIS_SPIKE""]",BAD,5.0,-4.0,BAD_AXIS_SPIKE
nstxuG142301C50/N1/egn01w.4472E+02,6.68759453327184,201,25,f8321d931255fea6a2ca5996a1842bf9f097355130fb6f0a1717f7f17bde1b0d,tae_like,RULE_EVALUATED,BAD,BAD_AXIS_SPIKE,"[""BAD_AXIS_SPIKE""]",BAD,3.5712440727331165,-2.5712440727331165,BAD_AXIS_SPIKE
nstxuG142301C50/N1/egn01w.4655E+02,6.82306414732799,201,25,f2ce81752617df23a282859fe4eb0aa6732cd6f07adee03ec97e18275a5b3e4c,tae_like,RULE_EVALUATED,BAD,BAD_AXIS_SPIKE,"[""BAD_AXIS_SPIKE""]",BAD,3.8515377143665472,-2.8515377143665472,BAD_AXIS_SPIKE
nstxuG142301C50/N1/egn01w.4671E+02,6.834106098661564,201,25,5eb1cfd2e583647831dcc8ace2d855cd92841bfead7c772dd47002c80960f3f8,tae_like,RULE_EVALUATED,BAD,BAD_AXIS_SPIKE,"[""BAD_AXIS_SPIKE""]",BAD,3.7867593407292532,-2.7867593407292532,BAD_AXIS_SPIKE
nstxuG142301C50/N1/egn01w.5347E+02,7.312217437185811,201,25,35c4a40e1ff5115688534e64647c908e283781b066b720075e271d61e3c3f446,tae_like,RULE_EVALUATED,BAD,BAD_CONT_CROSS_WINDOW,"[""BAD_CONT_CROSS_WINDOW""]",BAD,1.0529976873428133,-0.05299768734281329,BAD_CONT_CROSS_WINDOW
nstxuG142301C50/N1/egn01w.1187E+03,10.896977565627521,201,25,71d395c73c4d407dbe47d93a5f34ce286db25c7974cea403a120d72fdb1a5c4c,eae_like,ROUTED_EAE,,,[],,,,
nstxuG142301C50/N1/egn01w.1188E+03,10.899467710928777,201,25,125506a54b7e7caa80da5f88ee77633547a74f0fd369a1e01cf58dabfdc34058,eae_like,ROUTED_EAE,,,[],,,,
nstxuG142301C50/N1/egn01w.1570E+03,12.52858081232877,201,25,fabcc97e354afeb29d32f50cc5862cec24f10ae42d1dfe0f93bb7d68eb64dd41,eae_like,ROUTED_EAE,,,[],,,,
nstxuG142301C50/N1/egn01w.1583E+03,12.582240970071561,201,25,aa5d18df56ee4ea6b677fcfee349f88858f944fa6213cebefa377eb3fa57c606,eae_like,ROUTED_EAE,,,[],,,,
nstxuG142301C50/N1/egn01w.2849E+03,16.880069901171044,201,25,7b214a5cc24559d49fe85b5cfcf1bc19deae6056050348f32278cf7ccbaad9ce,eae_like,ROUTED_EAE,,,[],,,,
nstxuG142301C50/N1/egn01w.2888E+03,16.99356737818289,201,25,647ed3b1f6124729c6f2aa7ff555caa553e4b596af84fe4250f864800e4b9e38,eae_like,ROUTED_EAE,,,[],,,,
nstxuG142301C50/N1/egn01w.2894E+03,17.012550997641952,201,25,bfda28c76d91b90f42e34c8b7da2d4c32b7372d435fbf87c2687776714547617,eae_like,ROUTED_EAE,,,[],,,,
nstxuG142301C50/N1/egn01w.2949E+03,17.173196201148972,201,25,224b54d75abb8808fda0fc04a44d5c03970366a61bc1eb3157309adb6f54a198,eae_like,ROUTED_EAE,,,[],,,,
nstxuG142301C50/N1/egn01w.2950E+03,17.17652400730962,201,25,b6a32645c8fa368e52f6b5240e4f7e3072bf985a87bbcb0eea9be76f72c54e1a,eae_like,ROUTED_EAE,,,[],,,,
nstxuG142301C50/N1/egn01w.2954E+03,17.187388755620848,201,25,b88315da18bf7f6b11be9ec4c02cd74f05e6c411b82bd4e1ec9051c4c2f02594,eae_like,ROUTED_EAE,,,[],,,,
