mode_key,label,input_fingerprint,v4_decision,v5_decision,v5_reason,new_rejection
nstx_120113/N7/egn07w.2630E+02,bad,08722db9985c2b61a574410970f8d4f1f8649578d49e9284ad13ad65aa1ad89f,REVIEW,BAD,BAD_CONTINUUM_CROSSING_TAIL,True
nstx_135388/N4/egn04w.7336E+02,bad,9fb965fe181ce581733e95e3f219bbe2a1101285567d5f70800b3ff67c7e8962,REVIEW,BAD,BAD_CONTINUUM_CROSSING_TAIL,True
nstx_141711/N9/egn09w.1566E+03,bad,142211daa4d7b42d3b9938f3ebc4bd34ed8912fd3ad7d30581f94708669e4ad9,REVIEW,BAD,BAD_CONTINUUM_CROSSING_TAIL,True
nstxuE204669M03t025/N10/egn10w.2352E+02,bad,ac40a2faa5006166846c107c248581e682ed5d52847a453580e21e014faea801,REVIEW,BAD,BAD_CONTINUUM_CROSSING_TAIL,True
nstxuG121123B12/N8/egn08w.2892E+02,bad,3308a4b00b7a07b080a0c05cb9d271998692d849de42779511bdbc49d7d8066b,REVIEW,BAD,BAD_CONTINUUM_CROSSING_TAIL,True
nstxuG121123B12/N9/egn09w.1505E+02,bad,08d84d4b75bb5b5f84c352d3b429c85e99d1fc92a2dc026f9cf5e93ead5b9891,REVIEW,BAD,BAD_CONTINUUM_CROSSING_TAIL,True
nstxuG121123J38/N8/egn08w.2421E+02,bad,97f1df133f7deffd9bacfc37bc761a4ddea2d715b5e41f1d61b4798d7842f662,REVIEW,BAD,BAD_CONTINUUM_CROSSING_TAIL,True
nstxuG142301W29/N10/egn10w.1779E+02,bad,3814aa75da4b28601a250485e03fca28d2cf616646fff073d9b809c2e86097ac,REVIEW,BAD,BAD_CONTINUUM_CROSSING_TAIL,True
nstxu_204202/N7/egn07w.3718E+02,bad,b74f4872caf64e1ff7e0c631e1b820c8e5bb174b7d7b4e7f5cf4460c25862c24,REVIEW,BAD,BAD_CONTINUUM_CROSSING_TAIL,True
nstxu_204202/N8/egn08w.4276E+02,bad,3238a4ca0ad7b4ccbf036b5f55f8f3a0ae95920a95b9dba9c3baa7f4f00937be,REVIEW,BAD,BAD_CONTINUUM_CROSSING_TAIL,True
nstxu_204202/N9/egn09w.3737E+02,good,a5943ed015a38f0d03dbd83265253ce2e34d54d80e139ad26f06b6c26ffbc0fb,REVIEW,BAD,BAD_CONTINUUM_CROSSING_TAIL,True
