mode_key,label,input_fingerprint,v4_decision,v5_decision,v5_reason,new_rejection
nstx_120113/N1/egn01w.1388E+02,bad,c7f2d7e2f2ce3639d2df21d5d9477b72dcb1d256fb917a37ff3bb18dbfe6e233,BAD,BAD,BAD_CONT_CROSS_WINDOW,False
nstx_120113/N1/egn01w.1397E+02,bad,c0b6052f67c666baf5fc492cedf9bbc1e7b34211da52e5c37f6a1aca507ee7d9,BAD,BAD,BAD_CONT_CROSS_WINDOW,False
nstx_120113/N1/egn01w.1406E+02,bad,12319c1b9537dd8215a0c71a6ba794e0a235fbf2692d7ea215fbb624aee6d255,BAD,BAD,BAD_CONT_CROSS_WINDOW,False
nstx_120113/N1/egn01w.1415E+02,bad,7c43604e57901b3098662b6a69b9a601985e500a890a2b769c2b7abedaf58ada,BAD,BAD,BAD_GRID_SCALE_SPIKE,False
nstx_120113/N1/egn01w.1425E+02,bad,73cdfe42dd5556d72c1e828066f4c3a26f39fcbefd913e43b5bc7defbcfb5238,BAD,BAD,BAD_CONT_CROSS_WINDOW,False
nstx_120113/N1/egn01w.1435E+02,bad,39ade8faddf05bed6eff7cf941c54b9b37e44e94e8d52879228e3f9589201a7a,BAD,BAD,BAD_CONT_CROSS_WINDOW,False
nstx_120113/N1/egn01w.1445E+02,bad,9a7ebe1b9a0dcb9558aea3b8b1ba69d57b45e757cdeea4bbd211925978b4a7d9,BAD,BAD,BAD_AXIS_SPIKE,False
nstx_120113/N1/egn01w.1455E+02,bad,7e81aa72bed7cfd20ce8aa9ff10853d84dcde34dd1072323e39f510b50919435,BAD,BAD,BAD_AXIS_SPIKE,False
nstx_120113/N1/egn01w.1602E+02,bad,170e7ee8b64025df5a2e3b75d07b6cbd2c95a159f55159c542897bf39b45a5bf,BAD,BAD,BAD_AXIS_SPIKE,False
nstx_120113/N1/egn01w.1621E+02,bad,c325f217a7629ff588a8b8cf172c3dcb7d7efb27ad86d7fc0786173af1ee63cc,BAD,BAD,BAD_AXIS_SPIKE,False
nstx_120113/N1/egn01w.1642E+02,bad,bfe18fa8a826a769a2a3aa525a5ba6c4a83832d9866c4bd2c243fe2eef973e92,BAD,BAD,BAD_AXIS_SPIKE,False
nstx_120113/N1/egn01w.1728E+02,bad,55c61b4921ecae065a5c9fe15988c06bdb729c88886adefc4137ab63620e0f0f,BAD,BAD,BAD_AXIS_SPIKE,False
nstx_120113/N1/egn01w.1754E+02,bad,00bd8aeb119f2bf4310878c6bc174af002c58430ac027a7121d4445c95700a04,BAD,BAD,BAD_AXIS_SPIKE,False
nstx_120113/N1/egn01w.1780E+02,bad,0a684b620f434a416ef84c56b98fa9ed26bb4de0cd01959ac752dc4985ae6235,BAD,BAD,BAD_AXIS_SPIKE,False
nstx_120113/N1/egn01w.1807E+02,bad,a7b769baefcd33bd024ca895ed9f57d430f3c5ee0da8dbfdd6b2e2695fa60eaa,BAD,BAD,BAD_AXIS_SPIKE,False
nstx_120113/N1/egn01w.1833E+02,bad,eabea2252accf7c1d7c81d302d9dad39c354ebb9acf8727298122c7db58210d4,BAD,BAD,BAD_AXIS_SPIKE,False
nstx_120113/N1/egn01w.1861E+02,bad,04ed8ef4a0956665f729cb537832cf6b23bf3780e40ca95b1f10491c6dbb1c82,BAD,BAD,BAD_AXIS_SPIKE,False
nstx_120113/N1/egn01w.1888E+02,bad,266dc8deef70214aa807aac36d7bbb74afb75a6b6e93e92d90da3d7d6752296a,BAD,BAD,BAD_AXIS_SPIKE,False
nstx_120113/N1/egn01w.1916E+02,bad,b0a569baffafa97a2229328ff5d5794f6715dc7c04c4992a184879f07aea9360,BAD,BAD,BAD_AXIS_SPIKE,False
nstx_120113/N1/egn01w.1945E+02,bad,b49f75b74feae8a6e63b87c782dbdb9456380e0671d4b5ea3b188badc6eea8ee,BAD,BAD,BAD_AXIS_SPIKE,False
nstx_120113/N1/egn01w.1974E+02,bad,11f7381e832f65a605c878538e709010a255867b219072dd9f8f78c2fda79995,BAD,BAD,BAD_AXIS_SPIKE,False
nstx_120113/N1/egn01w.2065E+02,bad,1b6319b23918b83e08b4d92b3d5cff8bdb4b577d1f458109e358604f6e1d731d,BAD,BAD,BAD_AXIS_SPIKE,False
nstx_120113/N1/egn01w.2096E+02,bad,46907bb3b41d177866781802add519f814ec92d6eadfc53a0a419c8872b01d6c,BAD,BAD,BAD_AXIS_SPIKE,False
nstx_120113/N1/egn01w.2125E+02,bad,e281f4be2054029b7de7fbffb0da854244edbea51e7313268c15000976ee3ccc,BAD,BAD,BAD_AXIS_SPIKE,False
nstx_120113/N1/egn01w.2163E+02,bad,1c6a8cde7651e2c8968f27bb0b79a9d0593b1e0ddce6a2bb4fb90f6333f127f2,BAD,BAD,BAD_CONT_CROSS_WINDOW,False
nstx_120113/N1/egn01w.2196E+02,bad,982cf8e97c19e758f34acdcf08b2b3267ecc92bce829d9d6c923f71ab9032cb8,BAD,BAD,BAD_CONT_CROSS_WINDOW,False
nstx_120113/N1/egn01w.2231E+02,bad,21f5b4a5489686e6f0ada3cf40b0c80f21eb045d57abe01b735fbd3fc054ee22,BAD,BAD,BAD_CONT_CROSS_WINDOW,False
nstx_120113/N1/egn01w.2266E+02,bad,48a01e5f7327442ca3a398b512bf8b16cf51ec03d8f5082d797d9bdd09ee5636,BAD,BAD,BAD_CONT_CROSS_WINDOW,False
nstx_120113/N1/egn01w.2340E+02,bad,ca04c128fbe46e0a733ad60529d5e4edc899b99345691a6c663b9d7f1f37005e,BAD,BAD,BAD_CONT_CROSS_WINDOW,False
