shot,input_modes,current_v6_REVIEW,current_v6_BAD,current_v6_ROUTED_EAE,current_v6_INVALID,last_REVIEW,last_BAD,last_ROUTED_EAE,last_INVALID,mean_REVIEW,mean_BAD,mean_ROUTED_EAE,mean_INVALID
nstxuE202806A02t025,700,77,127,496,0,77,127,496,0,77,127,496,0
nstxuE203262A04t018,573,144,84,345,0,146,82,345,0,146,82,345,0
nstxuE203609A01t020,247,35,50,162,0,35,50,162,0,35,50,162,0
nstxuE203963A01t025,693,27,69,597,0,27,69,597,0,27,69,597,0
nstxuE204186A01t020,1047,54,151,842,0,54,151,842,0,54,151,842,0
nstxuE204621A03t030,1050,16,139,895,0,16,139,895,0,16,139,895,0
nstxuE204645A16t015,535,63,109,363,0,88,84,363,0,88,84,363,0
nstxuE204707A04t030,1134,60,174,900,0,60,174,900,0,60,174,900,0
nstxuE204708F03t017,623,92,69,462,0,92,68,463,0,92,68,463,0
nstxuE204944A01t017,388,26,51,311,0,26,51,311,0,26,51,311,0
nstxuE204954A01t022,503,27,90,386,0,27,90,386,0,27,90,386,0
nstxuE205017A01t025,853,60,159,634,0,60,159,634,0,60,159,634,0
nstxuE205035A01t020,235,7,45,183,0,7,45,183,0,7,45,183,0
nstxuE205040A01t016,297,76,71,150,0,90,57,150,0,90,57,150,0
nstxuE205045A01t022,1127,14,289,824,0,14,289,824,0,14,289,824,0
nstxuE205054A01t037,639,33,184,422,0,33,184,422,0,33,184,422,0
nstxuE205057A01t020,967,34,194,739,0,34,194,739,0,34,194,739,0
nstxuG121123K34,1258,1,159,1001,97,1,159,1001,97,1,159,1001,97
nstxuG121123K70,478,7,80,391,0,7,80,391,0,7,80,391,0
nstxuG121123N80,186,10,150,26,0,10,150,26,0,10,150,26,0
nstxuG133964R06,610,1,67,542,0,1,65,544,0,1,65,544,0
nstxuG142301C50,611,2,206,403,0,2,206,403,0,2,206,403,0
nstxuG142301E72,648,0,61,587,0,0,61,587,0,0,61,587,0
nstxuG142301H56,913,2,207,704,0,2,206,705,0,2,206,705,0
nstxuG142301L94,958,6,109,843,0,6,109,843,0,6,109,843,0
nstxuG142301U84,1101,16,157,928,0,16,156,929,0,16,156,929,0
nstxuG142301V21,951,9,122,820,0,9,122,820,0,9,122,820,0
