cohort,shot,n,nr,onset,changed_last,changed_mean,legacy_repaired,datcon_sha256
training,nstxuE205052A01t022,N10,201,0.985,True,True,True,8ed892a73bd6fde5be6d2fde2651498bfeed33b387280506de65ebb6e3e46402
training,nstx_120113,N8,201,0.97,True,True,True,68edf0883cc35e50286eaff1a1a47f7d897c4ac27cafd52c45019dffd54cbbe0
training,nstx_120113,N9,201,0.96,True,True,True,00ebc8c16be80b7b42cf626f863347926d472a2764a249d15ceb24c29243a7df
training,nstx_120113,N10,201,0.95,True,True,True,5fd30df5fcd7c472d01752d7e3edcd582812e7ce5de0062eb3e2bf0c19ceb847
training,nstx_135388,N2,201,0.955,True,True,True,cec61c2e1f9c0ac0c585397a2d859f323a471c3f181dfd8a3653f07c46c14337
training,nstx_135388,N3,201,0.96,True,True,True,405962698a5e92d6fbe4f124eaf83c52f0107cf3d17c59e06558c649ad5c234b
training,nstx_135388,N4,201,0.96,True,True,True,a33e710111adf2a3c2fff90d7718e0789b97737cd564f14202fe5504c2cc3851
training,nstxuG133964S31,N9,201,0.92,True,True,True,088037b1873caa1e0a1c5f097f54816a4df93f34b2d35a21176b8972eded9ce3
training,nstxuG133964S31,N10,201,0.895,True,True,True,74b91cafeab892f327f019cea85910d0c94ad37d8a71b735587c8a3f2e5a87de
training,nstxuG142301Y93,N10,201,0.965,True,False,True,13c9a7221314d03e1bd53fe42ba1dc9aad2f849c7521e9aa8721806dd2ed9f3d
training,nstxu_204202,N8,201,0.98,True,True,True,d3ab1ea5b7c5a9dda6fef9cb59a66b178987e763a238cd9861e150dff986718d
training,nstxu_204202,N10,201,0.965,True,True,True,894673af3c9ac8514c6c593772f0a751afe6fdfba39c3096d845c64677417886
shots,nstxuE204707A04t030,N10,201,0.99,True,False,True,4784dd658e6dc85e01d6e790066a1cefaee5b6b129955b4c4aa1032d2dbc8307
shots,nstxuE205057A01t020,N9,201,0.985,True,True,True,a2aadbbe67b5e7d572cdba20555c6129ac6309a34d9f737e6813cb600efc892c
shots,nstxuE205057A01t020,N10,201,0.975,True,True,True,296eb1a37b82f09b7a0cc68b9f3434b79fc5c936b14bdb757bca8544287fa383
shots,nstxuG121123K34,N8,201,0.915,True,True,True,51c0b8586be38088d1442012b117a6283fc6cae6bcda48c434387d401204fcc0
shots,nstxuG121123K34,N10,201,0.88,True,True,True,a37ed76cb749cc3af1804e285bb4c4c750f633acd55f5f9e98c382f689986b22
shots,nstxuG142301E72,N9,201,0.965,True,False,True,48ca32f8b887df89db82b920a3bd7ba0c4167b3f44ecf46ca36b1e9e1d753748
shots,nstxuG142301E72,N10,201,0.935,True,True,False,c9290c7fd580358f9b56279666ac2065ffcf9674e2fd78cb7f02f2e6bb7e4a4d
shots,nstxuG142301H56,N6,201,0.96,True,True,True,10d183a7cb0d2f221bfb0ba0083de12c2953345530e8f514b89f644a5cfeb83d
shots,nstxuG142301H56,N7,201,0.915,True,True,False,93627ddcc0b19dda8dcfbea9671129a115a6af1a4cbf246f02343e27566c8568
shots,nstxuG142301H56,N8,201,0.885,True,True,True,4fa003e9f9ef10f0e65a6d672d29d098e65d6568ba911712ac0751d7fb6b7a53
shots,nstxuG142301H56,N9,201,0.86,True,True,True,06b93d1bd7a95ccb2c78511b7d98c3503cb9219a06fc7be1b8ead883aa4123fe
shots,nstxuG142301H56,N10,201,0.845,True,True,True,dbf060aff439c6d6aa9c462d831714531e35defddf0bbf01e28ed687efb76522
shots,nstxuE205040A01t016,N2,201,0.96,True,True,False,366213528b8848f108c98bd4b1034fa91726504c73cb90e00c0b77d44f2527b8
shots,nstxuE205040A01t016,N3,201,0.96,True,True,False,809cfae7a7574f7dcb23e59f828f9ef3329485a11b0aa690ec3a8e9a90d42748
