shot,input_modes,rules_good,ai_good,rules_selected,ai_selected,disagreements
nstxuE202806A02t025,700,77,85,76,84,16
nstxuE203609A01t020,247,35,42,35,42,11
nstxuE203963A01t025,693,27,31,27,31,10
nstxuE204707A04t030,1134,60,72,60,69,14
nstxuE204954A01t022,503,27,29,27,29,2
nstxuE205035A01t020,235,7,7,7,7,0
nstxuE205045A01t022,1127,14,10,14,10,6
nstxuE205054A01t037,639,33,38,33,38,5
nstxuE205057A01t020,967,34,23,34,23,13
nstxuG121123K34,1258,1,1,1,1,2
nstxuG121123K70,478,7,7,7,7,6
nstxuG121123N80,186,10,9,10,9,3
nstxuG142301E72,648,0,0,0,0,0
nstxuG142301H56,913,2,0,2,0,2
nstxuG142301V21,951,9,8,9,8,3
nstxuE205040A01t016,297,90,86,90,86,12
nstxuE204944A01t017,388,26,39,26,39,15
nstxuE204708F03t017,623,92,87,92,87,9
nstxuE204645A16t015,535,88,93,83,88,17
nstxuE203262A04t018,573,146,145,146,145,23
nstxuE204621A03t030,1050,16,16,16,16,14
nstxuE205017A01t025,853,60,59,60,59,5
nstxuE204186A01t020,1047,54,48,54,48,18
nstxuG133964R06,610,1,5,1,5,6
nstxuG142301C50,611,2,1,2,1,3
nstxuG142301L94,958,6,6,6,6,4
nstxuG142301U84,1101,16,8,16,8,10
