cohort,top2_min,local_min,radial_min,eligible_modes,good_modes,bad_modes,unlabeled_modes,good_survivors,bad_survivors,unlabeled_survivors,flagged_modes,good_flagged,bad_flagged,unlabeled_flagged,good_survivors_flagged,bad_survivors_flagged,unlabeled_survivors_flagged
batch_survivors,0.005,0.05,2.0,949,0,0,949,0,0,949,5,0,0,5,0,0,5
training,0.005,0.05,2.0,2363,575,1788,0,542,25,0,355,1,354,0,1,2,0
batch_survivors,0.005,0.05,4.0,949,0,0,949,0,0,949,4,0,0,4,0,0,4
training,0.005,0.05,4.0,2363,575,1788,0,542,25,0,294,1,293,0,1,1,0
batch_survivors,0.005,0.05,6.0,949,0,0,949,0,0,949,3,0,0,3,0,0,3
training,0.005,0.05,6.0,2363,575,1788,0,542,25,0,234,1,233,0,1,1,0
batch_survivors,0.005,0.05,8.0,949,0,0,949,0,0,949,3,0,0,3,0,0,3
training,0.005,0.05,8.0,2363,575,1788,0,542,25,0,171,1,170,0,1,1,0
batch_survivors,0.005,0.05,10.0,949,0,0,949,0,0,949,3,0,0,3,0,0,3
training,0.005,0.05,10.0,2363,575,1788,0,542,25,0,116,0,116,0,0,1,0
batch_survivors,0.005,0.05,12.0,949,0,0,949,0,0,949,2,0,0,2,0,0,2
training,0.005,0.05,12.0,2363,575,1788,0,542,25,0,80,0,80,0,0,1,0
batch_survivors,0.005,0.05,14.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.005,0.05,14.0,2363,575,1788,0,542,25,0,56,0,56,0,0,1,0
batch_survivors,0.005,0.05,16.0,949,0,0,949,0,0,949,0,0,0,0,0,0,0
training,0.005,0.05,16.0,2363,575,1788,0,542,25,0,35,0,35,0,0,0,0
batch_survivors,0.005,0.1,2.0,949,0,0,949,0,0,949,5,0,0,5,0,0,5
training,0.005,0.1,2.0,2363,575,1788,0,542,25,0,273,1,272,0,1,2,0
batch_survivors,0.005,0.1,4.0,949,0,0,949,0,0,949,4,0,0,4,0,0,4
training,0.005,0.1,4.0,2363,575,1788,0,542,25,0,225,1,224,0,1,1,0
batch_survivors,0.005,0.1,6.0,949,0,0,949,0,0,949,3,0,0,3,0,0,3
training,0.005,0.1,6.0,2363,575,1788,0,542,25,0,181,1,180,0,1,1,0
batch_survivors,0.005,0.1,8.0,949,0,0,949,0,0,949,3,0,0,3,0,0,3
training,0.005,0.1,8.0,2363,575,1788,0,542,25,0,130,1,129,0,1,1,0
batch_survivors,0.005,0.1,10.0,949,0,0,949,0,0,949,3,0,0,3,0,0,3
training,0.005,0.1,10.0,2363,575,1788,0,542,25,0,84,0,84,0,0,1,0
batch_survivors,0.005,0.1,12.0,949,0,0,949,0,0,949,2,0,0,2,0,0,2
training,0.005,0.1,12.0,2363,575,1788,0,542,25,0,56,0,56,0,0,1,0
batch_survivors,0.005,0.1,14.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.005,0.1,14.0,2363,575,1788,0,542,25,0,41,0,41,0,0,1,0
batch_survivors,0.005,0.1,16.0,949,0,0,949,0,0,949,0,0,0,0,0,0,0
training,0.005,0.1,16.0,2363,575,1788,0,542,25,0,23,0,23,0,0,0,0
batch_survivors,0.005,0.15,2.0,949,0,0,949,0,0,949,5,0,0,5,0,0,5
training,0.005,0.15,2.0,2363,575,1788,0,542,25,0,232,1,231,0,1,2,0
batch_survivors,0.005,0.15,4.0,949,0,0,949,0,0,949,4,0,0,4,0,0,4
training,0.005,0.15,4.0,2363,575,1788,0,542,25,0,191,1,190,0,1,1,0
batch_survivors,0.005,0.15,6.0,949,0,0,949,0,0,949,3,0,0,3,0,0,3
training,0.005,0.15,6.0,2363,575,1788,0,542,25,0,151,1,150,0,1,1,0
batch_survivors,0.005,0.15,8.0,949,0,0,949,0,0,949,3,0,0,3,0,0,3
training,0.005,0.15,8.0,2363,575,1788,0,542,25,0,109,1,108,0,1,1,0
batch_survivors,0.005,0.15,10.0,949,0,0,949,0,0,949,3,0,0,3,0,0,3
training,0.005,0.15,10.0,2363,575,1788,0,542,25,0,68,0,68,0,0,1,0
batch_survivors,0.005,0.15,12.0,949,0,0,949,0,0,949,2,0,0,2,0,0,2
training,0.005,0.15,12.0,2363,575,1788,0,542,25,0,43,0,43,0,0,1,0
batch_survivors,0.005,0.15,14.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.005,0.15,14.0,2363,575,1788,0,542,25,0,31,0,31,0,0,1,0
batch_survivors,0.005,0.15,16.0,949,0,0,949,0,0,949,0,0,0,0,0,0,0
training,0.005,0.15,16.0,2363,575,1788,0,542,25,0,17,0,17,0,0,0,0
batch_survivors,0.005,0.2,2.0,949,0,0,949,0,0,949,4,0,0,4,0,0,4
training,0.005,0.2,2.0,2363,575,1788,0,542,25,0,185,1,184,0,1,2,0
batch_survivors,0.005,0.2,4.0,949,0,0,949,0,0,949,4,0,0,4,0,0,4
training,0.005,0.2,4.0,2363,575,1788,0,542,25,0,152,1,151,0,1,1,0
batch_survivors,0.005,0.2,6.0,949,0,0,949,0,0,949,3,0,0,3,0,0,3
training,0.005,0.2,6.0,2363,575,1788,0,542,25,0,118,1,117,0,1,1,0
batch_survivors,0.005,0.2,8.0,949,0,0,949,0,0,949,3,0,0,3,0,0,3
training,0.005,0.2,8.0,2363,575,1788,0,542,25,0,88,1,87,0,1,1,0
batch_survivors,0.005,0.2,10.0,949,0,0,949,0,0,949,3,0,0,3,0,0,3
training,0.005,0.2,10.0,2363,575,1788,0,542,25,0,55,0,55,0,0,1,0
batch_survivors,0.005,0.2,12.0,949,0,0,949,0,0,949,2,0,0,2,0,0,2
training,0.005,0.2,12.0,2363,575,1788,0,542,25,0,36,0,36,0,0,1,0
batch_survivors,0.005,0.2,14.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.005,0.2,14.0,2363,575,1788,0,542,25,0,25,0,25,0,0,1,0
batch_survivors,0.005,0.2,16.0,949,0,0,949,0,0,949,0,0,0,0,0,0,0
training,0.005,0.2,16.0,2363,575,1788,0,542,25,0,13,0,13,0,0,0,0
batch_survivors,0.005,0.25,2.0,949,0,0,949,0,0,949,4,0,0,4,0,0,4
training,0.005,0.25,2.0,2363,575,1788,0,542,25,0,135,1,134,0,1,2,0
batch_survivors,0.005,0.25,4.0,949,0,0,949,0,0,949,4,0,0,4,0,0,4
training,0.005,0.25,4.0,2363,575,1788,0,542,25,0,111,1,110,0,1,1,0
batch_survivors,0.005,0.25,6.0,949,0,0,949,0,0,949,3,0,0,3,0,0,3
training,0.005,0.25,6.0,2363,575,1788,0,542,25,0,86,1,85,0,1,1,0
batch_survivors,0.005,0.25,8.0,949,0,0,949,0,0,949,3,0,0,3,0,0,3
training,0.005,0.25,8.0,2363,575,1788,0,542,25,0,70,1,69,0,1,1,0
batch_survivors,0.005,0.25,10.0,949,0,0,949,0,0,949,3,0,0,3,0,0,3
training,0.005,0.25,10.0,2363,575,1788,0,542,25,0,45,0,45,0,0,1,0
batch_survivors,0.005,0.25,12.0,949,0,0,949,0,0,949,2,0,0,2,0,0,2
training,0.005,0.25,12.0,2363,575,1788,0,542,25,0,28,0,28,0,0,1,0
batch_survivors,0.005,0.25,14.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.005,0.25,14.0,2363,575,1788,0,542,25,0,19,0,19,0,0,1,0
batch_survivors,0.005,0.25,16.0,949,0,0,949,0,0,949,0,0,0,0,0,0,0
training,0.005,0.25,16.0,2363,575,1788,0,542,25,0,8,0,8,0,0,0,0
batch_survivors,0.005,0.3,2.0,949,0,0,949,0,0,949,4,0,0,4,0,0,4
training,0.005,0.3,2.0,2363,575,1788,0,542,25,0,105,1,104,0,1,1,0
batch_survivors,0.005,0.3,4.0,949,0,0,949,0,0,949,4,0,0,4,0,0,4
training,0.005,0.3,4.0,2363,575,1788,0,542,25,0,88,1,87,0,1,1,0
batch_survivors,0.005,0.3,6.0,949,0,0,949,0,0,949,3,0,0,3,0,0,3
training,0.005,0.3,6.0,2363,575,1788,0,542,25,0,68,1,67,0,1,1,0
batch_survivors,0.005,0.3,8.0,949,0,0,949,0,0,949,3,0,0,3,0,0,3
training,0.005,0.3,8.0,2363,575,1788,0,542,25,0,57,1,56,0,1,1,0
batch_survivors,0.005,0.3,10.0,949,0,0,949,0,0,949,3,0,0,3,0,0,3
training,0.005,0.3,10.0,2363,575,1788,0,542,25,0,37,0,37,0,0,1,0
batch_survivors,0.005,0.3,12.0,949,0,0,949,0,0,949,2,0,0,2,0,0,2
training,0.005,0.3,12.0,2363,575,1788,0,542,25,0,24,0,24,0,0,1,0
batch_survivors,0.005,0.3,14.0,949,0,0,949,0,0,949,1,0,0,1,0,0,1
training,0.005,0.3,14.0,2363,575,1788,0,542,25,0,15,0,15,0,0,1,0
batch_survivors,0.005,0.3,16.0,949,0,0,949,0,0,949,0,0,0,0,0,0,0
training,0.005,0.3,16.0,2363,575,1788,0,542,25,0,5,0,5,0,0,0,0
