shot,mode_key,input_fingerprint,before,after
nstxuE205045A01t022,nstxuE205045A01t022/N3/egn03w.9903E+01,77865118bba1245bcb6f95a6e77b9399a1921f1c8d1ac4a92bb9a6cc5b936c03,BAD,GOOD
nstxuE205045A01t022,nstxuE205045A01t022/N4/egn04w.1205E+02,875531ab5b113b82767595bca6eeb2f788ce9346e3f5b35cfe7906a734d6e208,BAD,GOOD
nstxuE205045A01t022,nstxuE205045A01t022/N6/egn06w.1239E+02,4129f2ee3512a8661bda9ed6a3b1840b0599130c99fbefc625b1b0a1161ca09c,BAD,GOOD
nstxuE205045A01t022,nstxuE205045A01t022/N7/egn07w.1432E+02,c23b500c8a634855cc3ead336db11987234d037d07fd568c19259f580af7a5ec,BAD,GOOD
nstxuE205045A01t022,nstxuE205045A01t022/N7/egn07w.1773E+02,9b3e1d7672da297c1252533b3c7b0763ae5e8e5aa817050c3281bf36ac5b3f2f,BAD,GOOD
nstxuE205045A01t022,nstxuE205045A01t022/N8/egn08w.1465E+02,a9a1bbcbeaf80994cc8688bc771852ae6212d247ae5e4449ef3b7a11afe4986f,BAD,GOOD
nstxuE205045A01t022,nstxuE205045A01t022/N9/egn09w.1779E+02,3eba768cb0cb2b544f556ba1973004e23aca8b18b99f7fc6136f07f6efc0b081,BAD,GOOD
nstxuE205045A01t022,nstxuE205045A01t022/N10/egn10w.1795E+02,238962f7fc31e6763d817ed45a9b56107d959c5815c4edd45b08fbbe76ee6a1e,BAD,GOOD
nstxuE205057A01t020,nstxuE205057A01t020/N4/egn04w.6876E+01,a566acba0f7b831d2680f62120002a66dbedb873067da42e39e25de88d0209b7,BAD,GOOD
nstxuE205057A01t020,nstxuE205057A01t020/N4/egn04w.8295E+01,e64d216e8a2d1143cc9107bb164b246283dacb64e888bfdbbaf01ac0c9a6370d,BAD,GOOD
nstxuE205057A01t020,nstxuE205057A01t020/N6/egn06w.7003E+01,fe73a0de878caf09f87d84ee706fd1f4c72c6d85eae73b92bb65e15a9bddf82d,BAD,GOOD
nstxuE205057A01t020,nstxuE205057A01t020/N9/egn09w.8529E+01,f8bc20fca116aba5a205efe408a1f3a9c343822ae5061ef04c26e4eca4adf7b4,BAD,GOOD
nstxuE205057A01t020,nstxuE205057A01t020/N10/egn10w.8853E+01,3c5f2bcfea22cfc7d33aba49d7d545d7c3e4ff86f29eec76b2b883d15846cf22,BAD,GOOD
nstxuE204621A03t030,nstxuE204621A03t030/N9/egn09w.1326E+02,65ba9b5598092500ed6fda84f71b6e31bf21a07330e06c3cde70b8b3851f01d8,BAD,GOOD
nstxuE204621A03t030,nstxuE204621A03t030/N10/egn10w.1010E+02,ffcfe06ea214d1b2793d55df1323448a87efd0e395fc1f9473c5ad107590bd79,BAD,GOOD
nstxuE204621A03t030,nstxuE204621A03t030/N10/egn10w.1042E+02,ba291d9e946d44503aeddf8f5009f21f3290c76fab9938650237e9ac009bd426,BAD,GOOD
nstxuE204186A01t020,nstxuE204186A01t020/N2/egn02w.8520E+01,50706bcd4240ba22170f06231ba37a0011678128b48c4a30e85c4be81e88e06e,BAD,GOOD
nstxuE204186A01t020,nstxuE204186A01t020/N8/egn08w.1178E+02,3561c9f091934d39df2fb6471b177a80fb494e6e02de9fedb5c02a926520ba78,BAD,GOOD
nstxuE204186A01t020,nstxuE204186A01t020/N9/egn09w.1204E+02,4ab31490986c8e32f46226c5b57d5571ae7b5fc4441551ab53c3068cdcc295d4,BAD,GOOD
