shot,input_modes,good_before_clustering,selected_good,disagreements
nstxuE202806A02t025,700,77,76,16
nstxuE203609A01t020,247,35,35,11
nstxuE203963A01t025,693,27,27,10
nstxuE204707A04t030,1134,60,60,14
nstxuE204954A01t022,503,27,27,2
nstxuE205035A01t020,235,7,7,0
nstxuE205045A01t022,1127,22,22,14
nstxuE205054A01t037,639,33,33,5
nstxuE205057A01t020,967,39,39,16
nstxuG121123K34,1258,1,1,2
nstxuG121123K70,478,7,7,6
nstxuG121123N80,186,10,10,3
nstxuG142301E72,648,0,0,0
nstxuG142301H56,913,2,2,2
nstxuG142301V21,951,9,9,3
nstxuE205040A01t016,297,90,90,12
nstxuE204944A01t017,388,26,26,15
nstxuE204708F03t017,623,92,92,9
nstxuE204645A16t015,535,88,83,17
nstxuE203262A04t018,573,146,146,23
nstxuE204621A03t030,1050,19,19,11
nstxuE205017A01t025,853,60,60,5
nstxuE204186A01t020,1047,57,57,15
nstxuG133964R06,610,1,1,6
nstxuG142301C50,611,2,2,3
nstxuG142301L94,958,6,6,4
nstxuG142301U84,1101,16,16,10
