mode_key,input_fingerprint,reviewer,review_date,review_decision,reason
nstxuE205045A01t022/N3/egn03w.9903E+01,77865118bba1245bcb6f95a6e77b9399a1921f1c8d1ac4a92bb9a6cc5b936c03,user,2026-09-09,GOOD,"User inspected all 13 additional candidates, accepted them as GOOD, and authorized the A_cross<0.2 and K_cross<0.1 crossing-window exception."
nstxuE205045A01t022/N4/egn04w.1205E+02,875531ab5b113b82767595bca6eeb2f788ce9346e3f5b35cfe7906a734d6e208,user,2026-09-09,GOOD,"User inspected all 13 additional candidates, accepted them as GOOD, and authorized the A_cross<0.2 and K_cross<0.1 crossing-window exception."
nstxuE205045A01t022/N6/egn06w.1239E+02,4129f2ee3512a8661bda9ed6a3b1840b0599130c99fbefc625b1b0a1161ca09c,user,2026-09-09,GOOD,"User inspected all 13 additional candidates, accepted them as GOOD, and authorized the A_cross<0.2 and K_cross<0.1 crossing-window exception."
nstxuE205045A01t022/N7/egn07w.1432E+02,c23b500c8a634855cc3ead336db11987234d037d07fd568c19259f580af7a5ec,user,2026-09-09,GOOD,"User inspected all 13 additional candidates, accepted them as GOOD, and authorized the A_cross<0.2 and K_cross<0.1 crossing-window exception."
nstxuE205045A01t022/N7/egn07w.1773E+02,9b3e1d7672da297c1252533b3c7b0763ae5e8e5aa817050c3281bf36ac5b3f2f,user,2026-09-09,GOOD,"User inspected all 13 additional candidates, accepted them as GOOD, and authorized the A_cross<0.2 and K_cross<0.1 crossing-window exception."
nstxuE205045A01t022/N8/egn08w.1465E+02,a9a1bbcbeaf80994cc8688bc771852ae6212d247ae5e4449ef3b7a11afe4986f,user,2026-09-09,GOOD,"User inspected all 13 additional candidates, accepted them as GOOD, and authorized the A_cross<0.2 and K_cross<0.1 crossing-window exception."
nstxuE205045A01t022/N9/egn09w.1779E+02,3eba768cb0cb2b544f556ba1973004e23aca8b18b99f7fc6136f07f6efc0b081,user,2026-09-09,GOOD,"User inspected all 13 additional candidates, accepted them as GOOD, and authorized the A_cross<0.2 and K_cross<0.1 crossing-window exception."
nstxuE205045A01t022/N10/egn10w.1795E+02,238962f7fc31e6763d817ed45a9b56107d959c5815c4edd45b08fbbe76ee6a1e,user,2026-09-09,GOOD,"User inspected all 13 additional candidates, accepted them as GOOD, and authorized the A_cross<0.2 and K_cross<0.1 crossing-window exception."
nstxuE205057A01t020/N4/egn04w.6876E+01,a566acba0f7b831d2680f62120002a66dbedb873067da42e39e25de88d0209b7,user,2026-09-09,GOOD,"User inspected all 13 additional candidates, accepted them as GOOD, and authorized the A_cross<0.2 and K_cross<0.1 crossing-window exception."
nstxuE205057A01t020/N4/egn04w.8295E+01,e64d216e8a2d1143cc9107bb164b246283dacb64e888bfdbbaf01ac0c9a6370d,user,2026-09-09,GOOD,"User inspected all 13 additional candidates, accepted them as GOOD, and authorized the A_cross<0.2 and K_cross<0.1 crossing-window exception."
nstxuE205057A01t020/N6/egn06w.7003E+01,fe73a0de878caf09f87d84ee706fd1f4c72c6d85eae73b92bb65e15a9bddf82d,user,2026-09-09,GOOD,"User inspected all 13 additional candidates, accepted them as GOOD, and authorized the A_cross<0.2 and K_cross<0.1 crossing-window exception."
nstxuE205057A01t020/N9/egn09w.8529E+01,f8bc20fca116aba5a205efe408a1f3a9c343822ae5061ef04c26e4eca4adf7b4,user,2026-09-09,GOOD,"User inspected all 13 additional candidates, accepted them as GOOD, and authorized the A_cross<0.2 and K_cross<0.1 crossing-window exception."
nstxuE205057A01t020/N10/egn10w.8853E+01,3c5f2bcfea22cfc7d33aba49d7d545d7c3e4ff86f29eec76b2b883d15846cf22,user,2026-09-09,GOOD,"User inspected all 13 additional candidates, accepted them as GOOD, and authorized the A_cross<0.2 and K_cross<0.1 crossing-window exception."
