path,label,cohort,mode_key,training_label,baseline_decision,baseline_reason,input_fingerprint,status,error,r_start,r_end,n_qualifying,hf_total_fraction,hf_top2_ratio,hf_window_fraction,effective_length,fires,minimum_cut_ratio,candidate,n_firing_windows,n_scanned_windows,native_dr,actual_window_dr,nr,nhar,global_reference,top2_energy_share,top2_harmonic_indices,candidate_total_reference,gap_region,shot,baseline_config
nstxuG121123J38/N8/egn08w.1596E+02,bad,training,nstxuG121123J38/N8/egn08w.1596E+02,bad,BAD,BAD_CONT_CROSS_WINDOW,c15fad231312404d30854f9e2faa3f9ccf5aa94e21bf33105ecf05372ab9324e,MEASURED,,0.925,0.975,9,0.0036363693047746248,0.019674553594444193,0.10840949092113111,0.037535123149274485,True,1.251170771642483,True,3,191,0.005,0.05,201,101,top2,0.18482601332319337,"[21, 20]",False,,,
nstxuG121123J38/N8/egn08w.1757E+02,bad,training,nstxuG121123J38/N8/egn08w.1757E+02,bad,BAD,BAD_GRID_SCALE_SPIKE,d2d88d67d6353a734b2d54236f25eba272687593ff112dc924f19755735ce817,MEASURED,,0.93,0.98,9,0.013401643796743547,0.11955426109464591,0.2390707029222809,0.030118214027773853,True,1.003940467592462,True,1,191,0.005,0.05,201,101,top2,0.1120967473182244,"[31, 29]",True,,,
nstxuG121123J38/N8/egn08w.2222E+02,good,training,nstxuG121123J38/N8/egn08w.2222E+02,bad,GOOD,NO_GOOD_TEMPLATE,86232338eee6d31cd067ff815ffc67a1a4541446f5841a1986a12154d6463d8e,MEASURED,,0.93,0.98,9,0.0014791871498550453,0.01027948493667564,0.17444484897069154,0.033541588643551425,True,1.1180529547850475,True,5,191,0.005,0.05,201,101,top2,0.1438970103042352,"[24, 23]",False,,,
nstxuG121123J38/N8/egn08w.2629E+02,bad,training,nstxuG121123J38/N8/egn08w.2629E+02,bad,BAD,BAD_CONT_CROSS_WINDOW,47ba439be72c0fa8d8a0f816a3baf4d7dbe024112f3a1a5291723a1e1e271f49,MEASURED,,0.925,0.975,9,0.006908498205523155,0.0660012391986955,0.1899345441700122,0.030483082478183723,True,1.0161027492727908,True,1,191,0.005,0.05,201,101,top2,0.10467224993647849,"[24, 25]",True,,,
nstxuG121123J38/N8/egn08w.3044E+02,bad,training,nstxuG121123J38/N8/egn08w.3044E+02,bad,BAD,BAD_CONT_CROSS_WINDOW,5333af328dde21b6cb611d8b4b3683783d964c91d767dcaa24949166db9e4f60,MEASURED,,0.935,0.985,9,0.012504821881715845,0.1607882632803133,0.17295958404723805,0.03221279028951462,True,1.073759676317154,True,2,191,0.005,0.05,201,101,top2,0.07777198177652635,"[34, 28]",True,,,
nstxuG121123J38/N8/egn08w.3359E+02,bad,training,nstxuG121123J38/N8/egn08w.3359E+02,bad,BAD,BAD_CONT_CROSS_WINDOW,edfbfebdc49e4fe208de3419ba0a300da74f8a1d8062831751e7876a083d7489,MEASURED,,0.935,0.985,9,0.011836596175368494,0.12262024233119047,0.12353024219686158,0.03135493725099594,True,1.045164575033198,True,2,191,0.005,0.05,201,101,top2,0.0965305234302058,"[48, 47]",True,,,
nstxuG121123J38/N10/egn10w.2199E+02,bad,training,nstxuG121123J38/N10/egn10w.2199E+02,bad,BAD,BAD_GRID_SCALE_SPIKE,58359fa155570d165d788d8ba1576e6a4150aeaa06d5b71a0cd01467b833c930,MEASURED,,0.915,0.965,8,0.008731674091766268,0.03277778199935417,0.1225752608905503,0.038557326560982846,True,1.2852442186994282,True,8,191,0.005,0.05,201,101,top2,0.26639002272753876,"[14, 15]",True,,,
nstxuG121123B12/N7/egn07w.1373E+02,bad,training,nstxuG121123B12/N7/egn07w.1373E+02,bad,BAD,BAD_AXIS_SPIKE,56a4c17681286cb6de37b7c1f60168410ac78283e6c0a4c67f0439175e794f33,MEASURED,,0.9400000000000001,0.99,9,0.0038807471522411627,0.005749606108071297,0.08187187638040544,0.03823724805661027,True,1.1499212216142594,True,4,191,0.005,0.05,201,101,top2,0.6749587848797799,"[10, 11]",False,,,
nstxuG121123B12/N9/egn09w.1374E+02,bad,training,nstxuG121123B12/N9/egn09w.1374E+02,bad,BAD,BAD_GRID_SCALE_SPIKE,f327f14d57841fab8ee7bdc71bd00ea13e21beada243dd4ed51641559d3f1633,MEASURED,,0.9450000000000001,0.995,9,0.004163364357273814,0.006315390446808093,0.27583223387400846,0.04212649989457118,True,1.2630780893616185,True,4,191,0.005,0.05,201,101,top2,0.6592410069242908,"[13, 14]",False,,,
nstxuG121123B12/N9/egn09w.1505E+02,bad,training,nstxuG121123B12/N9/egn09w.1505E+02,bad,BAD,BAD_CONTINUUM_CROSSING_TAIL,08d84d4b75bb5b5f84c352d3b429c85e99d1fc92a2dc026f9cf5e93ead5b9891,MEASURED,,0.9450000000000001,0.995,9,0.0027930758361696096,0.02942476614986479,0.26060597656752116,0.0410080987723867,True,1.3669366257462234,True,7,191,0.005,0.05,201,101,top2,0.09492261797235879,"[32, 30]",False,,,
