path,mode_key,cohort,training_label,latest12,input_fingerprint,nr,global_energy_peak_r,global_energy_width_grid,background_amplitude,edge_local_peak_count,all_peaks,W_peak_ge_0.05,W_peak_ge_0.10,W_peak_ge_0.25,W_peak_ge_0.50,A_ge_0.3_contrast_ge_3,A_ge_0.3_contrast_ge_3_width_le_4,A_ge_0.3_contrast_ge_4,strongest_candidate_r_peak,strongest_candidate_W_peak,strongest_candidate_amplitude,strongest_candidate_width_grid,strongest_candidate_contrast
/p/hym/ebelova/NOVA/data_mixed/nstxuE204669M03t025/N4/egn04w.1691E+02,nstxuE204669M03t025/N4/egn04w.1691E+02,training,good,False,f5b0e23454fdb0e7a774b9be8b6dd9d445cdefeecba9ea5686147f5210443f4c,201,0.9400000000000001,1.7396301071010756,0.6237631360886825,1,True,True,True,True,True,False,False,False,0.97,0.9857696912940981,0.9476766584797124,2.0267139104027887,1.5192893001374452
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE202926A03t025/N9/egn09w.8123E+01,nstxuE202926A03t025/N9/egn09w.8123E+01,pilot,,True,8b8fc6ef61ac7797a4496eafdecf74150c802e28d61f622f20c5f88609745aa1,201,0.74,25.296276478652047,0.3726949546641637,1,True,True,True,True,True,False,False,False,0.975,0.6599943675542288,0.7654811914002944,2.110314944528202,2.0539081139160342
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE202926A03t025/N10/egn10w.9556E+01,nstxuE202926A03t025/N10/egn10w.9556E+01,pilot,,True,7c3ed00d6da705e974c5b1fd5412a5e1eccf68a5dad7d454cd7a7ca20e373921,201,0.785,24.749754946851432,0.4738634268440109,2,True,True,True,True,True,False,False,False,0.975,0.5529432909113243,0.6591519418021884,1.941685190706588,1.3910167032560878
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE203262A04t018/N3/egn03w.6042E+01,nstxuE203262A04t018/N3/egn03w.6042E+01,pilot,,False,b4176aec7dbec7ee4463ac7ba31a8f6c8cf1f7ee37b6bed27e14f36bca75d085,201,0.54,52.48478664160474,0.21366935127555056,1,True,True,True,True,True,False,False,False,0.975,0.5463902358930969,0.5950747136473375,2.701028544293793,2.785026069929524
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE203262A04t018/N10/egn10w.6623E+01,nstxuE203262A04t018/N10/egn10w.6623E+01,pilot,,False,808f10bc348d37f80692580cd92b1f0d2cbe124e2ba413ea39b51814f8784471,201,0.1,1.0708198937494888,0.06153083496671188,1,True,True,True,True,True,False,False,False,1.0,0.6392110113952263,0.07108819000269732,2.023362119011729,1.155326269197484
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE203653A02t025/N3/egn03w.1814E+02,nstxuE203653A02t025/N3/egn03w.1814E+02,pilot,,True,76a32304581abf0a33431e553f24bbcb6b9cd0f0f2d3efa5a0feb728a1c3f2dd,201,0.93,41.417616921827126,0.6208412949475555,1,True,True,True,True,True,False,False,False,0.975,0.7428083247073131,0.7936134116023903,2.417014179735144,1.2782870889241178
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE203655F01t025/N2/egn02w.2035E+02,nstxuE203655F01t025/N2/egn02w.2035E+02,pilot,,True,16b3faf400137c2c0739f851d902a23aae99a00a16abafe104b9e53b1f84c1ad,201,0.965,1.328021798516743,0.23218303786569694,2,True,True,True,True,True,True,True,False,0.975,0.6901303656431653,0.7878817731637853,3.311989960267847,3.3933649090228744
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE203655F01t025/N3/egn03w.1213E+02,nstxuE203655F01t025/N3/egn03w.1213E+02,pilot,,True,ba26806a5f7e95bb6263ddbf2c2a16333986d6385d9109c58d78f83073571d1e,201,0.675,63.61192481177047,0.22158104482440755,1,True,True,True,True,True,True,True,False,0.97,0.5952026605029969,0.6728017453260802,2.08606859719378,3.0363686833377086
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE203655F01t025/N3/egn03w.1987E+02,nstxuE203655F01t025/N3/egn03w.1987E+02,pilot,,True,6d4bd6a767bcd3206bc2208125e85bb992c2f2b592b374e1ae7a97b9f5d9f9fc,201,0.9450000000000001,1.633721750377437,0.6081151430590438,1,True,True,True,True,True,False,False,False,0.97,0.8022532701811586,0.8122886373483504,1.7735627254294561,1.3357480842562783
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE203981A01t025/N3/egn03w.6660E+01,nstxuE203981A01t025/N3/egn03w.6660E+01,pilot,,True,649b0cfcac7d9bf83c2472ae0f7916c312894984de726e636fb697b66c7387d2,201,0.765,33.738551438157984,0.28373475910193174,2,True,True,True,True,True,False,False,False,0.97,0.587300846407818,0.7241961714590094,2.387100018937449,2.5523702973552207
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE204678M01t017/N5/egn05w.2149E+01,nstxuE204678M01t017/N5/egn05w.2149E+01,pilot,,True,daf8373390a9c33b22993cbc52e00a52862aac7a07f06050a09a6b5648aaaa4d,201,0.6,8.802528913648677,0.29713510957551476,2,True,True,True,True,True,False,False,False,0.975,0.6384102323304067,0.7776271860647286,2.4776720829607024,2.617082805110583
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE204678M01t017/N8/egn08w.6914E+01,nstxuE204678M01t017/N8/egn08w.6914E+01,pilot,,True,af1141e76acdfe24a705ac83f7d82f1868da44041b15fe189ba11bd7af4711dc,201,0.75,23.02282733428893,0.4957497066598596,1,True,True,True,True,True,False,False,False,0.97,0.5927506094589381,0.6114386458473656,2.136619735079348,1.2333615887883556
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE204954A01t022/N6/egn06w.1466E+02,nstxuE204954A01t022/N6/egn06w.1466E+02,pilot,,False,36b3df42ede31628b374e51122057f4e91c00727ed7315de27bd3e08d2280e37,201,0.925,1.8183971174721147,0.48305116811775,1,True,True,True,True,True,False,False,False,0.97,0.9443303720215719,0.7553310810315517,2.4019906017087145,1.5636668139625114
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE205017A01t025/N5/egn05w.1497E+02,nstxuE205017A01t025/N5/egn05w.1497E+02,pilot,,False,5c631766eacf515694e1cb424116eb0b49bbabdcd98f7cd8247e2c13ce0dcece,201,0.895,24.198724323401688,0.6143392173196063,2,True,True,True,True,True,False,False,False,0.97,0.5137616582813502,0.7242203006832665,2.667509697039483,1.1788606038258098
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE205057A01t020/N4/egn04w.1444E+02,nstxuE205057A01t020/N4/egn04w.1444E+02,pilot,,False,94668f9f4ecb408ad1a2ea0d870b2df0a55fe7bab3815fefc376c6c3dd316424,201,0.915,1.4954641973423444,0.45169181764856214,2,True,True,True,True,True,False,False,False,0.975,0.9560780086193025,0.8766197095840688,2.0959047037393486,1.9407473753844282
