r_peak_strictly_greater_than,width_max_grid,training_good,training_bad,pilot39,latest12,pending_envelope
0.9,1.0,0,0,1,0,0
0.9,1.25,0,0,2,1,0
0.9,1.5,7,2,47,20,0
0.9,2.0,56,4,183,79,0
0.9,3.0,68,4,207,87,0
0.9,4.0,70,4,208,87,0
0.925,1.0,0,0,0,0,0
0.925,1.25,0,0,1,1,0
0.925,1.5,1,2,22,14,0
0.925,2.0,24,4,77,39,0
0.925,3.0,26,4,78,39,0
0.925,4.0,26,4,78,39,0
0.95,1.0,0,0,0,0,0
0.95,1.25,0,0,1,1,0
0.95,1.5,1,1,7,6,0
0.95,2.0,3,1,16,9,0
0.95,3.0,3,1,16,9,0
0.95,4.0,3,1,16,9,0
0.97,1.0,0,0,0,0,0
0.97,1.25,0,0,0,0,0
0.97,1.5,0,0,1,1,0
0.97,2.0,0,0,1,1,0
0.97,3.0,0,0,1,1,0
0.97,4.0,0,0,1,1,0
