mode_key,path,cohort,training_label,latest12,scenarios,nr,background_amplitude,stored_index,r_peak,signed_amplitude,amplitude,contrast,width_grid,input_fingerprint
nstxuE202855A01t020/N8/egn08w.1512E+01,/p/hym/ebelova/NOVA/data_mixed/nstxuE202855A01t020/N8/egn08w.1512E+01,training,good,False,r>0.95;width<=2.0,201,0.28389848537427975,76,0.96,-0.945735587345127,0.945735587345127,3.3312456249927123,1.8865664683640926,40f4651ae7186b811ff358cf3059d8ed656bf6954e0fc24d76a64766dd90ae64
nstx_135388/N4/egn04w.7832E+02,/p/hym/ebelova/NOVA/data_mixed/nstx_135388/N4/egn04w.7832E+02,training,bad,False,r>0.9;width<=1.5 | r>0.95;width<=2.0,201,0.25138555928941325,35,0.96,1.0,1.0,3.9779532397432886,1.346035919337174,8bc4a289140f7d02bc6f08c0cfc9ca82ea71e5844c436c3730189bc061aec861
nstx_135388/N7/egn07w.8037E+02,/p/hym/ebelova/NOVA/data_mixed/nstx_135388/N7/egn07w.8037E+02,training,bad,False,r>0.9;width<=1.5,201,0.011975956904847951,46,0.93,0.7782334473304929,0.7782334473304929,64.98298662175868,1.4557900698251025,d1f4d8e36c590cfb7009f5916c74bda7c0b04c593b10483a8d50bb7caaf02bbb
nstx_135388/N8/egn08w.5708E+02,/p/hym/ebelova/NOVA/data_mixed/nstx_135388/N8/egn08w.5708E+02,training,good,False,r>0.9;width<=1.5,201,0.0013900555682049062,49,0.92,-0.7912735154148792,0.7912735154148792,569.2387653514573,1.4448940446166292,ec547abdb43facdebbd7fa12b96889925dce9a1b7b45c9907015562877a93bff
nstx_135388/N8/egn08w.6258E+02,/p/hym/ebelova/NOVA/data_mixed/nstx_135388/N8/egn08w.6258E+02,training,good,False,r>0.9;width<=1.5,201,0.0029361916851506583,49,0.92,-0.7430810278291303,0.7430810278291303,253.07647030919313,1.4306808650246916,c5c5bf1db3e56e7f0f18505c10e3d3e8aed9434592ec28cfa00b1a6fe3e544ba
nstx_135388/N8/egn08w.8814E+02,/p/hym/ebelova/NOVA/data_mixed/nstx_135388/N8/egn08w.8814E+02,training,good,False,r>0.9;width<=1.5,201,0.0027695497626750677,51,0.925,0.7636916480185448,0.7636916480185448,275.74577583358035,1.4455255985688753,8da97d82dcd2146d82f93de2a59de9a3561e3eb09e9c349d2c0d7f57dd074797
nstx_135388/N9/egn09w.6387E+02,/p/hym/ebelova/NOVA/data_mixed/nstx_135388/N9/egn09w.6387E+02,training,good,False,r>0.9;width<=1.5,201,0.0010451932648419353,53,0.915,-0.7477897533978825,0.7477897533978825,715.4559625974731,1.4764387770856757,a09541f565570409f4d925cb5fb057cea7960d061edceb33006c82a6177d90ae
nstxu_204202/N6/egn06w.1899E+02,/p/hym/ebelova/NOVA/data_mixed/nstxu_204202/N6/egn06w.1899E+02,training,good,False,r>0.95;width<=2.0,201,0.25472075011522144,31,0.955,1.0,1.0,3.9258678358463373,1.5785602459108095,226c5806eff4f7adcf57ba1fae8fdab85918f06fa48179b7a08cc2a118270772
nstx_141711/N3/egn03w.5246E+02,/p/hym/ebelova/NOVA/data_mixed/nstx_141711/N3/egn03w.5246E+02,training,good,False,r>0.9;width<=1.5 | r>0.95;width<=2.0,201,0.18886814139858116,20,0.955,-0.7787375645907062,0.7787375645907062,4.123181171922923,1.3814162701731192,cbf51587c93f6d27193d4726c8a7768178a353942b5299e948aa7740b9c7bd7a
nstx_141711/N8/egn08w.1470E+03,/p/hym/ebelova/NOVA/data_mixed/nstx_141711/N8/egn08w.1470E+03,training,good,False,r>0.9;width<=1.5,201,0.008245144057945842,35,0.92,0.7251423031068223,0.7251423031068223,87.94780273220368,1.4648315824628666,bb9c4f085799a855070d02c446dcc8fcee94183fefe8c189e69295c4f1c1effa
