path,mode_key,cohort,training_label,input_fingerprint,current_decision,current_reason,fired_gates,envelope_is_only_rejection,energy_fwhm_grid,ext_dr,ext_df_gap,nr,energy_peak_r,main_spike_fraction,spikes_fraction,spikes_top2_ratio,n_narrow_halfmax_components,energy_effective_length,local_hf_fraction,main_peak_local_hf_fraction,worst_window_peak_r,peak_window_r_start,peak_window_r_end,global_hf_top2_ratio,top2_energy_fraction,candidate_exception,candidate_new_survivor
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE202926A03t025/N3/egn03w.1151E+02,nstxuE202926A03t025/N3/egn03w.1151E+02,pilot,,4f049b0a4a60293d7d9dcdd726c59fd0d39160497985ce8a167059b739246141,BAD,BAD_INTERIOR_UNRESOLVED_ENVELOPE,BAD_INTERIOR_UNRESOLVED_ENVELOPE,True,1.668233898471222,0.0,7.106718228492171e-05,201,0.18,0.34514644498813934,0.34514644498813934,0.36629785815335925,1,0.04210996487189046,0.02012696675254943,0.02012696675254943,0.18,0.155,0.20500000000000002,0.01578099910560249,0.9422562466735355,True,True
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE202926A03t025/N4/egn04w.3735E+01,nstxuE202926A03t025/N4/egn04w.3735E+01,pilot,,cfd640fce43bd155520b76f99e10aabda93756f6036191fd2deb68f25a0ea5c9,BAD,BAD_INTERIOR_UNRESOLVED_ENVELOPE,BAD_INTERIOR_UNRESOLVED_ENVELOPE,True,1.7546679753860372,0.0050000000000000044,0.00048404773626076707,201,0.445,0.10566711818757757,0.10566711818757757,0.1788070932361046,1,0.2646103849777903,0.030661052430358247,0.030661052430358247,0.445,0.42,0.47000000000000003,0.013057248019872056,0.5909559641912535,True,True
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE202926A03t025/N8/egn08w.6500E+01,nstxuE202926A03t025/N8/egn08w.6500E+01,pilot,,b10bcfd99d34f1bf2f034fd99223892507cf3437b95bc5898ffdfbab56a6c895,BAD,BAD_INTERIOR_UNRESOLVED_ENVELOPE,BAD_INTERIOR_UNRESOLVED_ENVELOPE,True,1.9554275452873553,0.010000000000000002,0.04826069142058482,201,0.04,0.6762551024016925,0.6762551024016925,0.689592367052873,1,0.0157571305957589,0.019820675727597388,0.019820675727597388,0.04,0.015,0.065,0.02026600018915892,0.980659204932647,False,False
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE202944A02t021/N1/egn01w.1092E+02,nstxuE202944A02t021/N1/egn01w.1092E+02,pilot,,9460da3eb3387e8598be0b03530554abbbef8a323f81df4542851315071730b7,BAD,BAD_INTERIOR_UNRESOLVED_ENVELOPE,BAD_INTERIOR_UNRESOLVED_ENVELOPE,True,1.222596711900488,,,201,0.055,0.3338923324291144,0.3338923324291144,0.3735238657520188,1,0.03313232120838704,0.07830647760914387,0.07830647760914387,0.055,0.03,0.08,0.05342467324447876,0.8938982566934142,False,False
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE202947A03t015/N2/egn02w.4593E+01,nstxuE202947A03t015/N2/egn02w.4593E+01,pilot,,d45eba6d56ed2146be2b4b4c95d9757e38c820474ce909d73807320486473188,BAD,BAD_INTERIOR_UNRESOLVED_ENVELOPE,BAD_INTERIOR_UNRESOLVED_ENVELOPE,True,1.2496815123368643,0.0,0.0004740213729139459,201,0.495,0.4193368696523081,0.4193368696523081,0.4621947762841758,1,0.021678796380878305,0.11408950600237759,0.11408950600237759,0.495,0.47000000000000003,0.52,0.1041553903474038,0.9072730614213672,False,False
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE203656A02t030/N8/egn08w.7553E+01,nstxuE203656A02t030/N8/egn08w.7553E+01,pilot,,f3dceebc8626e53f93330bfe678925556dbb312e63d6dd7fb1f3982e188ac884,BAD,BAD_INTERIOR_UNRESOLVED_ENVELOPE,BAD_INTERIOR_UNRESOLVED_ENVELOPE,True,1.968275078794182,0.16,-0.06619833030133461,201,0.035,0.7416483972017054,0.7416483972017054,0.7829033254249272,1,0.013698127714890703,0.07743108267027832,0.07743108267027832,0.035,0.01,0.06,0.08256573242615889,0.9473052075735783,False,False
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE204186A01t020/N5/egn05w.7144E+01,nstxuE204186A01t020/N5/egn05w.7144E+01,pilot,,00eb16e6d3a8f187f1da5cea846f7243ba5bdc79d97e6f42c92c0ce39978deb9,BAD,BAD_INTERIOR_UNRESOLVED_ENVELOPE,BAD_INTERIOR_UNRESOLVED_ENVELOPE,True,1.6111950761494103,0.030000000000000006,-0.005979174744566344,201,0.07,0.20297624055006855,0.4479315484774384,0.46479542163752735,4,0.051039943251664256,0.14891529800883327,0.10573519955500243,0.095,0.045,0.095,0.1542642077104262,0.9637176435588035,False,False
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE204621A03t030/N8/egn08w.6362E+01,nstxuE204621A03t030/N8/egn08w.6362E+01,pilot,,050eb6e0182691818bb81ab6eed084780b9bfaf6f00398cde824a9d26df32726,BAD,BAD_INTERIOR_UNRESOLVED_ENVELOPE,BAD_INTERIOR_UNRESOLVED_ENVELOPE,True,1.3552186483234085,0.0,0.06443602742264089,201,0.035,0.6530007246861681,0.6530007246861681,0.7087306677473818,1,0.010538012196443385,0.1022191824868002,0.1022191824868002,0.035,0.01,0.06,0.11133894241864851,0.9213665421896517,False,False
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE204645A16t015/N6/egn06w.4765E+01,nstxuE204645A16t015/N6/egn06w.4765E+01,pilot,,06e7f8ec5bdc198aa098fdc5b828aafaca837d032e6bf593c3187fa78d0570c4,GOOD,NO_GOOD_TEMPLATE,,False,1.1297845253105454,0.0050000000000000044,0.0010933854383506903,201,0.135,0.39237701626923366,0.5817163666975482,0.6093516797615911,2,0.015027726324612713,0.13831118156981598,0.13803263654330264,0.125,0.11,0.16,0.14277745052192942,0.9546480070837662,False,False
/p/nstxdigtwin/energetic_particles/nova/DiTw/nstxuE204645A16t015/N6/egn06w.6181E+01,nstxuE204645A16t015/N6/egn06w.6181E+01,pilot,,160dac163b13980bb24090b2ac7f4b67335cfbe17139cecdeb398fd39351886a,BAD,BAD_INTERIOR_UNRESOLVED_ENVELOPE,BAD_INTERIOR_UNRESOLVED_ENVELOPE,True,1.617696464120022,0.0050000000000000044,0.0006040925777767727,201,0.135,0.42342596737682775,0.6871635914675869,0.7400257426198596,2,0.01997624943524538,0.13545013032081582,0.13484720402534445,0.125,0.11,0.16,0.14441151183562614,0.9285671455628979,False,False
