shot,inputs,invalid,good_before_dedup,selected_good
nstxuE202806A02t025,700,0,77,76
nstxuE203609A01t020,247,0,35,35
nstxuE203963A01t025,693,0,27,27
nstxuE204707A04t030,1134,0,60,60
nstxuE204954A01t022,503,0,27,27
nstxuE205035A01t020,235,0,7,7
nstxuE205045A01t022,1127,0,22,22
nstxuE205054A01t037,639,0,33,33
nstxuE205057A01t020,967,0,39,39
nstxuG121123K34,1258,97,1,1
nstxuG121123K70,478,0,7,7
nstxuG121123N80,186,0,9,9
nstxuG142301E72,648,0,0,0
nstxuG142301H56,913,0,2,2
nstxuG142301V21,951,0,8,8
nstxuE205040A01t016,297,0,90,90
nstxuE204944A01t017,388,0,26,26
nstxuE204708F03t017,623,0,90,90
nstxuE204645A16t015,535,0,87,82
nstxuE203262A04t018,573,0,146,146
nstxuE204621A03t030,1050,0,19,19
nstxuE205017A01t025,853,0,60,60
nstxuE204186A01t020,1047,0,57,57
nstxuG133964R06,610,610,0,0
nstxuG142301C50,603,65,0,0
nstxuG142301L94,958,0,5,5
nstxuG142301U84,1101,0,16,16
