selection_seed,shot,shot_family,size_bin,input_modes,selection_status,notes
20260905,nstxuE205035A01t020,NSTX-U E,low,235,completed,Paired rules and rf-cnn run; selected without replacement.
20260905,nstxuE203609A01t020,NSTX-U E,low,247,completed,Paired rules and rf-cnn run; selected without replacement.
20260905,nstxuE205054A01t037,NSTX-U E,medium,639,completed,Paired rules and rf-cnn run; selected without replacement.
20260905,nstxuE204954A01t022,NSTX-U E,medium,503,completed,Paired rules and rf-cnn run; selected without replacement.
20260905,nstxuE203963A01t025,NSTX-U E,medium,693,completed,Paired rules and rf-cnn run; selected without replacement.
20260905,nstxuE205045A01t022,NSTX-U E,high,1127,completed,Paired rules and rf-cnn run; selected without replacement.
20260905,nstxuE204707A04t030,NSTX-U E,high,1134,completed,Paired rules and rf-cnn run; selected without replacement.
20260905,nstxuE205057A01t020,NSTX-U E,high,967,completed,Paired rules and rf-cnn run; selected without replacement.
20260905,nstxuG121123N80,NSTX-U G,low,186,completed,Paired rules and rf-cnn run; selected without replacement.
20260905,nstxuG142301E72,NSTX-U G,medium,648,completed,Paired rules and rf-cnn run; selected without replacement.
20260905,nstxuG142301H56,NSTX-U G,high,913,completed,Paired rules and rf-cnn run; selected without replacement.
20260905,nstxuG142301V21,NSTX-U G,high,951,completed,Paired rules and rf-cnn run; selected without replacement.
20260905,nstxuG142301D46,NSTX-U G,medium,506,excluded_preflight,Initial draw; replaced by nstxuG142301E72 because N7/egn07w.1593E+02 has gamma_d=NaN.
