shot,inputs,invalid,good_before_dedup,selected_good
nstxuE202806A02t025,700,0,77,76
nstxuE202926A03t025,330,0,51,51
nstxuE202944A02t021,670,0,38,38
nstxuE202947A03t015,188,0,58,58
nstxuE203262A04t018,573,0,146,146
nstxuE203609A01t020,247,0,35,35
nstxuE203653A02t025,406,0,81,81
nstxuE203655F01t025,558,0,84,83
nstxuE203656A02t030,947,0,38,38
nstxuE203963A01t025,693,0,27,27
nstxuE203981A01t025,692,0,78,78
nstxuE204186A01t020,1047,0,56,56
nstxuE204621A03t030,1050,0,19,19
nstxuE204636A01t020,648,0,48,48
nstxuE204645A16t015,535,0,87,82
nstxuE204678M01t017,302,0,72,70
nstxuE204707A04t030,1134,0,60,60
nstxuE204708F03t017,623,0,90,90
nstxuE204944A01t017,388,0,26,26
nstxuE204954A01t022,503,0,27,27
nstxuE204955F02t017,680,0,59,58
nstxuE205017A01t025,853,0,60,60
nstxuE205035A01t020,235,0,7,7
nstxuE205040A01t016,297,0,90,90
nstxuE205042A01t022,259,0,24,24
nstxuE205045A01t022,1127,0,22,22
nstxuE205054A01t037,639,0,33,33
nstxuE205055A01t022,1017,0,67,66
nstxuE205057A01t020,967,0,38,38
nstxuG121123K34,1258,97,1,1
nstxuG121123K70,478,0,7,7
nstxuG121123N80,186,0,9,9
nstxuG133964R06,610,610,0,0
nstxuG142301C50,556,0,0,0
nstxuG142301E72,648,0,0,0
nstxuG142301H56,913,0,2,2
nstxuG142301L94,958,0,5,5
nstxuG142301U84,1101,0,16,16
nstxuG142301V21,951,0,8,8
