boundary,crossing_r,singularity_r,offset_r,offset_grid,shot,ntor,path,in_training_list,gap_region,nr,in_interior
high,0.1814894689808099,0.46,-0.2785105310191901,-55.70210620383802,nstxuE202806A02t045,1,nstxuE202806A02t045/N1/egn01w.3772E+01,False,tae_like,201,True
high,0.21952734731757015,0.425,-0.20547265268242984,-41.09453053648597,nstxuE202806A02t045,1,nstxuE202806A02t045/N1/egn01w.4129E+01,False,tae_like,201,True
high,0.6174399044975535,0.005,0.6124399044975535,122.48798089951069,nstxuE202806A02t045,2,nstxuE202806A02t045/N2/egn02w.8709E+01,False,mixed,201,True
high,0.540232090669596,0.535,0.005232090669595957,1.0464181339191914,nstxuE202842A01t030,1,nstxuE202842A01t030/N1/egn01w.2949E+02,False,mixed,201,True
high,0.7446193325959817,0.9,-0.15538066740401835,-31.07613348080367,nstxuE202842A01t030,1,nstxuE202842A01t030/N1/egn01w.2949E+02,False,mixed,201,True
high,0.7501173726186632,0.9,-0.14988262738133684,-29.97652547626737,nstxuE202842A01t030,1,nstxuE202842A01t030/N1/egn01w.2949E+02,False,mixed,201,False
high,0.9029710753584969,0.9,0.002971075358496833,0.5942150716993666,nstxuE202842A01t030,1,nstxuE202842A01t030/N1/egn01w.2949E+02,False,mixed,201,False
high,0.9160113757853269,0.91,0.006011375785326845,1.202275157065369,nstxuE202842A01t030,1,nstxuE202842A01t030/N1/egn01w.2949E+02,False,mixed,201,False
high,0.9325081688955003,0.93,0.002508168895500207,0.5016337791000414,nstxuE202842A01t030,1,nstxuE202842A01t030/N1/egn01w.2949E+02,False,mixed,201,False
high,0.4055395800759546,0.395,0.010539580075954569,2.1079160151909138,nstxuE202842A01t035,1,nstxuE202842A01t035/N1/egn01w.6563E+02,False,tae_like,201,True
high,0.935992087782173,0.935,0.0009920877821729679,0.19841755643459358,nstxuE202842A01t035,1,nstxuE202842A01t035/N1/egn01w.6563E+02,False,tae_like,201,False
high,0.42119052462571727,0.41000000000000003,0.011190524625717235,2.238104925143447,nstxuE202842A01t035,1,nstxuE202842A01t035/N1/egn01w.6605E+02,False,tae_like,201,True
high,0.5488906883222918,0.41000000000000003,0.1388906883222918,27.778137664458356,nstxuE202842A01t035,1,nstxuE202842A01t035/N1/egn01w.6605E+02,False,tae_like,201,True
high,0.5922717203186455,0.41000000000000003,0.18227172031864547,36.454344063729096,nstxuE202842A01t035,1,nstxuE202842A01t035/N1/egn01w.6605E+02,False,tae_like,201,True
high,0.9352994585764629,0.935,0.0002994585764628521,0.059891715292570424,nstxuE202842A01t035,1,nstxuE202842A01t035/N1/egn01w.6605E+02,False,tae_like,201,False
high,0.618188721025845,0.605,0.013188721025845007,2.6377442051690014,nstxuE202926A03t037,1,nstxuE202926A03t037/N1/egn01w.7196E+02,False,tae_like,201,True
high,0.9173449962830399,0.915,0.0023449962830398574,0.4689992566079715,nstxuE202926A03t037,1,nstxuE202926A03t037/N1/egn01w.7196E+02,False,tae_like,201,False
high,0.9349436458580607,0.935,-5.635414193938537e-05,-0.011270828387877074,nstxuE202926A03t037,1,nstxuE202926A03t037/N1/egn01w.7196E+02,False,tae_like,201,False
high,0.9350078459347605,0.935,7.845934760442042e-06,0.0015691869520884083,nstxuE202926A03t037,1,nstxuE202926A03t037/N1/egn01w.7196E+02,False,tae_like,201,False
high,0.6238337972184086,0.61,0.013833797218408606,2.766759443681721,nstxuE202926A03t037,1,nstxuE202926A03t037/N1/egn01w.7209E+02,False,tae_like,201,True
high,0.9170437383134536,0.915,0.0020437383134536136,0.4087476626907227,nstxuE202926A03t037,1,nstxuE202926A03t037/N1/egn01w.7209E+02,False,tae_like,201,False
high,0.575082111744668,0.5650000000000001,0.010082111744667888,2.0164223489335775,nstxuE202944A02t028,1,nstxuE202944A02t028/N1/egn01w.4072E+02,False,tae_like,201,True
high,0.8908568116833301,0.89,0.0008568116833300721,0.17136233666601441,nstxuE202944A02t028,1,nstxuE202944A02t028/N1/egn01w.4072E+02,False,tae_like,201,False
high,0.5978578942128875,0.59,0.007857894212887517,1.5715788425775035,nstxuE202944A02t028,1,nstxuE202944A02t028/N1/egn01w.4230E+02,False,tae_like,201,True
high,0.7225318552899316,0.845,-0.1224681447100684,-24.49362894201368,nstxuE202944A02t028,1,nstxuE202944A02t028/N1/egn01w.4230E+02,False,tae_like,201,True
high,0.730954697697485,0.845,-0.11404530230251497,-22.809060460502995,nstxuE202944A02t028,1,nstxuE202944A02t028/N1/egn01w.4230E+02,False,tae_like,201,True
high,0.8461247384312003,0.845,0.0011247384312003117,0.22494768624006234,nstxuE202944A02t028,1,nstxuE202944A02t028/N1/egn01w.4230E+02,False,tae_like,201,False
high,0.8653396927763579,0.855,0.010339692776357934,2.0679385552715868,nstxuE202944A02t028,1,nstxuE202944A02t028/N1/egn01w.4230E+02,False,tae_like,201,False
high,0.8851255414610915,0.885,0.0001255414610914496,0.025108292218289918,nstxuE202944A02t028,1,nstxuE202944A02t028/N1/egn01w.4230E+02,False,tae_like,201,False
high,0.5546734444856307,0.54,0.014673444485630682,2.9346888971261365,nstxuE202947A03t037,1,nstxuE202947A03t037/N1/egn01w.6478E+02,False,tae_like,201,True
high,0.8415911341814625,0.84,0.0015911341814625057,0.31822683629250115,nstxuE202947A03t037,1,nstxuE202947A03t037/N1/egn01w.6478E+02,False,tae_like,201,False
high,0.602681274613547,0.585,0.01768127461354707,3.536254922709414,nstxuE202947A03t037,1,nstxuE202947A03t037/N1/egn01w.6677E+02,False,tae_like,201,True
high,0.8366290757422598,0.835,0.001629075742259789,0.3258151484519578,nstxuE202947A03t037,1,nstxuE202947A03t037/N1/egn01w.6677E+02,False,tae_like,201,False
high,0.25924247136394535,0.255,0.004242471363945344,0.8484942727890687,nstxuE203609A01t037,1,nstxuE203609A01t037/N1/egn01w.4856E+02,False,tae_like,201,True
high,0.6435211451921837,0.9550000000000001,-0.31147885480781634,-62.29577096156327,nstxuE203609A01t037,1,nstxuE203609A01t037/N1/egn01w.4856E+02,False,tae_like,201,True
high,0.6684903838579019,0.9550000000000001,-0.28650961614209813,-57.301923228419625,nstxuE203609A01t037,1,nstxuE203609A01t037/N1/egn01w.4856E+02,False,tae_like,201,True
high,0.9525290796908169,0.9550000000000001,-0.0024709203091831666,-0.4941840618366333,nstxuE203609A01t037,1,nstxuE203609A01t037/N1/egn01w.4856E+02,False,tae_like,201,False
high,0.6586161928041181,0.655,0.003616192804118068,0.7232385608236136,nstxuE203963A01t017,1,nstxuE203963A01t017/N1/egn01w.2081E+02,False,tae_like,201,True
high,0.748631626062536,0.655,0.09363162606253594,18.726325212507188,nstxuE203963A01t017,1,nstxuE203963A01t017/N1/egn01w.2081E+02,False,tae_like,201,True
