shot,ntor,n_modes,n_matched,n_no_frequency_match,n_incomplete_or_conflicting,n_input_errors,n_modes_with_matched_interior_crossings,n_interior_crossings,median_signed_grid,median_abs_grid,fraction_abs_gt_2,fraction_positive,p90_abs_grid,group_error,n_empty_log_matches,known_invalid_scope,interpretation
nstxuE202806A02t025,1,3,3,0,0,0,2,2,0.21141652952839096,0.21141652952839096,0.0,1.0,0.2171105766674597,,0,False,NO_SYSTEMATIC_OFFSET_FOUND
nstxuE203609A01t020,1,0,0,0,0,0,0,0,,,,,,,0,False,NO_USABLE_INTERIOR_CROSSING_COMPARISONS
nstxuE203963A01t025,1,3,3,0,0,0,3,3,0.4234451106543302,0.4234451106543302,0.0,1.0,0.43849015320710283,,0,False,NO_SYSTEMATIC_OFFSET_FOUND
nstxuE204707A04t030,1,30,23,0,0,0,23,23,0.89128547257733,0.89128547257733,0.043478260869565216,1.0,1.3351322845758928,,7,False,ISOLATED_OFFSET: N1/4123 is 2.045 grid intervals from nearest log radius; 22/23 interior crossings within two.
nstxuE204954A01t022,1,14,14,0,0,0,14,14,0.3353348324329819,0.3353348324329819,0.0,1.0,0.4503255540860218,,0,False,NO_SYSTEMATIC_OFFSET_FOUND
nstxuE205035A01t020,1,3,0,0,0,0,0,0,,,,,,,3,False,NO_USABLE_INTERIOR_CROSSING_COMPARISONS
nstxuE205045A01t022,1,19,19,0,0,0,19,22,0.6351556737634684,0.6351556737634684,0.0,1.0,1.1479891911231315,,0,False,NO_SYSTEMATIC_OFFSET_FOUND
nstxuE205054A01t037,1,36,36,0,0,0,35,35,0.0780333061991878,0.5522538781733921,0.0,0.5142857142857142,1.3723708414802738,,0,False,NO_SYSTEMATIC_OFFSET_FOUND
nstxuE205057A01t020,1,17,17,0,0,0,17,20,0.8779772237721972,0.8779772237721972,0.0,1.0,1.5435252228045566,,0,False,NO_SYSTEMATIC_OFFSET_FOUND
nstxuG121123K34,1,16,16,0,0,0,16,24,6.202462712993118,8.983130860514033,1.0,0.7083333333333334,70.42281610228326,,0,False,PRIORITY_REVIEW: repeated interior N1 offsets; N2 also shows discrepancies.
nstxuG121123K70,1,11,11,0,0,0,0,0,,,,,,,0,False,"EDGE_REVIEW: no interior N1 crossings; 8/11 outer crossings beyond two intervals, with no continuum repair changes."
nstxuG121123N80,1,8,0,8,0,0,0,0,,,,,,,0,False,INCONCLUSIVE: all eight TAE-side N1 modes lack exact-frequency log matches; plotted samples only.
nstxuG142301E72,1,2,2,0,0,0,2,4,-2.7984518402582648,6.197529109820488,1.0,0.5,77.31952481809284,,0,False,"SPARSE_REVIEW: two informative N1 modes, both suspicious."
nstxuG142301H56,1,78,0,0,78,0,0,0,,,,,,,0,False,INCONCLUSIVE: all 384 raw N1 matched log blocks have inconsistent declared/printed singularity counts; 78 TAE-side modes. Partial radii excluded.
nstxuG142301V21,1,0,0,0,0,0,0,0,,,,,,,0,False,NO_USABLE_INTERIOR_CROSSING_COMPARISONS
nstxuE205040A01t016,1,3,3,0,0,0,3,5,0.8568870398246747,0.8568870398246747,0.0,1.0,0.9085958231857227,,0,False,NO_SYSTEMATIC_OFFSET_FOUND
nstxuE204944A01t017,1,5,5,0,0,0,2,3,1.0902722707907042,1.0902722707907042,0.3333333333333333,1.0,9.997200511094855,,0,False,ISOLATED_OFFSET: N1/1659 has one 12.22-interval nearest-log distance near r=0.746; no repeated shot-level pattern established.
nstxuE204708F03t017,1,4,0,0,0,0,0,0,,,,,,,4,False,NO_USABLE_INTERIOR_CROSSING_COMPARISONS
nstxuE204645A16t015,1,9,0,0,0,0,0,0,,,,,,,9,False,NO_USABLE_INTERIOR_CROSSING_COMPARISONS
nstxuE203262A04t018,1,1,1,0,0,0,0,0,,,,,,,0,False,NO_USABLE_INTERIOR_CROSSING_COMPARISONS
nstxuE204621A03t030,1,2,1,0,0,0,1,2,0.46549914146525595,0.46549914146525595,0.0,1.0,0.7784498734653905,,1,False,NO_SYSTEMATIC_OFFSET_FOUND
nstxuE205017A01t025,1,20,17,0,0,0,16,16,1.0858648073484716,1.0858648073484716,0.0,1.0,1.3816246052230585,,3,False,NO_SYSTEMATIC_OFFSET_FOUND
nstxuE204186A01t020,1,22,19,0,0,0,19,24,0.3292726346725894,0.3292726346725894,0.0,1.0,1.370451660654786,,3,False,NO_SYSTEMATIC_OFFSET_FOUND
nstxuG133964R06,1,16,16,0,0,0,16,58,-0.7793988532522084,1.3053119502978245,0.46551724137931033,0.2413793103448276,8.261471089903853,,0,True,ALREADY_INVALID: whole shot remains excluded; measurements are diagnostic only.
nstxuG142301C50,1,0,0,0,0,0,0,0,,,,,,nstxuG142301C50/N1: input changed during the audit; rerun,0,True,INCONCLUSIVE: N1 inputs changed during both scans; existing user-approved exclusion remains.
nstxuG142301L94,1,2,2,0,0,0,2,2,8.34470192790182,8.34470192790182,1.0,1.0,8.663047375586808,,0,False,"SPARSE_REVIEW: two informative N1 modes, both shifted by about eight intervals."
nstxuG142301U84,1,11,11,0,0,0,11,22,-3.1308620458399354,6.351178966130247,0.9090909090909091,0.5,9.51596975156742,,0,False,PRIORITY_REVIEW: repeated inner and outer N1 offsets in opposite directions.
