shot,ntor,cohort,n_modes,n_matched,n_no_frequency_match,n_incomplete_or_conflicting,n_input_errors,n_modes_with_matched_interior_crossings,n_interior_crossings,median_signed_grid,median_abs_grid,fraction_abs_gt_2,fraction_positive,p90_abs_grid,group_error
nstxuE202806A02t025,2,tae_side,8,8,0,0,0,4,10,0.606382467213884,0.606382467213884,0.0,1.0,0.9182425465903027,
nstxuE203609A01t020,2,tae_side,11,5,0,0,0,5,10,0.511958086225528,0.511958086225528,0.0,1.0,0.7198896260434628,
nstxuE203963A01t025,2,tae_side,10,6,0,0,0,6,7,0.5583018758025249,0.5583018758025249,0.0,1.0,1.13047413315586,
nstxuE204707A04t030,2,tae_side,15,11,0,0,0,11,13,0.42435176317789924,0.7498996832673965,0.15384615384615385,0.8461538461538461,9.560219514530203,
nstxuE204954A01t022,2,tae_side,6,2,0,0,0,2,2,0.1756735296875367,0.1756735296875367,0.0,1.0,0.19696652458364605,
nstxuE205035A01t020,2,tae_side,5,1,0,0,0,1,1,0.05308191120072525,0.05308191120072525,0.0,1.0,0.05308191120072525,
nstxuE205045A01t022,2,tae_side,16,16,0,0,0,16,16,0.7257405480146917,0.7257405480146917,0.0,1.0,0.9331485223611546,
nstxuE205054A01t037,2,tae_side,11,11,0,0,0,6,8,0.9843550181711791,0.9843550181711791,0.25,1.0,37.84447311960101,
nstxuE205057A01t020,2,tae_side,21,21,0,0,0,21,28,0.5700040528729633,0.5744716990239818,0.14285714285714285,0.9285714285714286,11.026731397169002,
nstxuG121123K34,2,tae_side,21,21,0,0,0,21,40,5.728335161300207,9.254840395041946,0.7,0.925,46.74783972828196,
nstxuG121123K70,2,tae_side,14,14,0,0,0,3,8,-103.28692282174799,103.28692282174799,1.0,0.125,171.65122994857134,
nstxuG121123N80,2,tae_side,5,0,5,0,0,0,0,,,,,,
nstxuG142301E72,2,tae_side,7,7,0,0,0,7,18,0.5396571953826645,1.1397943901039849,0.2777777777777778,0.6111111111111112,9.646352451833721,
nstxuG142301H56,2,tae_side,15,15,0,0,0,15,20,1.1184846451172847,1.3907691793574373,0.25,0.95,2.9361287267985374,
nstxuG142301V21,2,tae_side,3,3,0,0,0,3,5,4.571071965975232,4.571071965975232,1.0,1.0,14.869605789645446,
nstxuE205040A01t016,2,tae_side,8,0,8,0,0,0,0,,,,,,
nstxuE204944A01t017,2,tae_side,10,3,0,0,0,3,3,0.5146498962777857,0.5146498962777857,0.0,1.0,0.5702834944738955,
nstxuE204708F03t017,2,tae_side,9,5,0,0,0,5,8,0.2478471529855586,0.2478471529855586,0.0,1.0,0.7239512209018095,
nstxuE204645A16t015,2,tae_side,5,0,0,0,0,0,0,,,,,,
nstxuE203262A04t018,2,tae_side,6,0,0,0,0,0,0,,,,,,
nstxuE204621A03t030,2,tae_side,18,13,0,0,0,11,14,0.550034511267844,0.550034511267844,0.0,1.0,1.0869770170702875,
nstxuE205017A01t025,2,tae_side,13,9,0,0,0,7,7,0.7771470262962321,0.7771470262962321,0.0,1.0,1.0142089643002339,
nstxuE204186A01t020,2,tae_side,17,9,0,0,0,9,13,0.7638761020154261,0.7638761020154261,0.0,1.0,0.8878736749153315,
nstxuG133964R06,2,tae_side,17,17,0,0,0,17,40,0.39601505407040816,0.5850153463431775,0.125,0.75,2.2197948028224914,
nstxuG142301C50,2,tae_side,23,23,0,0,0,23,26,1.4957093102763275,1.4957093102763275,0.38461538461538464,1.0,16.662436031042382,
nstxuG142301L94,2,tae_side,19,19,0,0,0,19,24,1.6686985300099155,1.769241434099214,0.375,0.9166666666666666,6.4143054794658,
nstxuG142301U84,2,tae_side,25,25,0,0,0,25,42,0.7071093730758427,0.833832247588695,0.19047619047619047,0.7619047619047619,4.871219347002019,
