path,boundary,crossing_r,singularity_r,offset_r,offset_grid,in_interior
nstxuE204707A04t030/N1/egn01w.4123E+02,high,0.5752232275558294,0.5650000000000001,0.010223227555829384,2.044645511165877,True
nstxuG121123K34/N1/egn01w.3383E+02,low,0.40783933815273293,0.395,0.012839338152732915,2.567867630546583,True
nstxuG121123K34/N1/egn01w.6233E+02,low,0.16491316916863058,0.04,0.12491316916863057,24.982633833726116,True
nstxuG121123K34/N1/egn01w.6233E+02,high,0.5055049535943024,0.47500000000000003,0.03050495359430233,6.100990718860466,True
nstxuG121123K34/N1/egn01w.6264E+02,low,0.15445907032878975,0.47500000000000003,-0.3205409296712103,-64.10818593424206,True
nstxuG121123K34/N1/egn01w.6264E+02,high,0.5039455930708177,0.47500000000000003,0.02894559307081762,5.789118614163524,True
nstxuG121123K34/N1/egn01w.6295E+02,low,0.1428355790858096,0.47000000000000003,-0.3271644209141904,-65.43288418283808,True
nstxuG121123K34/N1/egn01w.6295E+02,high,0.5024638882608418,0.47000000000000003,0.03246388826084173,6.492777652168346,True
nstxuG121123K34/N1/egn01w.6318E+02,low,0.13305389906914866,0.47000000000000003,-0.33694610093085137,-67.38922018617028,True
nstxuG121123K34/N1/egn01w.6318E+02,high,0.5013315627100365,0.47000000000000003,0.03133156271003651,6.266312542007302,True
nstxuG121123K34/N1/egn01w.6326E+02,low,0.1297819534572296,0.47000000000000003,-0.34021804654277044,-68.04360930855408,True
nstxuG121123K34/N1/egn01w.6326E+02,high,0.5009695552848721,0.47000000000000003,0.030969555284872052,6.193911056974411,True
nstxuG121123K34/N1/egn01w.6361E+02,low,0.11278761921630687,0.47000000000000003,-0.35721238078369316,-71.44247615673864,True
nstxuG121123K34/N1/egn01w.6361E+02,high,0.49932432749950917,0.47000000000000003,0.02932432749950914,5.864865499901828,True
nstxuG121123K34/N1/egn01w.6408E+02,low,0.08064252950268926,0.465,-0.3843574704973108,-76.87149409946215,True
nstxuG121123K34/N1/egn01w.6408E+02,high,0.49720425880420516,0.465,0.03220425880420513,6.440851760841026,True
nstxuG121123K34/N1/egn01w.6433E+02,low,0.05307633530181212,0.465,-0.4119236646981879,-82.38473293963759,True
nstxuG121123K34/N1/egn01w.6433E+02,high,0.49605507184505915,0.465,0.031055071845059123,6.211014369011824,True
nstxuG121123K34/N1/egn01w.6996E+02,high,0.4729771313743175,0.435,0.03797713137431752,7.595426274863504,True
nstxuG121123K34/N1/egn01w.7250E+02,high,0.46270095782622744,0.42,0.04270095782622746,8.540191565245491,True
nstxuG121123K34/N1/egn01w.7344E+02,high,0.45876561821556483,0.41500000000000004,0.043765618215564794,8.753123643112959,True
nstxuG121123K34/N1/egn01w.7407E+02,high,0.45606569038957556,0.41000000000000003,0.04606569038957553,9.213138077915106,True
nstxuG121123K34/N1/egn01w.7444E+02,high,0.454460284432432,0.405,0.049460284432432,9.892056886486401,True
nstxuG121123K34/N1/egn01w.7510E+02,high,0.451461635908627,0.4,0.05146163590862696,10.29232718172539,True
nstxuG121123K34/N1/egn01w.7719E+02,high,0.4414017215782402,0.395,0.046401721578240185,9.280344315648037,True
nstxuG121123K70/N1/egn01w.2307E+02,high,0.9647484710571504,0.9550000000000001,0.009748471057150376,1.9496942114300753,False
nstxuG121123K70/N1/egn01w.2401E+02,high,0.960920665048969,0.9550000000000001,0.005920665048968932,1.1841330097937863,False
nstxuG121123K70/N1/egn01w.2481E+02,high,0.9582078479546622,0.9500000000000001,0.008207847954662117,1.6415695909324235,False
nstxuG121123K70/N1/egn01w.2636E+02,high,0.9530563807199508,0.935,0.01805638071995075,3.6112761439901497,False
nstxuG121123K70/N1/egn01w.2652E+02,high,0.9524700343988057,0.935,0.01747003439880568,3.4940068797611357,False
nstxuG121123K70/N1/egn01w.2722E+02,high,0.9497164719296803,0.93,0.01971647192968029,3.943294385936058,False
nstxuG121123K70/N1/egn01w.2885E+02,high,0.9384192668737116,0.91,0.028419266873711546,5.683853374742309,False
nstxuG121123K70/N1/egn01w.2987E+02,high,0.9308945213179656,0.9,0.03089452131796555,6.17890426359311,False
nstxuG121123K70/N1/egn01w.3039E+02,high,0.922183700126844,0.9,0.022183700126844008,4.436740025368802,False
nstxuG121123K70/N1/egn01w.3498E+02,high,0.8882515105426942,0.87,0.01825151054269425,3.65030210853885,False
nstxuG121123K70/N1/egn01w.3507E+02,high,0.8878110614317287,0.87,0.017811061431728725,3.562212286345745,False
nstxuG142301E72/N1/egn01w.1898E+02,high,0.11625834742651894,0.16,-0.04374165257348106,-8.748330514696212,True
nstxuG142301E72/N1/egn01w.1898E+02,high,0.6732336385247238,0.655,0.018233638524723816,3.6467277049447633,True
nstxuG142301E72/N1/egn01w.1922E+02,high,0.12146410240225741,0.655,-0.5335358975977427,-106.70717951954853,True
nstxuG142301E72/N1/egn01w.1922E+02,high,0.6707571341708984,0.655,0.015757134170898413,3.1514268341796825,True
nstxuE204944A01t017/N1/egn01w.1659E+02,high,0.6904513613539536,0.685,0.005451361353953521,1.0902722707907042,True
nstxuE204944A01t017/N1/egn01w.1659E+02,high,0.7461196628558545,0.685,0.06111966285585446,12.223932571170891,True
nstxuG142301L94/N1/egn01w.2815E+02,high,0.579733850591478,0.54,0.03973385059147794,7.946770118295587,True
nstxuG142301L94/N1/egn01w.2821E+02,high,0.5787131686875403,0.535,0.04371316868754027,8.742633737508054,True
nstxuG142301U84/N1/egn01w.2769E+02,high,0.06100710125772191,0.1,-0.0389928987422781,-7.798579748455619,True
nstxuG142301U84/N1/egn01w.2769E+02,high,0.6266958749952423,0.615,0.011695874995242272,2.3391749990484545,True
nstxuG142301U84/N1/egn01w.2794E+02,high,0.06499807128513412,0.105,-0.04000192871486588,-8.000385742973176,True
