path,review_group,note
nstxuE204707A04t030/N1/egn01w.4123E+02,ISOLATED,ISOLATED_OFFSET: N1/4123 is 2.045 grid intervals from nearest log radius; 22/23 interior crossings within two.
nstxuG121123K34/N1/egn01w.3383E+02,PRIORITY_REPEATED,PRIORITY_REVIEW: repeated interior N1 offsets; N2 also shows discrepancies.
nstxuG121123K34/N1/egn01w.6233E+02,PRIORITY_REPEATED,PRIORITY_REVIEW: repeated interior N1 offsets; N2 also shows discrepancies.
nstxuG121123K34/N1/egn01w.6264E+02,PRIORITY_REPEATED,PRIORITY_REVIEW: repeated interior N1 offsets; N2 also shows discrepancies.
nstxuG121123K34/N1/egn01w.6295E+02,PRIORITY_REPEATED,PRIORITY_REVIEW: repeated interior N1 offsets; N2 also shows discrepancies.
nstxuG121123K34/N1/egn01w.6318E+02,PRIORITY_REPEATED,PRIORITY_REVIEW: repeated interior N1 offsets; N2 also shows discrepancies.
nstxuG121123K34/N1/egn01w.6326E+02,PRIORITY_REPEATED,PRIORITY_REVIEW: repeated interior N1 offsets; N2 also shows discrepancies.
nstxuG121123K34/N1/egn01w.6361E+02,PRIORITY_REPEATED,PRIORITY_REVIEW: repeated interior N1 offsets; N2 also shows discrepancies.
nstxuG121123K34/N1/egn01w.6408E+02,PRIORITY_REPEATED,PRIORITY_REVIEW: repeated interior N1 offsets; N2 also shows discrepancies.
nstxuG121123K34/N1/egn01w.6433E+02,PRIORITY_REPEATED,PRIORITY_REVIEW: repeated interior N1 offsets; N2 also shows discrepancies.
nstxuG121123K34/N1/egn01w.6996E+02,PRIORITY_REPEATED,PRIORITY_REVIEW: repeated interior N1 offsets; N2 also shows discrepancies.
nstxuG121123K34/N1/egn01w.7250E+02,PRIORITY_REPEATED,PRIORITY_REVIEW: repeated interior N1 offsets; N2 also shows discrepancies.
nstxuG121123K34/N1/egn01w.7344E+02,PRIORITY_REPEATED,PRIORITY_REVIEW: repeated interior N1 offsets; N2 also shows discrepancies.
nstxuG121123K34/N1/egn01w.7407E+02,PRIORITY_REPEATED,PRIORITY_REVIEW: repeated interior N1 offsets; N2 also shows discrepancies.
nstxuG121123K34/N1/egn01w.7444E+02,PRIORITY_REPEATED,PRIORITY_REVIEW: repeated interior N1 offsets; N2 also shows discrepancies.
nstxuG121123K34/N1/egn01w.7510E+02,PRIORITY_REPEATED,PRIORITY_REVIEW: repeated interior N1 offsets; N2 also shows discrepancies.
nstxuG121123K34/N1/egn01w.7719E+02,PRIORITY_REPEATED,PRIORITY_REVIEW: repeated interior N1 offsets; N2 also shows discrepancies.
nstxuG121123K70/N1/egn01w.2307E+02,EDGE_ONLY,"EDGE_REVIEW: no interior N1 crossings; 8/11 outer crossings beyond two intervals, with no continuum repair changes."
nstxuG121123K70/N1/egn01w.2401E+02,EDGE_ONLY,"EDGE_REVIEW: no interior N1 crossings; 8/11 outer crossings beyond two intervals, with no continuum repair changes."
nstxuG121123K70/N1/egn01w.2481E+02,EDGE_ONLY,"EDGE_REVIEW: no interior N1 crossings; 8/11 outer crossings beyond two intervals, with no continuum repair changes."
nstxuG121123K70/N1/egn01w.2636E+02,EDGE_ONLY,"EDGE_REVIEW: no interior N1 crossings; 8/11 outer crossings beyond two intervals, with no continuum repair changes."
nstxuG121123K70/N1/egn01w.2652E+02,EDGE_ONLY,"EDGE_REVIEW: no interior N1 crossings; 8/11 outer crossings beyond two intervals, with no continuum repair changes."
nstxuG121123K70/N1/egn01w.2722E+02,EDGE_ONLY,"EDGE_REVIEW: no interior N1 crossings; 8/11 outer crossings beyond two intervals, with no continuum repair changes."
nstxuG121123K70/N1/egn01w.2885E+02,EDGE_ONLY,"EDGE_REVIEW: no interior N1 crossings; 8/11 outer crossings beyond two intervals, with no continuum repair changes."
nstxuG121123K70/N1/egn01w.2987E+02,EDGE_ONLY,"EDGE_REVIEW: no interior N1 crossings; 8/11 outer crossings beyond two intervals, with no continuum repair changes."
nstxuG121123K70/N1/egn01w.3039E+02,EDGE_ONLY,"EDGE_REVIEW: no interior N1 crossings; 8/11 outer crossings beyond two intervals, with no continuum repair changes."
nstxuG121123K70/N1/egn01w.3498E+02,EDGE_ONLY,"EDGE_REVIEW: no interior N1 crossings; 8/11 outer crossings beyond two intervals, with no continuum repair changes."
nstxuG121123K70/N1/egn01w.3507E+02,EDGE_ONLY,"EDGE_REVIEW: no interior N1 crossings; 8/11 outer crossings beyond two intervals, with no continuum repair changes."
nstxuG142301E72/N1/egn01w.1898E+02,SPARSE_REPEATED,"SPARSE_REVIEW: two informative N1 modes, both suspicious."
nstxuG142301E72/N1/egn01w.1922E+02,SPARSE_REPEATED,"SPARSE_REVIEW: two informative N1 modes, both suspicious."
nstxuE204944A01t017/N1/egn01w.1659E+02,ISOLATED,ISOLATED_OFFSET: N1/1659 has one 12.22-interval nearest-log distance near r=0.746; no repeated shot-level pattern established.
nstxuG142301L94/N1/egn01w.2815E+02,SPARSE_REPEATED,"SPARSE_REVIEW: two informative N1 modes, both shifted by about eight intervals."
nstxuG142301L94/N1/egn01w.2821E+02,SPARSE_REPEATED,"SPARSE_REVIEW: two informative N1 modes, both shifted by about eight intervals."
nstxuG142301U84/N1/egn01w.2769E+02,PRIORITY_REPEATED,PRIORITY_REVIEW: repeated inner and outer N1 offsets in opposite directions.
nstxuG142301U84/N1/egn01w.2794E+02,PRIORITY_REPEATED,PRIORITY_REVIEW: repeated inner and outer N1 offsets in opposite directions.
nstxuG142301U84/N1/egn01w.2818E+02,PRIORITY_REPEATED,PRIORITY_REVIEW: repeated inner and outer N1 offsets in opposite directions.
