path,validity,family,signed_delta,fraction_below_upper2,gap_region,error
nstxuG121123B12/N1/egn01w.4164E+02,bad,none,0.1046,0.7379,below_upper2,
nstxuG121123B12/N1/egn01w.4181E+02,bad,none,0.7215,0.9667,below_upper2,
nstxuG142301W29/N1/egn01w.1998E+02,bad,none,0.9993,1.0000,below_upper2,
nstxuG142301W29/N1/egn01w.2010E+02,bad,none,0.9995,1.0000,below_upper2,
nstxuG142301W29/N1/egn01w.2016E+02,bad,none,0.9977,0.9984,below_upper2,
nstxuG142301W29/N1/egn01w.2024E+02,bad,none,0.9991,0.9997,below_upper2,
nstxuG142301W29/N1/egn01w.2041E+02,bad,none,0.9151,0.9433,below_upper2,
nstxuG142301W29/N1/egn01w.2064E+02,bad,none,0.8079,0.8667,below_upper2,
nstxuG142301W29/N1/egn01w.2079E+02,bad,none,0.9480,0.9653,below_upper2,
nstxuG142301W29/N1/egn01w.2093E+02,bad,none,0.9067,0.9453,below_upper2,
nstxuG142301W29/N1/egn01w.2121E+02,bad,none,0.7555,0.8339,below_upper2,
nstxuG142301W29/N1/egn01w.2158E+02,bad,none,0.8720,0.9523,below_upper2,
nstxuG142301W29/N1/egn01w.2182E+02,bad,none,0.7877,0.8984,below_upper2,
nstxuG142301W29/N1/egn01w.2206E+02,bad,none,0.6996,0.8406,below_upper2,
nstxuG142301W29/N1/egn01w.2503E+02,bad,none,0.8926,0.9579,below_upper2,
nstxuG142301W29/N1/egn01w.2511E+02,bad,none,0.9195,0.9866,below_upper2,
nstx_135388/N1/egn01w.1468E+03,bad,none,-0.7120,0.4063,mixed,
nstx_135388/N1/egn01w.1904E+02,bad,none,0.9967,1.0000,below_upper2,
nstx_135388/N1/egn01w.1934E+02,bad,none,0.9965,1.0000,below_upper2,
nstx_135388/N1/egn01w.1963E+02,bad,none,0.9963,1.0000,below_upper2,
nstx_135388/N1/egn01w.1991E+02,bad,none,0.9960,1.0000,below_upper2,
nstx_135388/N1/egn01w.2018E+02,bad,none,0.9958,1.0000,below_upper2,
nstx_135388/N1/egn01w.2043E+02,bad,none,0.9956,1.0000,below_upper2,
nstx_135388/N1/egn01w.2067E+02,bad,none,0.9924,1.0000,below_upper2,
nstx_135388/N1/egn01w.2092E+02,bad,none,0.9936,1.0000,below_upper2,
nstx_135388/N1/egn01w.2115E+02,bad,none,0.9932,1.0000,below_upper2,
nstx_135388/N1/egn01w.2137E+02,bad,none,0.9926,1.0000,below_upper2,
nstx_135388/N1/egn01w.2159E+02,bad,none,0.9919,1.0000,below_upper2,
nstx_135388/N1/egn01w.2180E+02,bad,none,0.9911,1.0000,below_upper2,
nstx_135388/N1/egn01w.2200E+02,bad,none,0.9903,1.0000,below_upper2,
nstx_135388/N1/egn01w.2220E+02,bad,none,0.9892,1.0000,below_upper2,
nstx_135388/N1/egn01w.2240E+02,bad,none,0.9879,1.0000,below_upper2,
nstx_135388/N1/egn01w.2278E+02,bad,none,0.9863,1.0000,below_upper2,
nstx_135388/N1/egn01w.2296E+02,bad,none,0.9847,1.0000,below_upper2,
nstx_135388/N1/egn01w.2330E+02,bad,none,0.9830,1.0000,below_upper2,
nstx_135388/N1/egn01w.2347E+02,bad,none,0.9819,1.0000,below_upper2,
nstx_135388/N1/egn01w.2364E+02,bad,none,0.9810,1.0000,below_upper2,
nstx_135388/N1/egn01w.2395E+02,bad,none,0.9771,1.0000,below_upper2,
nstx_135388/N1/egn01w.2424E+02,bad,none,0.9758,1.0000,below_upper2,
nstx_135388/N1/egn01w.2439E+02,bad,none,0.9727,1.0000,below_upper2,
nstx_135388/N1/egn01w.2504E+02,bad,none,0.9694,1.0000,below_upper2,
nstx_135388/N1/egn01w.2514E+02,bad,none,0.9629,1.0000,below_upper2,
nstx_135388/N1/egn01w.2525E+02,bad,none,0.9582,1.0000,below_upper2,
nstx_135388/N1/egn01w.2721E+02,bad,none,0.9112,1.0000,below_upper2,
nstx_135388/N1/egn01w.2857E+02,bad,none,0.9001,1.0000,below_upper2,
nstx_135388/N1/egn01w.2865E+02,bad,none,0.8996,1.0000,below_upper2,
nstx_135388/N1/egn01w.2876E+02,bad,none,0.9471,1.0000,below_upper2,
nstx_135388/N1/egn01w.2885E+02,bad,none,0.8984,1.0000,below_upper2,
nstx_135388/N1/egn01w.2905E+02,bad,none,0.9322,1.0000,below_upper2,
nstx_135388/N1/egn01w.6037E+02,bad,none,0.3743,0.4633,mixed,
nstx_135388/N1/egn01w.6120E+02,bad,none,0.3644,0.4548,mixed,
nstx_135388/N1/egn01w.6205E+02,bad,none,0.3812,0.4677,mixed,
nstxuG142301Y93/N1/egn01w.1499E+02,bad,none,0.8791,0.9998,below_upper2,
nstxuG142301Y93/N1/egn01w.1613E+02,bad,none,0.8234,0.9177,below_upper2,
nstxuG142301Y93/N1/egn01w.1674E+02,bad,none,0.8448,0.9471,below_upper2,
nstxuG142301Y93/N1/egn01w.1715E+02,bad,none,0.6427,0.7894,below_upper2,
nstxuG142301Y93/N1/egn01w.1732E+02,bad,none,0.4935,0.7007,below_upper2,
nstxuG142301Y93/N1/egn01w.1894E+02,bad,none,0.1166,0.4505,mixed,
nstxuG142301Y93/N1/egn01w.1902E+02,bad,none,0.2737,0.5110,below_upper2,
nstxuG142301Y93/N1/egn01w.1937E+02,bad,none,0.1498,0.4041,mixed,
nstxuG142301Y93/N1/egn01w.2146E+02,bad,none,-0.0999,0.4624,mixed,
nstxuG142301Y93/N1/egn01w.2168E+02,bad,none,-0.0477,0.5191,below_upper2,
nstxuG142301Y93/N1/egn01w.9416E+01,bad,none,0.9524,1.0000,below_upper2,
