path,boundary,crossing_r,singularity_r,offset_r,offset_grid,nr
nstx_120113/N1/egn01w.6266E+02,high,0.7152183595665157,0.71,0.005218359566515729,1.0436719133031458,201
nstx_135388/N1/egn01w.1468E+03,high,0.5869162420043482,0.61,-0.023083757995651766,-4.616751599130353,201
nstx_135388/N1/egn01w.1468E+03,high,0.6648669354468367,0.64,0.024866935446836713,4.973387089367343,201
nstx_135388/N1/egn01w.1904E+02,low,0.4996394767804037,0.485,0.014639476780403726,2.9278953560807452,201
nstx_135388/N1/egn01w.1934E+02,low,0.4953401939489344,0.48,0.015340193948934433,3.0680387897868866,201
nstx_135388/N1/egn01w.1963E+02,low,0.49102931106851816,0.47500000000000003,0.016029311068518126,3.2058622137036252,201
nstx_135388/N1/egn01w.1991E+02,low,0.48671949872211473,0.47000000000000003,0.0167194987221147,3.34389974442294,201
nstx_135388/N1/egn01w.2018E+02,low,0.48240514454607536,0.465,0.017405144546075335,3.481028909215067,201
nstx_135388/N1/egn01w.2043E+02,low,0.47806625369085465,0.46,0.018066253690854628,3.6132507381709256,201
nstx_135388/N1/egn01w.2067E+02,low,0.47391255391349235,0.455,0.018912553913492336,3.782510782698467,201
nstx_135388/N1/egn01w.2092E+02,low,0.46949435369355735,0.45,0.019494353693557342,3.8988707387114685,201
nstx_135388/N1/egn01w.2115E+02,low,0.46513635691442945,0.445,0.020136356914429443,4.027271382885889,201
nstx_135388/N1/egn01w.2137E+02,low,0.46075259654698997,0.44,0.020752596546989965,4.150519309397993,201
nstx_135388/N1/egn01w.2159E+02,low,0.45635487165511507,0.435,0.02135487165511507,4.270974331023014,201
nstx_135388/N1/egn01w.2180E+02,low,0.4519438295489992,0.43,0.021943829548999205,4.388765909799841,201
nstx_135388/N1/egn01w.2200E+02,low,0.4475163951665497,0.425,0.022516395166549685,4.503279033309937,201
nstx_135388/N1/egn01w.2220E+02,low,0.44308320137295026,0.42,0.02308320137295028,4.616640274590056,201
nstx_135388/N1/egn01w.2240E+02,low,0.43864653263033526,0.41500000000000004,0.023646532630335226,4.729306526067045,201
nstx_135388/N1/egn01w.2278E+02,low,0.42949415780291467,0.405,0.02449415780291464,4.898831560582928,201
nstx_135388/N1/egn01w.2296E+02,low,0.031136060881466313,0.02,0.011136060881466313,2.2272121762932624,201
nstx_135388/N1/egn01w.2296E+02,low,0.4249677500612172,0.4,0.024967750061217153,4.99355001224343,201
nstx_135388/N1/egn01w.2330E+02,low,0.0836081169015979,0.125,-0.041391883098402096,-8.278376619680419,201
nstx_135388/N1/egn01w.2330E+02,low,0.41609888088744523,0.39,0.02609888088744522,5.219776177489043,201
nstx_135388/N1/egn01w.2347E+02,low,0.09802125598062612,0.135,-0.036978744019373885,-7.395748803874777,201
nstx_135388/N1/egn01w.2347E+02,low,0.41159527425146236,0.385,0.026595274251462353,5.319054850292471,201
