shot,shot_family,E_series,input_modes,size_bin,stratum_rank
nstxuE205055A01t022,NSTX-U E,205055,1017,high,1
nstxuE203656A02t030,NSTX-U E,203656,947,high,2
nstxuE204678M01t017,NSTX-U E,204678,302,low,1
nstxuE203656A02t020,NSTX-U E,203656,293,low,2
nstxuE205042A01t022,NSTX-U E,205042,259,low,3
nstxuE202947A03t015,NSTX-U E,202947,188,low,4
nstxuE202926A03t025,NSTX-U E,202926,330,low,5
nstxuE203655F01t020,NSTX-U E,203655,243,low,6
nstxuE205042A01t020,NSTX-U E,205042,441,medium,1
nstxuE204636A01t020,NSTX-U E,204636,648,medium,2
nstxuE203653A02t025,NSTX-U E,203653,406,medium,3
nstxuE203981A01t025,NSTX-U E,203981,692,medium,4
nstxuE204955F02t017,NSTX-U E,204955,680,medium,5
nstxuE202947A03t025,NSTX-U E,202947,612,medium,6
nstxuE204636A01t017,NSTX-U E,204636,554,medium,7
nstxuE202944A02t021,NSTX-U E,202944,670,medium,8
nstxuE203653A02t030,NSTX-U E,203653,670,medium,9
nstxuE205055A01t027,NSTX-U E,205055,741,medium,10
nstxuE203655F01t025,NSTX-U E,203655,558,medium,11
nstxuE204955F02t025,NSTX-U E,204955,564,medium,12
nstxuE205072A02t034,NSTX-U E,205072,405,medium,13
nstxuE204957F05t034,NSTX-U E,204957,641,medium,14
nstxuE205034A01t021,NSTX-U E,205034,764,medium,15
nstxuE202947A03t020,NSTX-U E,202947,467,medium,16
nstxuE202944A02t020,NSTX-U E,202944,497,medium,17
nstxuE204118F01t020,NSTX-U E,204118,639,medium,18
nstxuE204678M01t020,NSTX-U E,204678,438,medium,19
