path,shot,mode_key,input_fingerprint,rules_decision,rules_reason,rf_cnn_decision,p_rf_good,p_cnn_good,rf_cnn_tier,overall_rule_severity,rule_margin,nearest_gate,rules_selected_final,rf_cnn_selected_final
nstxuE205055A01t022/N4/egn04w.8091E+01,nstxuE205055A01t022,nstxuE205055A01t022/N4/egn04w.8091E+01,01797f0c9da578e85962b7f665b6ad7a703d4961751f72a52f5b66643b2c6507,BAD,BAD_EDGE_SPIKE,GOOD,0.43666666666666665,1.0,flagged_cnn_rescue,4.255136561100106,-3.255136561100106,BAD_EDGE_SPIKE,,True
nstxuE205055A01t022/N6/egn06w.1619E+02,nstxuE205055A01t022,nstxuE205055A01t022/N6/egn06w.1619E+02,3376fb44e07d5714e3fd8d0f949a8319f7ba23dfd7cca948251807013914aa46,BAD,BAD_CONT_CROSS_WINDOW,GOOD,0.5933333333333334,0.9970735311508179,silver_good,3.0842713198486025,-2.0842713198486025,BAD_CONT_CROSS_WINDOW,,True
nstxuE205055A01t022/N7/egn07w.6879E+01,nstxuE205055A01t022,nstxuE205055A01t022/N7/egn07w.6879E+01,c9419b96cd42fdb2a6908710c832be3e022c81cd91c56d1933814d29ad70d855,GOOD,NO_GOOD_TEMPLATE,BAD,0.15333333333333332,1.0,flagged_borderline_or_disagreement,0.5235976586549416,0.47640234134505843,BAD_GRID_SCALE_SPIKE,True,
nstxuE205055A01t022/N10/egn10w.8919E+01,nstxuE205055A01t022,nstxuE205055A01t022/N10/egn10w.8919E+01,df3c1c9c0410974cdf6d1f4ec5a35b293353ef90c69efe74e44c0d987a04fac8,BAD,BAD_AXIS_SPIKE,GOOD,0.9166666666666666,2.324588817877865e-13,flagged_rf_only_good,1.9306214611950117,-0.9306214611950117,BAD_NEAR_AXIS_GRID_OSCILLATION,,True
nstxuE205055A01t022/N10/egn10w.1736E+02,nstxuE205055A01t022,nstxuE205055A01t022/N10/egn10w.1736E+02,c7945684b7e7ccb778953feaf77e87b5a2a5e2eb8d46acd2ef2a2bbcba6fa22a,BAD,BAD_AXIS_SPIKE,GOOD,0.69,1.2252839005640467e-19,flagged_rf_only_good,1.0005955434200404,-0.000595543420040423,BAD_AXIS_SPIKE,,True
nstxuE203656A02t030/N2/egn02w.8304E+01,nstxuE203656A02t030,nstxuE203656A02t030/N2/egn02w.8304E+01,ec338dc99ed15c4d5372e9e1a6aac8a8b4205ea31dab2628717bd988eb9fd77c,GOOD,NO_GOOD_TEMPLATE,BAD,0.36666666666666664,1.0720963480448624e-27,silver_bad,0.43878154131985436,0.5612184586801456,BAD_AXIS_SPIKE,True,
nstxuE203656A02t030/N2/egn02w.8376E+01,nstxuE203656A02t030,nstxuE203656A02t030/N2/egn02w.8376E+01,43f45cd3c4f9f68ffe333258970c78f3e1191ad5986b814a775c4ddcbfaa40cb,GOOD,NO_GOOD_TEMPLATE,BAD,0.4866666666666667,0.03914802148938179,flagged_borderline_or_disagreement,0.3752471372748663,0.6247528627251338,BAD_AXIS_SPIKE,True,
nstxuE203656A02t030/N7/egn07w.8629E+01,nstxuE203656A02t030,nstxuE203656A02t030/N7/egn07w.8629E+01,34ca4b17ddc2ffc9d5ef762472ef9d2968859df653cb24e9ae570dae0a2358f8,BAD,BAD_AXIS_SPIKE,GOOD,0.8066666666666666,2.0375700366764837e-22,flagged_rf_only_good,1.3976946895923392,-0.3976946895923392,BAD_NEAR_AXIS_GRID_OSCILLATION,,True
nstxuE203656A02t030/N8/egn08w.7553E+01,nstxuE203656A02t030,nstxuE203656A02t030/N8/egn08w.7553E+01,f3dceebc8626e53f93330bfe678925556dbb312e63d6dd7fb1f3982e188ac884,BAD,BAD_INTERIOR_UNRESOLVED_ENVELOPE,GOOD,0.44333333333333336,1.0,flagged_cnn_rescue,1.0161181338663565,-0.01611813386635652,BAD_INTERIOR_UNRESOLVED_ENVELOPE,,True
nstxuE203656A02t030/N8/egn08w.7626E+01,nstxuE203656A02t030,nstxuE203656A02t030/N8/egn08w.7626E+01,9f0038e27222c3fde489a1257abf3d3d4fd80cd73373b862309fb55953061a88,GOOD,NO_GOOD_TEMPLATE,BAD,0.44666666666666666,3.03490621522684e-10,flagged_borderline_or_disagreement,0.9795446731967083,0.02045532680329165,BAD_INTERIOR_UNRESOLVED_ENVELOPE,True,
