shot,shot_family,size_bin,input_modes,E_series,stratum_rank
nstxuE205040A01t016,NSTX-U E,low,297,205040,1
nstxuE204944A01t017,NSTX-U E,low,388,204944,2
nstxuE204118F01t040,NSTX-U E,low,360,204118,3
nstxuE203655F01t017,NSTX-U E,low,338,203655,4
nstxuE205016A01t025,NSTX-U E,low,398,205016,5
nstxuE205040A01t020,NSTX-U E,low,296,205040,6
nstxuE204678M01t017,NSTX-U E,low,302,204678,7
nstxuE204636A01t025,NSTX-U E,low,373,204636,8
nstxuE205040A01t018,NSTX-U E,low,247,205040,9
nstxuE203653A02t017,NSTX-U E,low,326,203653,10
nstxuE205016A01t020,NSTX-U E,low,393,205016,11
nstxuE202926A03t037,NSTX-U E,low,385,202926,12
nstxuE205042A01t025,NSTX-U E,low,158,205042,13
nstxuE202947A03t015,NSTX-U E,low,188,202947,14
nstxuE202926A03t025,NSTX-U E,low,330,202926,15
nstxuE203656A02t020,NSTX-U E,low,293,203656,16
nstxuE205042A01t017,NSTX-U E,low,223,205042,17
nstxuE204955F02t023,NSTX-U E,low,373,204955,18
nstxuE205042A01t022,NSTX-U E,low,259,205042,19
nstxuE203653A02t020,NSTX-U E,low,213,203653,20
nstxuE204645A16t020,NSTX-U E,low,242,204645,21
nstxuE203655F01t020,NSTX-U E,low,243,203655,22
nstxuE203656A02t017,NSTX-U E,low,325,203656,23
nstxuE204708F03t017,NSTX-U E,medium,623,204708,1
nstxuE204645A16t015,NSTX-U E,medium,535,204645,2
nstxuE205040A01t022,NSTX-U E,medium,472,205040,3
nstxuE203262A04t018,NSTX-U E,medium,573,203262,4
nstxuE204636A01t017,NSTX-U E,medium,554,204636,5
nstxuE204645A16t025,NSTX-U E,medium,526,204645,6
nstxuE204186A01t030,NSTX-U E,medium,595,204186,7
nstxuE204957F05t027,NSTX-U E,medium,748,204957,8
nstxuE204708A06t020,NSTX-U E,medium,670,204708,9
nstxuE204708A06t017,NSTX-U E,medium,655,204708,10
nstxuE204621A03t017,NSTX-U E,medium,600,204621,11
nstxuE204708A06t035,NSTX-U E,medium,425,204708,12
nstxuE202842A01t030,NSTX-U E,medium,434,202842,13
nstxuE204944A01t020,NSTX-U E,medium,597,204944,14
nstxuE202926A03t030,NSTX-U E,medium,459,202926,15
nstxuE202947A03t020,NSTX-U E,medium,467,202947,16
nstxuE203655F01t025,NSTX-U E,medium,558,203655,17
nstxuE204621A03t020,NSTX-U E,medium,723,204621,18
nstxuE205017A01t017,NSTX-U E,medium,401,205017,19
nstxuE204955F02t017,NSTX-U E,medium,680,204955,20
nstxuE205034A01t017,NSTX-U E,medium,426,205034,21
nstxuE204118F01t017,NSTX-U E,medium,517,204118,22
nstxuE204944A01t027,NSTX-U E,medium,575,204944,23
nstxuE205055A01t027,NSTX-U E,medium,741,205055,24
nstxuE203262A04t022,NSTX-U E,medium,456,203262,25
