shot,mode_key,input_fingerprint,rules_decision,rules_reason,rf_cnn_decision,p_rf_good,p_cnn_good,rf_cnn_tier
nstxuE205040A01t016,nstxuE205040A01t016/N6/egn06w.2836E+01,efc5f0292d89a2c22f71b98e8561edced1a0582b2864d53750d1dad01ca5c612,GOOD,NO_GOOD_TEMPLATE,BAD,0.05333333333333334,0.0,gold_bad
nstxuE204944A01t017,nstxuE204944A01t017/N1/egn01w.4986E+01,ea0b3714a37ca58b7cb99bcfbc6032e78f54f123a5e0813c4a8590f99cc2dffa,BAD,BAD_AXIS_SPIKE,GOOD,0.8,1.2292531437196885e-09,flagged_rf_only_good
nstxuE204944A01t017,nstxuE204944A01t017/N5/egn05w.5014E+01,ee912730de345b658dafc1578e10f4633597a46452c36e37945b3028e1641353,BAD,BAD_NEAR_AXIS_GRID_OSCILLATION,GOOD,0.92,0.9999631643295288,gold_good
nstxuE204708F03t017,nstxuE204708F03t017/N8/egn08w.6836E+01,233349d3f9978cfff399766f24cc30252b22c56d280969e5b463d594f5eeda77,GOOD,NO_GOOD_TEMPLATE,BAD,0.4033333333333333,0.0,flagged_borderline_or_disagreement
nstxuE204708F03t017,nstxuE204708F03t017/N8/egn08w.8950E+01,5c7c3ab4181a93443a5b3aefbe294a0e2e9dcdbadbdcc45ec5ecd18eb29e8743,GOOD,NO_GOOD_TEMPLATE,BAD,0.17,3.928385019945959e-16,gold_bad
nstxuE204708F03t017,nstxuE204708F03t017/N9/egn09w.9734E+01,0d273e5326d2eca6ec001a1ffb76634ae317108c031982dd14cb411c063ba4c4,BAD,BAD_GRID_SCALE_SPIKE,GOOD,0.7133333333333334,1.0,gold_good
nstxuE204708F03t017,nstxuE204708F03t017/N10/egn10w.7424E+01,1c68f194d97b7503af072f5fc6f3f5c89bf043569b86f46c77d34ef97214ea60,GOOD,NO_GOOD_TEMPLATE,BAD,0.36,0.0,silver_bad
nstxuE204708F03t017,nstxuE204708F03t017/N10/egn10w.9714E+01,7ff7d40cf944edd2ca836d89f91078894f9ca3c1ff18d4e8d85044125e534466,BAD,BAD_GRID_SCALE_SPIKE,GOOD,0.7466666666666667,1.0,gold_good
nstxuE204645A16t015,nstxuE204645A16t015/N6/egn06w.4765E+01,06e7f8ec5bdc198aa098fdc5b828aafaca837d032e6bf593c3187fa78d0570c4,GOOD,NO_GOOD_TEMPLATE,BAD,0.41333333333333333,3.019061107627746e-38,flagged_borderline_or_disagreement
nstxuE204645A16t015,nstxuE204645A16t015/N7/egn07w.4136E+01,94a6a54cf5a4a22fe5b59f0838a9652b81d81f6e1e304d9f180dc7be9f770e6a,BAD,BAD_GRID_SCALE_SPIKE,GOOD,0.7066666666666667,1.0,gold_good
nstxuE204645A16t015,nstxuE204645A16t015/N7/egn07w.4255E+01,50667425a1be9170d7b5089f1593457295f62be0a8bb5a369a679e6fd8e13d8f,BAD,BAD_GRID_SCALE_SPIKE,GOOD,0.9366666666666666,1.0,gold_good
nstxuE204645A16t015,nstxuE204645A16t015/N10/egn10w.3812E+01,be847a5163fbb80c6fb82f2ebfd972ecc6593bd3c2fc66f1fce54f511f7b46c8,BAD,BAD_GRID_SCALE_SPIKE,GOOD,0.5033333333333333,0.12280832231044769,flagged_rf_only_good
nstxuE203262A04t018,nstxuE203262A04t018/N6/egn06w.4322E+01,4f820e7ecdf64ed433fc448724b250c0516b57d9e250e34b24a1b0d1124ae696,BAD,BAD_CONT_CROSS_WINDOW,GOOD,0.6633333333333333,0.9956865310668945,silver_good
nstxuE203262A04t018,nstxuE203262A04t018/N10/egn10w.6516E+01,38eae558a619898e404243c829ddbc19b3ed08882d5e3835c0785d43ad1095da,BAD,BAD_GRID_SCALE_SPIKE,GOOD,0.7133333333333334,0.999995231628418,gold_good
