mode_key,input_fingerprint,scenario,cut_r_inclusive,held_frequency,omega,valid_weight_fraction,signed_delta,fraction_below_upper2,gap_region,routed_to
nstxuE205040A01t016/N3/egn03w.1082E+02,698eda9a279032d6d25b1c16365ae8a34168b8ad3c16d98611bd84690ea87e3e,current,,,3.289286446151433,0.9678255666264565,-0.06881226631557626,0.18025997916149622,mixed,tae_like
nstxuE205040A01t016/N3/egn03w.1082E+02,698eda9a279032d6d25b1c16365ae8a34168b8ad3c16d98611bd84690ea87e3e,mask,0.95,,3.289286446151433,0.9197470122799235,-0.6232097344930521,0.13740915755978705,above_upper2,eae_like
nstxuE205040A01t016/N3/egn03w.1082E+02,698eda9a279032d6d25b1c16365ae8a34168b8ad3c16d98611bd84690ea87e3e,hold_previous_four_mean_frequency,0.95,5.696719136872577,3.289286446151433,0.9678255666264565,-0.4987201409787522,0.18025997916149622,above_upper2,eae_like
nstxuE205040A01t016/N3/egn03w.1082E+02,698eda9a279032d6d25b1c16365ae8a34168b8ad3c16d98611bd84690ea87e3e,mask,0.96,,3.289286446151433,0.9293061743324296,-0.5957640863555707,0.1462820628257153,above_upper2,eae_like
nstxuE205040A01t016/N3/egn03w.1082E+02,698eda9a279032d6d25b1c16365ae8a34168b8ad3c16d98611bd84690ea87e3e,hold_previous_four_mean_frequency,0.96,5.839421490527991,3.289286446151433,0.9678255666264565,-0.4917575623102364,0.18025997916149622,above_upper2,eae_like
nstxuE205040A01t016/N3/egn03w.1082E+02,698eda9a279032d6d25b1c16365ae8a34168b8ad3c16d98611bd84690ea87e3e,mask,0.97,,3.289286446151433,0.9401320069845063,-0.4941248373469045,0.15611281792315038,above_upper2,eae_like
nstxuE205040A01t016/N3/egn03w.1082E+02,698eda9a279032d6d25b1c16365ae8a34168b8ad3c16d98611bd84690ea87e3e,hold_previous_four_mean_frequency,0.97,7.736836572328432,3.289286446151433,0.9678255666264565,-0.3767012868649253,0.18025997916149622,above_upper2,eae_like
nstxuE205040A01t016/N10/egn10w.3900E+01,c4ac83bddff9bcc82fa455c74b1bc61aa6c250c8b6ba9e48df2f1054ec5e88dc,current,,,1.9749631101859593,0.8912796827138486,0.10489440075579762,0.10001166096741985,mixed,tae_like
nstxuE205040A01t016/N10/egn10w.3900E+01,c4ac83bddff9bcc82fa455c74b1bc61aa6c250c8b6ba9e48df2f1054ec5e88dc,mask,0.95,,1.9749631101859593,0.8698059034856962,0.009390599398948776,0.07779273738590721,mixed,tae_like
nstxuE205040A01t016/N10/egn10w.3900E+01,c4ac83bddff9bcc82fa455c74b1bc61aa6c250c8b6ba9e48df2f1054ec5e88dc,hold_previous_four_mean_frequency,0.95,5.350805007108342,1.9749631101859593,0.8912796827138486,0.08120326825948669,0.10001166096741985,mixed,tae_like
nstxuE205040A01t016/N10/egn10w.3900E+01,c4ac83bddff9bcc82fa455c74b1bc61aa6c250c8b6ba9e48df2f1054ec5e88dc,mask,0.96,,1.9749631101859593,0.8794956749577154,0.04508190031681647,0.08795308027218295,mixed,tae_like
nstxuE205040A01t016/N10/egn10w.3900E+01,c4ac83bddff9bcc82fa455c74b1bc61aa6c250c8b6ba9e48df2f1054ec5e88dc,hold_previous_four_mean_frequency,0.96,5.4233276893765,1.9749631101859593,0.8912796827138486,0.08257524321529881,0.10001166096741985,mixed,tae_like
nstxuE205040A01t016/N10/egn10w.3900E+01,c4ac83bddff9bcc82fa455c74b1bc61aa6c250c8b6ba9e48df2f1054ec5e88dc,mask,0.97,,1.9749631101859593,0.8912796827138486,0.10489440075579762,0.10001166096741985,mixed,tae_like
nstxuE205040A01t016/N10/egn10w.3900E+01,c4ac83bddff9bcc82fa455c74b1bc61aa6c250c8b6ba9e48df2f1054ec5e88dc,hold_previous_four_mean_frequency,0.97,7.470105102323162,1.9749631101859593,0.8912796827138486,0.10489440075579762,0.10001166096741985,mixed,tae_like
