shot,reason
nstx_120113,training
nstx_135388,training
nstx_141711,training
nstxuE202806A02t025,checked_post_training
nstxuE202806A02t045,E_series_already_training_or_checked
nstxuE202855A01t020,training
nstxuE202855A01t025,E_series_already_training_or_checked
nstxuE202855A01t030,E_series_already_training_or_checked
nstxuE203609A01t017,E_series_already_training_or_checked
nstxuE203609A01t020,checked_post_training
nstxuE203609A01t030,E_series_already_training_or_checked
nstxuE203609A01t037,E_series_already_training_or_checked
nstxuE203963A01t017,E_series_already_training_or_checked
nstxuE203963A01t020,E_series_already_training_or_checked
nstxuE203963A01t025,checked_post_training
nstxuE203963A01t030,E_series_already_training_or_checked
nstxuE204669M03t015,E_series_already_training_or_checked
nstxuE204669M03t020,E_series_already_training_or_checked
nstxuE204669M03t025,training
nstxuE204669M03t030,E_series_already_training_or_checked
nstxuE204707A04t015,E_series_already_training_or_checked
nstxuE204707A04t020,E_series_already_training_or_checked
nstxuE204707A04t025,E_series_already_training_or_checked
nstxuE204707A04t030,checked_post_training
nstxuE204707X02t017,E_series_already_training_or_checked
nstxuE204707X02t020,E_series_already_training_or_checked
nstxuE204707X02t027,E_series_already_training_or_checked
nstxuE204707X02t035,E_series_already_training_or_checked
nstxuE204954A01t017,E_series_already_training_or_checked
nstxuE204954A01t022,checked_post_training
nstxuE205035A01t017,E_series_already_training_or_checked
nstxuE205035A01t020,checked_post_training
nstxuE205035A01t025,E_series_already_training_or_checked
nstxuE205035A01t030,E_series_already_training_or_checked
nstxuE205045A01t017,E_series_already_training_or_checked
nstxuE205045A01t022,checked_post_training
nstxuE205045A01t027,E_series_already_training_or_checked
nstxuE205045A01t035,E_series_already_training_or_checked
nstxuE205052A01t017,E_series_already_training_or_checked
nstxuE205052A01t022,training
nstxuE205052A01t027,E_series_already_training_or_checked
nstxuE205052A01t035,E_series_already_training_or_checked
nstxuE205054A01t017,E_series_already_training_or_checked
nstxuE205054A01t020,E_series_already_training_or_checked
nstxuE205054A01t027,E_series_already_training_or_checked
nstxuE205054A01t037,checked_post_training
nstxuE205057A01t017,E_series_already_training_or_checked
nstxuE205057A01t020,checked_post_training
nstxuE205057A01t025,E_series_already_training_or_checked
nstxuE205057A01t030,E_series_already_training_or_checked
nstxuG121123B12,training
nstxuG121123J38,training
nstxuG121123K34,checked_post_training
nstxuG121123K51,training
nstxuG121123K70,checked_post_training
nstxuG121123N80,checked_post_training
nstxuG121123Q62,suspended_training_q62
nstxuG133964S31,training
nstxuG142301D46,input_issue
nstxuG142301E72,checked_post_training
nstxuG142301H47,training
nstxuG142301H56,checked_post_training
nstxuG142301V21,checked_post_training
nstxuG142301W29,training
nstxuG142301Y93,training
nstxu_202806,empty_no_egn
nstxu_204202,training
