path,shot,before,after,manual_reason,original_rule_decision,rule_primary_reason,input_fingerprint
nstxuE202947A03t015/N5/egn05w.2352E+01,nstxuE202947A03t015,BAD,GOOD,smooth core mode with continuum crossing in low shear region,BAD,BAD_CONT_CROSS_WINDOW,33429190a687c18d115d488121ba7ee41bcbe49d5c6041b13394bad2be189568
nstxuE203653A02t025/N3/egn03w.1814E+02,nstxuE203653A02t025,GOOD,BAD,bad_continuum_crossing_tail,REVIEW,NO_GOOD_TEMPLATE,76a32304581abf0a33431e553f24bbcb6b9cd0f0f2d3efa5a0feb728a1c3f2dd
nstxuE203655F01t025/N3/egn03w.8443E+01,nstxuE203655F01t025,BAD,GOOD,axis spike is part of mode structure,BAD,BAD_AXIS_SPIKE,914894243980b78ffb4338edf7e0f42d8fc75353e83ce14cc0e3904d1d664213
nstxuE203656A02t030/N9/egn09w.1023E+02,nstxuE203656A02t030,BAD,GOOD,smooth mode structure and continuum crossing in low shear region,BAD,BAD_CONT_CROSS_WINDOW,ee1924f77596d609a6d4115a235a17c0decb5bc09567e8b7f7845ee6ef7a2b61
nstxuE203656A02t030/N10/egn10w.9671E+01,nstxuE203656A02t030,GOOD,BAD,BAD_NEAR_AXIS_GRID_OSCILLATION,REVIEW,NO_GOOD_TEMPLATE,d194721d266bcab22025447927e72a2afc74719d25af20c1d11ccab7cf7720a6
nstxuE204621A03t030/N6/egn06w.1273E+02,nstxuE204621A03t030,GOOD,BAD,bad_continuum_crossing_tail,REVIEW,NO_GOOD_TEMPLATE,c0f165b744adff896578ce9e629e6e2d73c16555823cdf7d904ff21e57e6eb03
nstxuE204636A01t020/N8/egn08w.1113E+02,nstxuE204636A01t020,GOOD,BAD,BAD_NEAR_AXIS_GRID_OSCILLATION,REVIEW,NO_GOOD_TEMPLATE,84d7a3f66b62c85ab96a36eb9f2f427b1fa4366305bf5de1ccd4c7446f150149
nstxuE204636A01t020/N9/egn09w.9543E+01,nstxuE204636A01t020,GOOD,BAD,BAD_NEAR_AXIS_GRID_OSCILLATION,REVIEW,NO_GOOD_TEMPLATE,d317a55879e4c726e551f90ebdf25fc2206e9a7f0cb75b8cdcd207ed7d471135
nstxuE204645A16t015/N7/egn07w.4136E+01,nstxuE204645A16t015,BAD,GOOD,edge spike is part of mode structure,BAD,BAD_GRID_SCALE_SPIKE,94a6a54cf5a4a22fe5b59f0838a9652b81d81f6e1e304d9f180dc7be9f770e6a
nstxuE204645A16t015/N7/egn07w.4255E+01,nstxuE204645A16t015,BAD,GOOD,edge spike is part of mode structure,BAD,BAD_GRID_SCALE_SPIKE,50667425a1be9170d7b5089f1593457295f62be0a8bb5a369a679e6fd8e13d8f
nstxuE204707A04t030/N3/egn03w.1326E+02,nstxuE204707A04t030,BAD,GOOD,large near axis amplitude is part of mode structure,BAD,BAD_AXIS_SPIKE,73fb1dacebb8ec83216eada8cb47f92543a234b27aa8a80c5bfc25512c2d8e2e
nstxuE204955F02t017/N7/egn07w.8319E+01,nstxuE204955F02t017,BAD,GOOD,good mode localized near continuum min,BAD,BAD_INTERIOR_UNRESOLVED_ENVELOPE,98e4afef937e24ef981e6c3ca4e42bcfa078839e1a3268945f59fca64273fcd4
nstxuE204955F02t017/N9/egn09w.5709E+01,nstxuE204955F02t017,BAD,GOOD,edge spike is part of the mode,BAD,BAD_GRID_SCALE_SPIKE,e5dac75bd89cbc4b5543208c4ab67396e18e9aa756fe23690234a9ec135d47d2
nstxuE205040A01t016/N6/egn06w.2836E+01,nstxuE205040A01t016,GOOD,BAD,BAD_NEAR_AXIS_GRID_OSCILLATION and bad_continuum_crossing,REVIEW,NO_GOOD_TEMPLATE,efc5f0292d89a2c22f71b98e8561edced1a0582b2864d53750d1dad01ca5c612
nstxuE205057A01t020/N8/egn08w.1767E+02,nstxuE205057A01t020,GOOD,BAD,BAD_NEAR_AXIS_GRID_OSCILLATION,REVIEW,NO_GOOD_TEMPLATE,a1a76c0d68f2f1d12b87f4efb16340e3b0f1898909da1971d398d7ab8779296f
nstxuG121123N80/N9/egn09w.4646E+02,nstxuG121123N80,BAD,GOOD,good mode localized at continuum min,BAD,BAD_INTERIOR_UNRESOLVED_ENVELOPE,fd222197f4a4d3ad65a850e03b22476667e8be91dd9eb7eac583e9ee7e5ee439
nstxuG142301H56/N1/egn01w.4501E+02,nstxuG142301H56,GOOD,BAD,too narrow AND bad_continuum_crossing_tail,REVIEW,NO_GOOD_TEMPLATE,22f30b3457b909f7d2c912841ca45fc63b7977970009d95499e766e9f1a51ba0
