path,before,after,action,manual_reason,input_fingerprint
nstxuE202806A02t025/N3/egn03w.7423E+01,BAD,BAD,KEEP_RULE_DECISION,,2fec1402fbb861b352c615d80e1b41728c27364ce9ee0d91b0aaf7931df8cbfb
nstxuE202806A02t025/N3/egn03w.2515E+02,BAD,BAD,KEEP_RULE_DECISION,,8be9e16371a6a989118d69beda3a49f5a35465eb7374db869548fd91a05fba39
nstxuE202806A02t025/N4/egn04w.1294E+02,BAD,BAD,KEEP_RULE_DECISION,,b0159fd2a30cd918dffd8ae15ce838b2ee61f4ed0d855ab2d296d20b8f4915c9
nstxuE202806A02t025/N6/egn06w.9229E+01,GOOD,GOOD,KEEP_RULE_DECISION,,783f25289858d550cc75bfa1641b2b78d6d6d0668b9ad6e92c1af0d06e118117
nstxuE202806A02t025/N7/egn07w.8340E+01,BAD,BAD,KEEP_RULE_DECISION,,f680dbc01f8108994e35f1575a4eb84e688f6d230d13db5e21d01deffdfd6f85
nstxuE202806A02t025/N7/egn07w.2445E+02,BAD,BAD,KEEP_RULE_DECISION,,3893b12babfd5d6e98830bb120c2a8b00171e2149b4e0d66ad96436e2103a87c
nstxuE202806A02t025/N8/egn08w.7959E+01,BAD,BAD,KEEP_RULE_DECISION,,75d10fe839ba61b32c41b4e6a3a6195a4834bf33112abe395c6c62fc58f6d8e0
nstxuE202806A02t025/N8/egn08w.9030E+01,GOOD,GOOD,KEEP_RULE_DECISION,,50e17b41f61158411b7324db314d13b3e5fef52169002702ff6f01aeb27e8b15
nstxuE202806A02t025/N8/egn08w.1016E+02,BAD,BAD,KEEP_RULE_DECISION,,1a914bd894a5728c1d1f6510edb0b674d5863b2e894d959cb582b458de4b83e7
nstxuE202806A02t025/N8/egn08w.1611E+02,GOOD,GOOD,KEEP_RULE_DECISION,,1f885e062dc5bc88436795fdf3913507ec9ec2d6f5f72f3695ce8de95c86f16d
nstxuE202806A02t025/N9/egn09w.7757E+01,BAD,BAD,KEEP_RULE_DECISION,,7f6f9d59506f03d85e1dfb456d245a5dcda5a3736c408c6a92fabe5ffd6816ab
nstxuE202806A02t025/N9/egn09w.9313E+01,BAD,BAD,KEEP_RULE_DECISION,,afcdaea58adcf195d6d38dbbc18f94909aeb719efc876a130de23185a08b40b7
nstxuE202806A02t025/N9/egn09w.1552E+02,BAD,BAD,KEEP_RULE_DECISION,,e87bf24c37c5b9da78b9454134d5861c8e1370cad794cb5b71581a07fc6d05c9
nstxuE202806A02t025/N10/egn10w.5223E+01,GOOD,GOOD,KEEP_RULE_DECISION,,85449cbce8b30569d6d216bb2c0f732c1b9797401306f3daafd693395ba98bbe
nstxuE202806A02t025/N10/egn10w.7692E+01,BAD,BAD,KEEP_RULE_DECISION,,86bdc4280e651f111ccabe49392ceedf033de653e558f48f5b52cfe5bb40f998
nstxuE202806A02t025/N10/egn10w.1319E+02,BAD,BAD,KEEP_RULE_DECISION,,a1e29210221f6a319e915c8c5f810954e1fe379d5d5461db9d8af87d925087bf
nstxuE202926A03t025/N4/egn04w.1699E+02,GOOD,GOOD,KEEP_RULE_DECISION,,8980ab1455466f19b4013e6b450e8b176602fee8f9cbee9b0d6f99c08ecd2f9d
nstxuE202926A03t025/N6/egn06w.3957E+01,BAD,BAD,KEEP_RULE_DECISION,,3d89f9643baf380bb8f1da34b45e9e9bd2506523b3a5249fd123204b81a5353e
nstxuE202926A03t025/N8/egn08w.6500E+01,BAD,BAD,KEEP_RULE_DECISION,,b10bcfd99d34f1bf2f034fd99223892507cf3437b95bc5898ffdfbab56a6c895
nstxuE202944A02t021/N1/egn01w.6615E+01,BAD,BAD,KEEP_RULE_DECISION,,8163d74259b879be9a1157646bf58236fdf94c6e211911d19160b9d45fa8ed27
nstxuE202944A02t021/N2/egn02w.6793E+01,BAD,BAD,KEEP_RULE_DECISION,,1c84d34928f3a2eba99de3fee4044c4b9020585dbfa834381a7688ba7197a999
nstxuE202944A02t021/N2/egn02w.7449E+01,BAD,BAD,KEEP_RULE_DECISION,,2e35d680efcddc2315f5fc18617ac04de2d59c0a6cfd0919a133f64355903236
nstxuE202944A02t021/N3/egn03w.7345E+01,BAD,BAD,KEEP_RULE_DECISION,,4752e0dbe5b693ffa9a78f6d873fa590b3e543a543c339e90c44616bd469812b
nstxuE202944A02t021/N6/egn06w.9025E+01,BAD,BAD,KEEP_RULE_DECISION,,24c6b27b949724b909f145154512ecb1488906d6f80116e22cda364250e41efa
nstxuE202944A02t021/N7/egn07w.8198E+01,BAD,BAD,KEEP_RULE_DECISION,,01ba36958ce6f1814145d176ee9954979d5274c5a57f8e00cb00a19c2977746f
nstxuE202944A02t021/N8/egn08w.7759E+01,BAD,BAD,KEEP_RULE_DECISION,,debbb677ae6a37eb4e2443af90029bf3c6c7955113b4d496708aa815a7e11917
nstxuE202944A02t021/N9/egn09w.7205E+01,BAD,BAD,KEEP_RULE_DECISION,,2b70ee4181a863876e65fbfdfda96a2231ffebdda9a3827ade2049cc78ff1903
nstxuE202944A02t021/N9/egn09w.7538E+01,BAD,BAD,KEEP_RULE_DECISION,,b1a31cff9dabd10f15f374a3129a1cdd3219da8d8701c50f85bc1b369d204b1a
nstxuE202944A02t021/N9/egn09w.8224E+01,BAD,BAD,KEEP_RULE_DECISION,,90b51de7c62db3053a1c54468db6756221cc1362538143603fdcd7e053ed0a53
nstxuE202944A02t021/N9/egn09w.1500E+02,BAD,BAD,KEEP_RULE_DECISION,,452773602f012359ceb2d1a9f7d7382760a6b712a54cc85ecf0d249e152537c3
nstxuE202944A02t021/N10/egn10w.7005E+01,BAD,BAD,KEEP_RULE_DECISION,,3e4b433bc5dfcea9d9bc6341ef1611b5097dad4d9e737cf178f9c738f49a67f7
nstxuE202944A02t021/N10/egn10w.7125E+01,BAD,BAD,KEEP_RULE_DECISION,,b1579db4f65bedd3615cf90f904a2599132eafb3f7463c205e2db916be6dffb3
nstxuE202944A02t021/N10/egn10w.7332E+01,BAD,BAD,KEEP_RULE_DECISION,,86f6ac673056a7330a5126e768970a3e4f132abf4f3b0dfa31e59eb18fedf6fb
nstxuE202944A02t021/N10/egn10w.1626E+02,BAD,BAD,KEEP_RULE_DECISION,,b429b1cd1fd7aee4c25a008fab1a9bf4351f375d1cfcff91b38605c961579e5e
nstxuE202947A03t015/N4/egn04w.4655E+01,BAD,BAD,KEEP_RULE_DECISION,,abf0d0e63e52b4f1ced24700453388995a3338783f3d2e4efb1cb8771788aa9d
nstxuE202947A03t015/N5/egn05w.2352E+01,BAD,GOOD,OVERRIDE,smooth core mode with continuum crossing in low shear region,33429190a687c18d115d488121ba7ee41bcbe49d5c6041b13394bad2be189568
