path,before_selected,after_selected,final_label_changed
nstxuE202947A03t015/N5/egn05w.2352E+01,,True,True
nstxuE203653A02t025/N3/egn03w.1814E+02,True,,True
nstxuE203655F01t025/N3/egn03w.8443E+01,,True,True
nstxuE203656A02t030/N9/egn09w.1023E+02,,True,True
nstxuE203656A02t030/N10/egn10w.9671E+01,True,,True
nstxuE204621A03t030/N6/egn06w.1273E+02,True,,True
nstxuE204636A01t020/N8/egn08w.1113E+02,True,,True
nstxuE204636A01t020/N9/egn09w.9543E+01,True,,True
nstxuE204645A16t015/N7/egn07w.4136E+01,,True,True
nstxuE204645A16t015/N7/egn07w.4255E+01,,True,True
nstxuE204707A04t030/N3/egn03w.1326E+02,,True,True
nstxuE204955F02t017/N7/egn07w.8319E+01,,True,True
nstxuE204955F02t017/N9/egn09w.5709E+01,,True,True
nstxuE205040A01t016/N6/egn06w.2836E+01,True,,True
nstxuE205057A01t020/N8/egn08w.1767E+02,True,,True
nstxuG121123N80/N9/egn09w.4646E+02,,True,True
nstxuG142301H56/N1/egn01w.4501E+02,True,,True
