shot,RULE_EVALUATED,ROUTED_EAE,INVALID,good_before_dedup,selected_good,manual_overrides,paired_tae,automatic_rules_vs_ai,final_vs_rf_cnn,bad_ai_good,good_ai_bad,final_vs_rf,final_vs_cnn
nstxuE202806A02t025,204,496,0,77,76,0,204,16,16,12,4,15,33
nstxuE202926A03t025,131,199,0,51,51,0,131,3,3,2,1,3,7
nstxuE202944A02t021,160,510,0,38,38,0,160,15,15,15,0,15,9
nstxuE202947A03t015,107,81,0,59,59,1,107,14,13,11,2,13,15
nstxuE203262A04t018,228,345,0,146,146,0,228,23,23,11,12,22,31
nstxuE203609A01t020,85,162,0,35,35,0,85,11,11,9,2,10,9
nstxuE203653A02t025,145,261,0,80,80,1,145,12,11,11,0,10,8
nstxuE203655F01t025,249,309,0,85,84,1,249,25,24,21,3,24,14
nstxuE203656A02t030,146,801,0,38,38,2,146,10,8,5,3,12,34
nstxuE203963A01t025,96,597,0,27,27,0,96,10,10,7,3,12,19
nstxuE203981A01t025,165,527,0,78,78,0,165,11,11,10,1,11,13
nstxuE204186A01t020,205,842,0,56,56,0,205,14,14,3,11,19,57
nstxuE204621A03t030,155,895,0,18,18,1,155,11,10,4,6,18,52
nstxuE204636A01t020,120,528,0,46,46,2,120,15,13,0,13,17,28
nstxuE204645A16t015,172,363,0,89,84,2,172,18,16,10,6,17,27
nstxuE204678M01t017,165,137,0,72,70,0,165,10,10,4,6,11,7
nstxuE204707A04t030,234,900,0,61,61,1,234,14,13,12,1,13,16
nstxuE204708F03t017,160,463,0,90,90,0,160,9,9,3,6,9,26
nstxuE204944A01t017,77,311,0,26,26,0,77,15,15,14,1,15,2
nstxuE204954A01t022,117,386,0,27,27,0,117,2,2,2,0,3,3
nstxuE204955F02t017,190,490,0,61,60,2,190,13,11,11,0,12,5
nstxuE205017A01t025,219,634,0,60,60,0,219,5,5,2,3,6,4
nstxuE205035A01t020,52,183,0,7,7,0,52,0,0,0,0,0,0
nstxuE205040A01t016,147,150,0,89,89,1,147,12,11,4,7,13,22
nstxuE205042A01t022,84,175,0,24,24,0,84,8,8,6,2,8,7
nstxuE205045A01t022,303,824,0,22,22,0,303,14,14,1,13,20,111
nstxuE205054A01t037,217,422,0,33,33,0,217,5,5,5,0,5,10
nstxuE205055A01t022,155,862,0,67,66,0,155,5,5,4,1,4,8
nstxuE205057A01t020,228,739,0,37,37,1,228,15,14,0,14,20,66
nstxuG121123K34,160,1001,97,1,1,0,160,2,2,1,1,2,9
nstxuG121123K70,87,391,0,7,7,0,87,6,6,3,3,5,4
nstxuG121123N80,160,26,0,10,10,1,160,4,3,1,2,4,13
nstxuG133964R06,0,0,610,0,0,0,0,0,0,0,0,0,0
nstxuG142301C50,202,354,0,0,0,0,194,1,1,1,0,1,10
nstxuG142301E72,61,587,0,0,0,0,61,0,0,0,0,0,4
nstxuG142301H56,208,705,0,1,1,1,208,2,1,0,1,1,5
nstxuG142301L94,115,843,0,5,5,0,115,3,3,2,1,2,3
nstxuG142301U84,172,929,0,16,16,0,172,10,10,1,9,10,15
nstxuG142301V21,131,820,0,8,8,0,131,2,2,1,1,2,4
