path,label,shot,ntor,mode_filename,omega,rules_decision,rules_reason,rf_cnn_decision,rf_decision,cnn_decision,p_rf_good,p_cnn_good,rf_cnn_tier,overall_rule_severity,nearest_gate,rules_selected_final,rf_cnn_selected_final,original_rule_decision,decision_source,input_fingerprint,mode_key
nstxuE202806A02t025/N3/egn03w.2515E+02,bad,nstxuE202806A02t025,3,egn03w.2515E+02,5.014581431442288,BAD,BAD_CONT_CROSS_WINDOW,GOOD,GOOD,GOOD,0.7233333333333334,0.9999974966049194,gold_good,1.4194258861352533,BAD_CONT_CROSS_WINDOW,,True,BAD,rule_engine,8be9e16371a6a989118d69beda3a49f5a35465eb7374db869548fd91a05fba39,nstxuE202806A02t025/N3/egn03w.2515E+02
nstxuE202806A02t025/N4/egn04w.1711E+02,bad,nstxuE202806A02t025,4,egn04w.1711E+02,4.136249239514174,BAD,BAD_CONT_CROSS_WINDOW,BAD,BAD,GOOD,0.17666666666666667,0.9998347759246826,flagged_borderline_or_disagreement,4.041106981901336,BAD_CONT_CROSS_WINDOW,,,BAD,rule_engine,54385339953520a7a2d34f8840b08a99ee45d30bf6623455e36eca01ba9ac084,nstxuE202806A02t025/N4/egn04w.1711E+02
nstxuE202806A02t025/N5/egn05w.9786E+01,bad,nstxuE202806A02t025,5,egn05w.9786E+01,3.1282043604213596,BAD,BAD_CONT_CROSS_WINDOW,BAD,BAD,GOOD,0.19333333333333333,1.0,flagged_borderline_or_disagreement,8.47760332431918,BAD_CONT_CROSS_WINDOW,,,BAD,rule_engine,e9911731e30463dd569e19ee5dd62bb06a5e4877faca24bfefdf6a2e930246ff,nstxuE202806A02t025/N5/egn05w.9786E+01
nstxuE202806A02t025/N5/egn05w.1084E+02,good,nstxuE202806A02t025,5,egn05w.1084E+02,3.292620883441087,GOOD,NO_GOOD_TEMPLATE,GOOD,GOOD,BAD,0.7066666666666667,6.911181259585776e-21,flagged_rf_only_good,0.8247878404299555,BAD_GRID_SCALE_SPIKE,True,True,REVIEW,rule_survivor_policy,c04534e3bfe3a4010e60ab85995b2ec37e20d97c266bc4ead6a138d7714e77e3,nstxuE202806A02t025/N5/egn05w.1084E+02
nstxuE202806A02t025/N5/egn05w.1409E+02,bad,nstxuE202806A02t025,5,egn05w.1409E+02,3.75413081147568,BAD,BAD_GRID_SCALE_SPIKE,BAD,BAD,GOOD,0.24333333333333335,0.9999886751174927,flagged_borderline_or_disagreement,9.35311622496607,BAD_CONT_CROSS_WINDOW,,,BAD,rule_engine,1617375d278228a9e81c3a1e4a2d627521097dcd75167b5452648f30b4c0ba2e,nstxuE202806A02t025/N5/egn05w.1409E+02
nstxuE202806A02t025/N6/egn06w.9229E+01,good,nstxuE202806A02t025,6,egn06w.9229E+01,3.0378755419516703,GOOD,NO_GOOD_TEMPLATE,BAD,BAD,BAD,0.2,3.5320228344210057e-16,silver_bad,0.9881678333693297,BAD_CONT_CROSS_WINDOW,True,,REVIEW,rule_survivor_policy,783f25289858d550cc75bfa1641b2b78d6d6d0668b9ad6e92c1af0d06e118117,nstxuE202806A02t025/N6/egn06w.9229E+01
nstxuE202806A02t025/N6/egn06w.1449E+02,bad,nstxuE202806A02t025,6,egn06w.1449E+02,3.806260397747443,BAD,BAD_CONT_CROSS_WINDOW,BAD,BAD,GOOD,0.10666666666666667,1.0,flagged_borderline_or_disagreement,14.951349340349669,BAD_CONT_CROSS_WINDOW,,,BAD,rule_engine,58b0047e50fbb9ee472d1c09dbc4175c2c65effcb54bb6edabd64e66fa68b2d6,nstxuE202806A02t025/N6/egn06w.1449E+02
nstxuE202806A02t025/N6/egn06w.1842E+02,bad,nstxuE202806A02t025,6,egn06w.1842E+02,4.291904122305832,BAD,BAD_CONT_CROSS_WINDOW,BAD,BAD,GOOD,0.28,1.0,flagged_borderline_or_disagreement,3.7629541398424107,BAD_CONT_CROSS_WINDOW,,,BAD,rule_engine,ce9f1400d0c02143b02b63962885f8afaf9bfa8504186ab8a5f3e1383f027422,nstxuE202806A02t025/N6/egn06w.1842E+02
nstxuE202806A02t025/N6/egn06w.1906E+02,bad,nstxuE202806A02t025,6,egn06w.1906E+02,4.365650842424364,BAD,BAD_CONT_CROSS_WINDOW,BAD,BAD,GOOD,0.14333333333333334,0.9999964237213135,flagged_borderline_or_disagreement,9.737271201543646,BAD_CONT_CROSS_WINDOW,,,BAD,rule_engine,cc599c05f1e34054297997fdc4c361bd6787737d633c92e44ae25cfa2ce08f2b,nstxuE202806A02t025/N6/egn06w.1906E+02
nstxuE202806A02t025/N7/egn07w.9767E+01,bad,nstxuE202806A02t025,7,egn07w.9767E+01,3.1251509009618865,BAD,BAD_CONT_CROSS_WINDOW,BAD,BAD,GOOD,0.21666666666666667,0.7615362405776978,flagged_borderline_or_disagreement,2.4549107752468724,BAD_CONT_CROSS_WINDOW,,,BAD,rule_engine,4635a8583eb10e02c7dbb788000aac707f830362ded022053bc5fdf293e54c18,nstxuE202806A02t025/N7/egn07w.9767E+01
