shot,inputs,rule_evaluated,routed_eae,invalid,paired_tae,unpaired_tae,rules_good_before_dedup,rules_selected_good,manual_overrides_applied,rules_vs_rf_cnn,rules_bad_ai_good,rules_good_ai_bad,rules_vs_rf,rules_vs_cnn
nstxuE202806A02t025,700,204,496,0,204,0,77,76,0,16,12,4,15,33
nstxuE202926A03t025,330,131,199,0,131,0,51,51,0,3,2,1,3,7
nstxuE202944A02t021,670,160,510,0,160,0,38,38,0,15,15,0,15,9
nstxuE202947A03t015,188,107,81,0,107,0,58,58,0,14,12,2,14,14
nstxuE203262A04t018,573,228,345,0,228,0,146,146,0,23,11,12,22,31
nstxuE203609A01t020,247,85,162,0,85,0,35,35,0,11,9,2,10,9
nstxuE203653A02t025,406,145,261,0,145,0,81,81,0,12,11,1,11,9
nstxuE203655F01t025,558,249,309,0,249,0,84,83,0,25,22,3,25,15
nstxuE203656A02t030,947,146,801,0,146,0,38,38,0,10,6,4,12,36
nstxuE203963A01t025,693,96,597,0,96,0,27,27,0,10,7,3,12,19
nstxuE203981A01t025,692,165,527,0,165,0,78,78,0,11,10,1,11,13
nstxuE204186A01t020,1047,205,842,0,205,0,56,56,0,14,3,11,19,57
nstxuE204621A03t030,1050,155,895,0,155,0,19,19,0,11,4,7,19,53
nstxuE204636A01t020,648,120,528,0,120,0,48,48,0,15,0,15,19,28
nstxuE204645A16t015,535,172,363,0,172,0,87,82,0,18,12,6,19,29
nstxuE204678M01t017,302,165,137,0,165,0,72,70,0,10,4,6,11,7
nstxuE204707A04t030,1134,234,900,0,234,0,60,60,0,14,13,1,14,15
nstxuE204708F03t017,623,160,463,0,160,0,90,90,0,9,3,6,9,26
nstxuE204944A01t017,388,77,311,0,77,0,26,26,0,15,14,1,15,2
nstxuE204954A01t022,503,117,386,0,117,0,27,27,0,2,2,0,3,3
nstxuE204955F02t017,680,190,490,0,190,0,59,58,0,13,13,0,14,7
nstxuE205017A01t025,853,219,634,0,219,0,60,60,0,5,2,3,6,4
nstxuE205035A01t020,235,52,183,0,52,0,7,7,0,0,0,0,0,0
nstxuE205040A01t016,297,147,150,0,147,0,90,90,0,12,4,8,14,23
nstxuE205042A01t022,259,84,175,0,84,0,24,24,0,8,6,2,8,7
nstxuE205045A01t022,1127,303,824,0,303,0,22,22,0,14,1,13,20,111
nstxuE205054A01t037,639,217,422,0,217,0,33,33,0,5,5,0,5,10
nstxuE205055A01t022,1017,155,862,0,155,0,67,66,0,5,4,1,4,8
nstxuE205057A01t020,967,228,739,0,228,0,38,38,0,15,0,15,21,67
nstxuG121123K34,1258,160,1001,97,160,0,1,1,0,2,1,1,2,9
nstxuG121123K70,478,87,391,0,87,0,7,7,0,6,3,3,5,4
nstxuG121123N80,186,160,26,0,160,0,9,9,0,4,2,2,5,14
nstxuG133964R06,610,0,0,610,0,0,0,0,0,0,0,0,0,0
nstxuG142301C50,556,202,354,0,194,8,0,0,0,1,1,0,1,10
nstxuG142301E72,648,61,587,0,61,0,0,0,0,0,0,0,0,4
nstxuG142301H56,913,208,705,0,208,0,2,2,0,2,0,2,2,6
nstxuG142301L94,958,115,843,0,115,0,5,5,0,3,2,1,2,3
nstxuG142301U84,1101,172,929,0,172,0,16,16,0,10,1,9,10,15
nstxuG142301V21,951,131,820,0,131,0,8,8,0,2,1,1,2,4
