path,label,shot,ntor,omega,gap_region,final_decision,final_reason,automatic_final_decision,original_rule_decision,rule_primary_reason,decision_source,manual_decision,manual_reason,reviewer,adjudication_timestamp,selected_final,overall_rule_severity,input_fingerprint,mode_key
nstxuE202806A02t025/N2/egn02w.1012E+02,good,nstxuE202806A02t025,2,3.1819268066888338,tae_like,GOOD,NO_GOOD_TEMPLATE,GOOD,REVIEW,NO_GOOD_TEMPLATE,rule_survivor_policy,,,,,True,0.207925958258348,8b599c27eb4623077b12bdb7428daa48eb4cd213f1220e25712f9b8aaedf956a,nstxuE202806A02t025/N2/egn02w.1012E+02
nstxuE202806A02t025/N2/egn02w.1280E+02,good,nstxuE202806A02t025,2,3.5775223578919952,tae_like,GOOD,NO_GOOD_TEMPLATE,GOOD,REVIEW,NO_GOOD_TEMPLATE,rule_survivor_policy,,,,,True,0.15782528953991762,ec79593d639462b4fec492b261092d111c2132c4b60b34c0a3bd4b86ccdc546f,nstxuE202806A02t025/N2/egn02w.1280E+02
nstxuE202806A02t025/N2/egn02w.2482E+02,good,nstxuE202806A02t025,2,4.982277906061013,tae_like,GOOD,NO_GOOD_TEMPLATE,GOOD,REVIEW,NO_GOOD_TEMPLATE,rule_survivor_policy,,,,,True,0.34347188244781224,e3321bba385809b105ae95d0c92d4891adc1b0ab1133dcc1d4b0ce5f22d4cd6d,nstxuE202806A02t025/N2/egn02w.2482E+02
nstxuE202806A02t025/N3/egn03w.7973E+01,good,nstxuE202806A02t025,3,2.8236788982742365,tae_like,GOOD,NO_GOOD_TEMPLATE,GOOD,REVIEW,NO_GOOD_TEMPLATE,rule_survivor_policy,,,,,True,0.25533081677271324,a94bbf19fb24b3ffa4aa9f8b053d16e21af0898240c0c98505b473eae17c90d3,nstxuE202806A02t025/N3/egn03w.7973E+01
nstxuE202806A02t025/N3/egn03w.8510E+01,good,nstxuE202806A02t025,3,2.917223817008173,tae_like,GOOD,NO_GOOD_TEMPLATE,GOOD,REVIEW,NO_GOOD_TEMPLATE,rule_survivor_policy,,,,,True,0.5539053423710105,2af681face4a6035fdb55a05427782c1cc59517d4abecd15139fdd98fb84c01b,nstxuE202806A02t025/N3/egn03w.8510E+01
nstxuE202806A02t025/N3/egn03w.1033E+02,good,nstxuE202806A02t025,3,3.213602888324673,tae_like,GOOD,NO_GOOD_TEMPLATE,GOOD,REVIEW,NO_GOOD_TEMPLATE,rule_survivor_policy,,,,,True,0.341435969592736,d21827c4f09b7140688a0b683c4738fa5ae606095db1e5e8c1d36199fecdf376,nstxuE202806A02t025/N3/egn03w.1033E+02
nstxuE202806A02t025/N3/egn03w.1075E+02,good,nstxuE202806A02t025,3,3.279470460428385,tae_like,GOOD,NO_GOOD_TEMPLATE,GOOD,REVIEW,NO_GOOD_TEMPLATE,rule_survivor_policy,,,,,True,0.5450608813227762,248d84fd32aa7496d1dc8625eda80fcbc908bd9bf35d22550a046e305733e899,nstxuE202806A02t025/N3/egn03w.1075E+02
nstxuE202806A02t025/N4/egn04w.7053E+01,good,nstxuE202806A02t025,4,2.655677666668795,tae_like,GOOD,NO_GOOD_TEMPLATE,GOOD,REVIEW,NO_GOOD_TEMPLATE,rule_survivor_policy,,,,,True,0.9580668714352318,b74abf0de00dd8208a36cdf30fdf005e1513cae0368ab08d5707188bca9b7bc3,nstxuE202806A02t025/N4/egn04w.7053E+01
nstxuE202806A02t025/N4/egn04w.1300E+02,good,nstxuE202806A02t025,4,3.605252615656407,tae_like,GOOD,NO_GOOD_TEMPLATE,GOOD,REVIEW,NO_GOOD_TEMPLATE,rule_survivor_policy,,,,,True,0.29833034461304625,aa167e11cb4a9d38811e73c47dbe8985d505c1d3a2e63010a5e2dfa7772d6063,nstxuE202806A02t025/N4/egn04w.1300E+02
nstxuE202806A02t025/N4/egn04w.1322E+02,good,nstxuE202806A02t025,4,3.6356687095306857,tae_like,GOOD,NO_GOOD_TEMPLATE,GOOD,REVIEW,NO_GOOD_TEMPLATE,rule_survivor_policy,,,,,True,0.12120264094950646,c3603c56c27f52bc7b2c7e389310651633ca4cb3deb90a31b069357d7f824e99,nstxuE202806A02t025/N4/egn04w.1322E+02
nstxuE202806A02t025/N4/egn04w.1391E+02,good,nstxuE202806A02t025,4,3.7299773847998616,tae_like,GOOD,NO_GOOD_TEMPLATE,GOOD,REVIEW,NO_GOOD_TEMPLATE,rule_survivor_policy,,,,,True,0.12475792645465825,57692c3f630af174171a218b0887417719eb9f79cdea8c69c7d242a62cd22d18,nstxuE202806A02t025/N4/egn04w.1391E+02
