shot,checked_methods,rule_evaluated,routed_eae,invalid,final_good_before_dedup,selected_good,final_bad,manual_overrides
nstxuE202806A02t025,rules|rf-cnn,204,496,0,77,76,127,0
nstxuE202806A02t045,rules,244,220,0,90,90,154,0
nstxuE202926A03t025,rules|rf-cnn,131,199,0,51,51,80,0
nstxuE202944A02t021,rules|rf-cnn,160,510,0,38,38,122,0
nstxuE202947A03t015,rules|rf-cnn,107,81,0,59,59,48,1
nstxuE203262A04t018,rules|rf-cnn,228,345,0,146,146,82,0
nstxuE203609A01t020,rules|rf-cnn,85,162,0,35,35,50,0
nstxuE203653A02t025,rules|rf-cnn,145,261,0,80,80,65,1
nstxuE203655F01t025,rules|rf-cnn,249,309,0,85,84,164,1
nstxuE203656A02t030,rules|rf-cnn,146,801,0,38,38,108,2
nstxuE203963A01t025,rules|rf-cnn,96,597,0,27,27,69,0
nstxuE203981A01t025,rules|rf-cnn,165,527,0,78,78,87,0
nstxuE204186A01t020,rules|rf-cnn,205,842,0,56,56,149,0
nstxuE204621A03t030,rules|rf-cnn,155,895,0,18,18,137,1
nstxuE204636A01t020,rules|rf-cnn,120,528,0,46,46,74,2
nstxuE204645A16t015,rules|rf-cnn,172,363,0,89,84,83,2
nstxuE204678M01t017,rules|rf-cnn,165,137,0,72,70,93,0
nstxuE204707A04t030,rules|rf-cnn,234,900,0,61,61,173,1
nstxuE204708F03t017,rules|rf-cnn,160,463,0,90,90,70,0
nstxuE204944A01t017,rules|rf-cnn,77,311,0,26,26,51,0
nstxuE204954A01t022,rules|rf-cnn,117,386,0,27,27,90,0
nstxuE204955F02t017,rules|rf-cnn,190,490,0,61,60,129,2
nstxuE205017A01t025,rules|rf-cnn,219,634,0,60,60,159,0
nstxuE205035A01t020,rules|rf-cnn,52,183,0,7,7,45,0
nstxuE205040A01t016,rules|rf-cnn,147,150,0,89,89,58,1
nstxuE205042A01t022,rules|rf-cnn,84,175,0,24,24,60,0
nstxuE205045A01t022,rules|rf-cnn,303,824,0,22,22,281,0
nstxuE205054A01t037,rules|rf-cnn,217,422,0,33,33,184,0
nstxuE205055A01t022,rules|rf-cnn,155,862,0,67,66,88,0
nstxuE205057A01t020,rules|rf-cnn,228,739,0,37,37,191,1
nstxuG121123K34,rules|rf-cnn,160,1001,97,1,1,159,0
nstxuG121123K70,rules|rf-cnn,87,391,0,7,7,80,0
nstxuG121123N80,rules|rf-cnn,160,26,0,10,10,150,1
nstxuG133964R06,rules|rf-cnn,0,0,610,0,0,0,0
nstxuG142301C50,rules|rf-cnn,202,354,0,0,0,202,0
nstxuG142301E72,rules|rf-cnn,61,587,0,0,0,61,0
nstxuG142301H56,rules|rf-cnn,208,705,0,1,1,207,1
nstxuG142301L94,rules|rf-cnn,115,843,0,5,5,110,0
nstxuG142301U84,rules|rf-cnn,172,929,0,16,16,156,0
nstxuG142301V21,rules|rf-cnn,131,820,0,8,8,123,0
