mode_key,input_fingerprint,previous_gap_region,previous_rules_decision,previous_rf_cnn_decision,input_validity,reason
nstxuG133964R06/N1/egn01w.1023E+02,ec9426f872bbb564331f16734d7e4057fd04f2546700f14177416206820f5a9f,tae_like,BAD,bad,INVALID,SUSPECT_EIGENMODE_STRUCTURE
nstxuG133964R06/N1/egn01w.1047E+02,1d38b416585a6823472cf3d279300fecbcb2dacc7dae99f60e721767625f0193,tae_like,BAD,bad,INVALID,SUSPECT_EIGENMODE_STRUCTURE
nstxuG133964R06/N1/egn01w.1056E+02,1182a7599bdcfaf2c15528487914c753c6b25ea40359ea1010ec3edf4b02089d,tae_like,BAD,bad,INVALID,SUSPECT_EIGENMODE_STRUCTURE
nstxuG133964R06/N1/egn01w.1073E+02,8870251974961f6edaac4c36d38c1301b2536f5f67f60dcf75e3c1d5fc8db77c,tae_like,BAD,bad,INVALID,SUSPECT_EIGENMODE_STRUCTURE
nstxuG133964R06/N1/egn01w.1109E+02,5065e2dd6f95539180fa19de1dc769491b8ad2e425ea16fee67e87f2614a364d,tae_like,BAD,bad,INVALID,SUSPECT_EIGENMODE_STRUCTURE
nstxuG133964R06/N1/egn01w.1171E+02,44bb26b097f8f4306eaa9da61152f09835799fa246560ec3d9a320648459cb5b,tae_like,BAD,bad,INVALID,SUSPECT_EIGENMODE_STRUCTURE
nstxuG133964R06/N1/egn01w.1172E+02,f0462a6e467169b6d953150317fe725001685895bd9043e16d50b82216061206,tae_like,BAD,bad,INVALID,SUSPECT_EIGENMODE_STRUCTURE
nstxuG133964R06/N1/egn01w.1188E+02,73d73c1f2adb61790df89d9549ac75f7dd2828679404f346b4a42e55424adbde,tae_like,BAD,bad,INVALID,SUSPECT_EIGENMODE_STRUCTURE
nstxuG133964R06/N1/egn01w.1200E+02,c71b392752e09af0fe9fafd24b28f0746835ab0c48dbdbd09bde3818bb4fc6c8,tae_like,BAD,bad,INVALID,SUSPECT_EIGENMODE_STRUCTURE
nstxuG133964R06/N1/egn01w.1206E+02,0e6c1de08193fcc5de51382b2861a479d4b550bfae303b9768ceba40e69e6743,tae_like,BAD,bad,INVALID,SUSPECT_EIGENMODE_STRUCTURE
nstxuG133964R06/N1/egn01w.1211E+02,6d1136ed1c54ba61994cc8adda58b0f2f183acd39a1b004e1065ab588ff5d289,tae_like,BAD,bad,INVALID,SUSPECT_EIGENMODE_STRUCTURE
nstxuG133964R06/N1/egn01w.1215E+02,9902a99c23fbb4056b1161364dbdfc8a72de9e4a14c4e08f230a4ce6757d998e,tae_like,BAD,bad,INVALID,SUSPECT_EIGENMODE_STRUCTURE
nstxuG133964R06/N1/egn01w.1224E+02,717144f3af04480c190f9c80e467ed33539191491505ec92688edecf62c3b0ba,tae_like,BAD,bad,INVALID,SUSPECT_EIGENMODE_STRUCTURE
nstxuG133964R06/N1/egn01w.1263E+02,5a1f497bb468450c2a9bb92333edb3cd80ea99edf1647a6d037839d588005523,tae_like,BAD,bad,INVALID,SUSPECT_EIGENMODE_STRUCTURE
nstxuG133964R06/N1/egn01w.1332E+02,3a3f31ffb5362b91e27ea859a04ada7f3fbafd0764d8300fcb913875686fd2d9,tae_like,BAD,bad,INVALID,SUSPECT_EIGENMODE_STRUCTURE
nstxuG133964R06/N1/egn01w.1416E+02,ba9d7c89f91383e0a7d70331c6ece5cd9efd3d53c4d74045bb318d6f2df343f8,mixed,BAD,bad,INVALID,SUSPECT_EIGENMODE_STRUCTURE
nstxuG133964R06/N1/egn01w.1707E+02,bcb02a523fdd98c91aaf1257f3772e9318e836334b48d0873a876e31de3d6c30,eae_like,,,INVALID,SUSPECT_EIGENMODE_STRUCTURE
nstxuG133964R06/N1/egn01w.1730E+02,a2f18634b6009270eed53be6a87054918591d42d0bb36c0736e0c6ccb1ca3e12,eae_like,,,INVALID,SUSPECT_EIGENMODE_STRUCTURE
nstxuG133964R06/N1/egn01w.1772E+02,9e2ab9713962c6b21d0ef528538babf8df9dc33f54e9b16a2cc56a4a09fc7fa8,eae_like,,,INVALID,SUSPECT_EIGENMODE_STRUCTURE
nstxuG133964R06/N1/egn01w.1777E+02,c229dc0ded9ab37d5083cc384ef7742b80084b1c7117ce53ef58b7f3dc0fe4a9,eae_like,,,INVALID,SUSPECT_EIGENMODE_STRUCTURE
nstxuG133964R06/N1/egn01w.1810E+02,d95bf46d077166b3b874a9cc7180402cb6c262755e16b5297045d5c98aeecd73,eae_like,,,INVALID,SUSPECT_EIGENMODE_STRUCTURE
nstxuG133964R06/N1/egn01w.1820E+02,2858b502ada06e947f7aa9821169c7519b663f1875f5ee2f614b10a1f8dd5afb,eae_like,,,INVALID,SUSPECT_EIGENMODE_STRUCTURE
nstxuG133964R06/N1/egn01w.1822E+02,733e6491631630c0f06e4cc769fee63e21bc3a101c7e915127c5f6c029a68e8c,eae_like,,,INVALID,SUSPECT_EIGENMODE_STRUCTURE
nstxuG133964R06/N1/egn01w.1831E+02,6ec88444eb0d29986a06a9e9da038d9c2af6f64d37942dbb138569d05d3a984c,eae_like,,,INVALID,SUSPECT_EIGENMODE_STRUCTURE
nstxuG133964R06/N1/egn01w.1834E+02,8c772ef368a16b55c21eb13f9b988f79007233951338d8be98d992e4bc39f5f2,eae_like,,,INVALID,SUSPECT_EIGENMODE_STRUCTURE
nstxuG133964R06/N1/egn01w.1856E+02,797fd0724bb545d22841e27963bc4297c26c25951ed7f644f7f888a9dc67d1d1,eae_like,,,INVALID,SUSPECT_EIGENMODE_STRUCTURE
nstxuG133964R06/N1/egn01w.1904E+02,c50c786a85e2989e6a4f914dd4c596ab70ed649cce409d84c82f9c2295392de8,eae_like,,,INVALID,SUSPECT_EIGENMODE_STRUCTURE
nstxuG133964R06/N1/egn01w.1912E+02,1047075574fa90f59e36cd1e2e642c66b17d61dcdf8ea0ac499af37d1ba35a27,eae_like,,,INVALID,SUSPECT_EIGENMODE_STRUCTURE
nstxuG133964R06/N1/egn01w.1918E+02,38186c034e86e98d2d22af23f3f9800afddc47e487fa92b314b576f5917befa5,eae_like,,,INVALID,SUSPECT_EIGENMODE_STRUCTURE
nstxuG133964R06/N1/egn01w.1924E+02,9090633dc2ded4df317f01a521e81c7156a58d1cd73c9f3017679e36ef08208a,eae_like,,,INVALID,SUSPECT_EIGENMODE_STRUCTURE
nstxuG133964R06/N1/egn01w.1930E+02,25294583de8a3b7f991df0049f941e61de2eb5ef1a414f285609023f2bee09ec,eae_like,,,INVALID,SUSPECT_EIGENMODE_STRUCTURE
nstxuG133964R06/N1/egn01w.1953E+02,0f32a63eb4cf02fe1870fa57f3ead87a99645379000fe485b4999c4b3afc4a10,eae_like,,,INVALID,SUSPECT_EIGENMODE_STRUCTURE
nstxuG133964R06/N1/egn01w.1960E+02,b3e803980b229432130839cdf3f1d4acb6718e54f7895a00e05ec582bf0782a6,eae_like,,,INVALID,SUSPECT_EIGENMODE_STRUCTURE
nstxuG133964R06/N1/egn01w.1965E+02,8d4989253e35dc160ddd14e478fa1d450386bbf46fbdc9c290f983ed6d24da93,eae_like,,,INVALID,SUSPECT_EIGENMODE_STRUCTURE
nstxuG133964R06/N1/egn01w.1999E+02,6c7ac4290c87695be5bee44599b25d2bcee11a3da1a00261accdca46c6152a99,eae_like,,,INVALID,SUSPECT_EIGENMODE_STRUCTURE
nstxuG133964R06/N1/egn01w.2001E+02,87a5aa79711bc170a2bb451b1c26715991121b9dd8a5101e82b4a984877d3617,eae_like,,,INVALID,SUSPECT_EIGENMODE_STRUCTURE
nstxuG133964R06/N1/egn01w.2010E+02,bbf48e2ceb2e5d4e610b0f3ebc3e7742ab4d4590350190a2a13f3b85ae47f265,eae_like,,,INVALID,SUSPECT_EIGENMODE_STRUCTURE
nstxuG133964R06/N1/egn01w.2029E+02,a185c1d04b4e95237daaad708878b08271b64e7bfe3771d09badc00f7ae2b755,eae_like,,,INVALID,SUSPECT_EIGENMODE_STRUCTURE
nstxuG133964R06/N1/egn01w.2033E+02,81df9d868c6232b3a2d4db46113e0981d4dc11328bd770d90063f540f7520f8a,eae_like,,,INVALID,SUSPECT_EIGENMODE_STRUCTURE
nstxuG133964R06/N1/egn01w.2049E+02,35bc03776832b00c6147b6ecea0a2854feca533c0fc6ee085721732ff5f3bd6e,eae_like,,,INVALID,SUSPECT_EIGENMODE_STRUCTURE
nstxuG133964R06/N1/egn01w.2061E+02,ff749f3d9193a55c34927813cc71592f86ae191b16cfd3aaf8e476b89db63f87,eae_like,,,INVALID,SUSPECT_EIGENMODE_STRUCTURE
nstxuG133964R06/N1/egn01w.2091E+02,f75f2254f3cf831efce686b085cb94ae882b684cc43803d29fcf330db7e29e74,eae_like,,,INVALID,SUSPECT_EIGENMODE_STRUCTURE
nstxuG133964R06/N1/egn01w.2143E+02,ae45f9176991ed17cf4965b4734a65260fefab6682375130c2c6e049f8295b31,eae_like,,,INVALID,SUSPECT_EIGENMODE_STRUCTURE
nstxuG133964R06/N1/egn01w.2157E+02,b32ad6a4ca2edfd3d3c12411d7992a705a9e3e5f7b38df28c4cde1a1c47a194e,eae_like,,,INVALID,SUSPECT_EIGENMODE_STRUCTURE
nstxuG133964R06/N1/egn01w.2172E+02,11cabe6b0fd15bc2be3f98cbe5d7690f211960ce8598d7c06e706c8795e07271,eae_like,,,INVALID,SUSPECT_EIGENMODE_STRUCTURE
nstxuG133964R06/N1/egn01w.2181E+02,01a03f7238341519142b461f8e1b1473381ae72004f541dbda8ae36eae4aa898,eae_like,,,INVALID,SUSPECT_EIGENMODE_STRUCTURE
nstxuG133964R06/N1/egn01w.2214E+02,8b1429ec297c7ed6ef9886c71b4a2e3c779a3329fad3b8de1db0d98d178c6509,eae_like,,,INVALID,SUSPECT_EIGENMODE_STRUCTURE
nstxuG133964R06/N1/egn01w.2269E+02,aef790db2bab6d9ee1418923649bed18958d77108fdfa63937f454daa5c12c91,eae_like,,,INVALID,SUSPECT_EIGENMODE_STRUCTURE
nstxuG133964R06/N1/egn01w.2377E+02,97ae989708eed32936fbe97273dba06f868be4ba870bca64f27cdca8e0ee6834,eae_like,,,INVALID,SUSPECT_EIGENMODE_STRUCTURE
nstxuG133964R06/N1/egn01w.2479E+02,f6c5a30877a877f06767cd50e603b65d84720b2d89f406799ba9a82c2afa25c5,eae_like,,,INVALID,SUSPECT_EIGENMODE_STRUCTURE
nstxuG133964R06/N1/egn01w.2510E+02,f26892f2eb53d4d1ddaffa0cb66d0fdf233485a28f2c5ac9f1d6f4cd1ad93d0d,eae_like,,,INVALID,SUSPECT_EIGENMODE_STRUCTURE
nstxuG133964R06/N1/egn01w.2580E+02,00bbd25c3b545b15167f521aae050e5a03adb001ce78dee39e3bfa0fa5c02910,eae_like,,,INVALID,SUSPECT_EIGENMODE_STRUCTURE
nstxuG133964R06/N1/egn01w.2631E+02,b52d449db8b05c6ec4d796b76d41b50e31ddc4b62a38ae31cd72f4c6c32b38c0,eae_like,,,INVALID,SUSPECT_EIGENMODE_STRUCTURE
nstxuG133964R06/N1/egn01w.2698E+02,2e043fb39ae05e21e313edf83351c7e7d412a10baab6ed657ecefa71030e1f18,eae_like,,,INVALID,SUSPECT_EIGENMODE_STRUCTURE
nstxuG133964R06/N1/egn01w.3024E+02,4cae94607d9cd93aaf54cc2d318599e12a84c04f92d8a584ac26c1929c3f3c9e,eae_like,,,INVALID,SUSPECT_EIGENMODE_STRUCTURE
nstxuG133964R06/N1/egn01w.3085E+02,958c553b6f3c56b26f8c46f2eee9d106c78a9ed32135dbc12b5ff8f69af9760d,eae_like,,,INVALID,SUSPECT_EIGENMODE_STRUCTURE
nstxuG133964R06/N1/egn01w.3579E+02,f0e58e207db261d7b87d8eb5c4e006d84bd6479b97379d444b0cae362a4a85a8,eae_like,,,INVALID,SUSPECT_EIGENMODE_STRUCTURE
nstxuG133964R06/N1/egn01w.3724E+02,d586fa3ad6dcf6e7f1991ab9b9769721afb0a554adba6020a92224e85f173b56,eae_like,,,INVALID,SUSPECT_EIGENMODE_STRUCTURE
nstxuG133964R06/N1/egn01w.4714E+02,e100b9cf373fd602175ed8250dfc8829d779ffbc7ec68573cd33f12af8923434,eae_like,,,INVALID,SUSPECT_EIGENMODE_STRUCTURE
nstxuG133964R06/N1/egn01w.4734E+02,44c63b6259f38407e22892068611ebc0846dac0e799741e2b9e3857970f82f36,eae_like,,,INVALID,SUSPECT_EIGENMODE_STRUCTURE
nstxuG133964R06/N2/egn02w.1174E+02,fd8c23c8ae04da2d95bb1c17af1c38c5dc02d8a19c55e4d1b79877ddccd70c12,tae_like,BAD,bad,INVALID,SUSPECT_EIGENMODE_STRUCTURE
nstxuG133964R06/N2/egn02w.1180E+02,9e9eed4c72021d18c54ebddeedda1d07e3fa77516aed47dcb8fb5537c21e5264,tae_like,BAD,bad,INVALID,SUSPECT_EIGENMODE_STRUCTURE
nstxuG133964R06/N2/egn02w.1199E+02,c047efab4bf5d21914854620ca1529e18513a6a7fc85eac604c33947a9a1b657,tae_like,BAD,bad,INVALID,SUSPECT_EIGENMODE_STRUCTURE
nstxuG133964R06/N2/egn02w.1200E+02,479ae2889db65e365c03c11900c031cf4a9d08daf0310a17d5ea96ecbcfb9dee,tae_like,BAD,bad,INVALID,SUSPECT_EIGENMODE_STRUCTURE
nstxuG133964R06/N2/egn02w.1216E+02,6a58fe8e9fcff1b423c04ea204b956200214abfd05776b30e52493e9a8b8a90b,tae_like,BAD,bad,INVALID,SUSPECT_EIGENMODE_STRUCTURE
nstxuG133964R06/N2/egn02w.1228E+02,50e29a0d91a1905b1283726481657c3bac29cccaae000f14faeef908f8250bff,tae_like,BAD,bad,INVALID,SUSPECT_EIGENMODE_STRUCTURE
nstxuG133964R06/N2/egn02w.1237E+02,7cd1cd21d9b918e6721c1fa1f7ac73ef7a2a298fe8746b30fc4c6ba3d751544d,tae_like,BAD,bad,INVALID,SUSPECT_EIGENMODE_STRUCTURE
nstxuG133964R06/N2/egn02w.1241E+02,db834a965c7e02b395b49e7b9b80c95e0302a9214049554f98fa2b81e987c244,tae_like,BAD,bad,INVALID,SUSPECT_EIGENMODE_STRUCTURE
nstxuG133964R06/N2/egn02w.1268E+02,ee8320589eae06efd277b664b1650d38514fc3b4cf6c5b4f1e526add50d5f30d,tae_like,BAD,bad,INVALID,SUSPECT_EIGENMODE_STRUCTURE
nstxuG133964R06/N2/egn02w.1312E+02,ca690420170da8ab04cb8907b9029bdc91f7dd05bd92439a2d3ef7caece005f4,tae_like,BAD,bad,INVALID,SUSPECT_EIGENMODE_STRUCTURE
nstxuG133964R06/N2/egn02w.1323E+02,c42f97c664c1233ef950317525153c1ed6734d4b42126ea4aeda39ecb63b7fa6,tae_like,GOOD,bad,INVALID,SUSPECT_EIGENMODE_STRUCTURE
nstxuG133964R06/N2/egn02w.1347E+02,b961d34a9083d2aaac49c0fc560bce63e9ec37f8fff02ccfcfdf43fbeb6a0552,tae_like,BAD,bad,INVALID,SUSPECT_EIGENMODE_STRUCTURE
nstxuG133964R06/N2/egn02w.1365E+02,bf3003da4fc2f4fe43c550e740c8b4051add0f96a928da0aac802fcec7affd57,tae_like,BAD,bad,INVALID,SUSPECT_EIGENMODE_STRUCTURE
nstxuG133964R06/N2/egn02w.1371E+02,606d5e3fd8fc5cc766fd2e68a06ffa99a588a567c890a86d95d471207daa0b45,tae_like,BAD,bad,INVALID,SUSPECT_EIGENMODE_STRUCTURE
nstxuG133964R06/N2/egn02w.1452E+02,c5019e797a89ce1aec9c27eab4341178be425bb4b3763b731855993609978d75,tae_like,BAD,bad,INVALID,SUSPECT_EIGENMODE_STRUCTURE
nstxuG133964R06/N2/egn02w.1469E+02,eb5fade9a6e256434d52c5e1cee1c11a4b67a39fa0715c6f9153e13cfbde8e72,tae_like,BAD,bad,INVALID,SUSPECT_EIGENMODE_STRUCTURE
