shot,n,method,continuum_preprocessing_version,n_total_files,n_invalid,n_known_invalid_inputs,n_tae_like,n_mixed,n_eae_like,n_rule_evaluated,n_interior_harmonic_resolution_eligible,n_interior_harmonic_resolution_ineligible,n_preliminary_bad,n_preliminary_review,n_preliminary_good,n_preliminary_invalid,rule_survivor_policy,n_rule_survivors_accepted,n_final_bad,n_final_review,n_final_good_before_clustering,n_final_good,n_good_removed_as_duplicates,duplicate_processing_status,duplicate_rank_method,n_severity_complete,n_severity_unavailable,n_manual_override_rows,n_modes_manually_inspected,n_overrides_applied,n_stale_overrides,n_ambiguous_overrides,n_ineligible_overrides,n_unmatched_overrides,n_decisions_changed,transition_counts_json,manual_adjudication_performed,manual_override_sha256,primary_reason_counts_json,rule_set_version,rule_configuration_name,rule_configuration_schema_version,rule_configuration_sha256,fraction_tae_threshold,fraction_eae_threshold,fraction_direct_eae_threshold,signed_delta_eae_threshold,include_mixed_in_tae_like,rel_freq_tol,similarity_threshold,radial_location_tolerance,radial_width_tolerance,axis_artifact_gate_enabled,axis_artifact_r_ax,axis_artifact_amplitude_min,axis_artifact_width_max_grid,axis_energy_concentration_gate_enabled,axis_energy_amplitude_r_max,axis_energy_amplitude_min,axis_energy_r_max,axis_energy_fraction_min,distributed_harmonic_noise_gate_enabled,distributed_noise_nhf_min,distributed_noise_top2_min,distributed_noise_local_min,distributed_noise_radial_length_min,distributed_noise_window_dr,distributed_noise_resolution_eligible_count,distributed_noise_resolution_ineligible_count,extended_continuum_noise_gate_enabled,continuum_noise_top2_min,continuum_noise_local_min,continuum_noise_radial_length_min,grid_scale_spike_gate_enabled,grid_scale_spike_amplitude_min,grid_scale_spike_width_max_grid,grid_scale_spike_high_r_cutoff_r,grid_scale_spike_high_r_width_max_grid,grid_scale_packet_gate_enabled,grid_scale_packet_amplitude_min,grid_scale_packet_step_min,grid_scale_packet_min_large_turns,grid_scale_packet_window_span_grid,grid_scale_packet_peak_r_max,near_axis_grid_oscillation_gate_enabled,near_axis_grid_oscillation_peak_r_max,near_axis_grid_oscillation_amplitude_min,near_axis_grid_oscillation_min_consecutive_sign_flips,near_axis_grid_oscillation_step_l2_min,continuum_crossing_gate_enabled,continuum_crossing_w_threshold,continuum_crossing_window_gate_enabled,continuum_crossing_window_half_width_grid,continuum_crossing_window_amplitude_min,continuum_crossing_window_w_min,continuum_crossing_window_exception_enabled,continuum_crossing_window_exception_amplitude_max,continuum_crossing_window_exception_k_max,continuum_crossing_window_exception_half_width_grid,continuum_crossing_window_exception_calibrated_n_radial,n_continuum_crossing_window_exception_resolution_eligible,n_continuum_crossing_window_exception_resolution_ineligible,edge_artifact_gate_enabled,edge_artifact_r_min,edge_artifact_width_max_grid,edge_artifact_secondary_peak_energy_min,edge_artifact_secondary_peak_body_r_max,interior_envelope_gate_enabled,interior_envelope_footprint_exception_enabled,interior_envelope_footprint_spikes_fraction_max,interior_envelope_footprint_local_hf_fraction_max,interior_envelope_footprint_window_dr,interior_envelope_peak_r_max,interior_envelope_width_max_grid,interior_envelope_extremum_r_min,interior_envelope_extremum_r_max,interior_envelope_ext_dr_max,interior_envelope_ext_df_gap_min,interior_envelope_ext_df_gap_max,interior_envelope_ext_df_gap_min_inclusive,interior_harmonic_incoherence_gate_enabled,interior_harmonic_core_r_max,interior_harmonic_active_core_energy_fraction_min,interior_harmonic_max_lag_grid,interior_harmonic_incoherence_score_threshold,interior_harmonic_calibrated_n_radial,continuum_crossing_tail_gate_enabled,continuum_crossing_tail_k_min,continuum_crossing_tail_top2_ratio_min,continuum_crossing_tail_half_width_grid,continuum_crossing_tail_calibrated_n_radial,n_continuum_crossing_tail_resolution_eligible,n_continuum_crossing_tail_resolution_ineligible
nstxuE202806A02t045,1,rules,datcon-monotonic-tail-v1,68,0,0,54,0,14,54,54,0,51,3,0,0,accept-as-good-v1,3,51,0,3,3,0,COMPLETED_RULE_SEVERITY,rule_severity,54,0,0,0,0,0,0,0,0,0,{},False,,"{""BAD_AXIS_SPIKE"":34,""BAD_CONT_CROSS_WINDOW"":17,""NO_GOOD_TEMPLATE"":3}",tae-rules-axis-all-peaks-grid-highr-packet-turns-rle05-near-axis-grid-oscillation-cont-window-edge-interior-envelope-harmonic-incoherence-continuum-crossing-tail-smooth-crossing-window-extremum-clearance-axis-energy-concentration-extended-continuum-noise-distributed-harmonic-noise-secondary-edge-energy-peaks-footprint-exception-v25,tae_rules_production_v13,tae-rule-run-config-v13,5d1319910b578d9b684a367d358d5a2304a7319218fe1571b462e9ce9d3b3919,0.5,0.4,0.2,-0.1,True,0.02,0.9,0.1,0.05,True,0.03,0.2,10.0,True,0.015,0.5,0.05,0.5,True,4.0,0.005,0.05,0.03,0.05,54,0,True,0.01,0.2,0.04,True,0.3,1.0,0.7,0.75,True,0.3,0.2,3,4,0.5,True,0.1,0.1,4,0.3,False,,True,2,0.25,0.05,True,0.2,0.1,4,201,54,0,True,0.97,10.0,0.5,0.9,True,True,0.5,0.05,0.05,0.5,2.0,0.03,0.5,0.02,0.001,0.04,False,True,0.5,0.005,5,0.1,201,True,0.4,0.035,4,201,54,0
nstxuE202806A02t045,2,rules,datcon-monotonic-tail-v1,27,0,0,14,0,13,14,14,0,10,4,0,0,accept-as-good-v1,4,10,0,4,4,0,COMPLETED_RULE_SEVERITY,rule_severity,14,0,0,0,0,0,0,0,0,0,{},False,,"{""BAD_AXIS_SPIKE"":6,""BAD_CONT_CROSS_WINDOW"":4,""NO_GOOD_TEMPLATE"":4}",tae-rules-axis-all-peaks-grid-highr-packet-turns-rle05-near-axis-grid-oscillation-cont-window-edge-interior-envelope-harmonic-incoherence-continuum-crossing-tail-smooth-crossing-window-extremum-clearance-axis-energy-concentration-extended-continuum-noise-distributed-harmonic-noise-secondary-edge-energy-peaks-footprint-exception-v25,tae_rules_production_v13,tae-rule-run-config-v13,5d1319910b578d9b684a367d358d5a2304a7319218fe1571b462e9ce9d3b3919,0.5,0.4,0.2,-0.1,True,0.02,0.9,0.1,0.05,True,0.03,0.2,10.0,True,0.015,0.5,0.05,0.5,True,4.0,0.005,0.05,0.03,0.05,14,0,True,0.01,0.2,0.04,True,0.3,1.0,0.7,0.75,True,0.3,0.2,3,4,0.5,True,0.1,0.1,4,0.3,False,,True,2,0.25,0.05,True,0.2,0.1,4,201,14,0,True,0.97,10.0,0.5,0.9,True,True,0.5,0.05,0.05,0.5,2.0,0.03,0.5,0.02,0.001,0.04,False,True,0.5,0.005,5,0.1,201,True,0.4,0.035,4,201,14,0
nstxuE202806A02t045,3,rules,datcon-monotonic-tail-v1,43,0,0,14,0,29,14,14,0,11,3,0,0,accept-as-good-v1,3,11,0,3,3,0,COMPLETED_RULE_SEVERITY,rule_severity,14,0,0,0,0,0,0,0,0,0,{},False,,"{""BAD_AXIS_SPIKE"":6,""BAD_CONTINUUM_CROSSING_TAIL"":1,""BAD_CONT_CROSS_WINDOW"":4,""NO_GOOD_TEMPLATE"":3}",tae-rules-axis-all-peaks-grid-highr-packet-turns-rle05-near-axis-grid-oscillation-cont-window-edge-interior-envelope-harmonic-incoherence-continuum-crossing-tail-smooth-crossing-window-extremum-clearance-axis-energy-concentration-extended-continuum-noise-distributed-harmonic-noise-secondary-edge-energy-peaks-footprint-exception-v25,tae_rules_production_v13,tae-rule-run-config-v13,5d1319910b578d9b684a367d358d5a2304a7319218fe1571b462e9ce9d3b3919,0.5,0.4,0.2,-0.1,True,0.02,0.9,0.1,0.05,True,0.03,0.2,10.0,True,0.015,0.5,0.05,0.5,True,4.0,0.005,0.05,0.03,0.05,14,0,True,0.01,0.2,0.04,True,0.3,1.0,0.7,0.75,True,0.3,0.2,3,4,0.5,True,0.1,0.1,4,0.3,False,,True,2,0.25,0.05,True,0.2,0.1,4,201,14,0,True,0.97,10.0,0.5,0.9,True,True,0.5,0.05,0.05,0.5,2.0,0.03,0.5,0.02,0.001,0.04,False,True,0.5,0.005,5,0.1,201,True,0.4,0.035,4,201,14,0
nstxuE202806A02t045,4,rules,datcon-monotonic-tail-v1,29,0,0,13,0,16,13,13,0,6,7,0,0,accept-as-good-v1,7,6,0,7,7,0,COMPLETED_RULE_SEVERITY,rule_severity,13,0,0,0,0,0,0,0,0,0,{},False,,"{""BAD_AXIS_SPIKE"":3,""BAD_CONT_CROSS_WINDOW"":3,""NO_GOOD_TEMPLATE"":7}",tae-rules-axis-all-peaks-grid-highr-packet-turns-rle05-near-axis-grid-oscillation-cont-window-edge-interior-envelope-harmonic-incoherence-continuum-crossing-tail-smooth-crossing-window-extremum-clearance-axis-energy-concentration-extended-continuum-noise-distributed-harmonic-noise-secondary-edge-energy-peaks-footprint-exception-v25,tae_rules_production_v13,tae-rule-run-config-v13,5d1319910b578d9b684a367d358d5a2304a7319218fe1571b462e9ce9d3b3919,0.5,0.4,0.2,-0.1,True,0.02,0.9,0.1,0.05,True,0.03,0.2,10.0,True,0.015,0.5,0.05,0.5,True,4.0,0.005,0.05,0.03,0.05,13,0,True,0.01,0.2,0.04,True,0.3,1.0,0.7,0.75,True,0.3,0.2,3,4,0.5,True,0.1,0.1,4,0.3,False,,True,2,0.25,0.05,True,0.2,0.1,4,201,13,0,True,0.97,10.0,0.5,0.9,True,True,0.5,0.05,0.05,0.5,2.0,0.03,0.5,0.02,0.001,0.04,False,True,0.5,0.005,5,0.1,201,True,0.4,0.035,4,201,13,0
nstxuE202806A02t045,5,rules,datcon-monotonic-tail-v1,34,0,0,16,0,18,16,16,0,7,9,0,0,accept-as-good-v1,9,7,0,9,9,0,COMPLETED_RULE_SEVERITY,rule_severity,16,0,0,0,0,0,0,0,0,0,{},False,,"{""BAD_AXIS_SPIKE"":3,""BAD_CONT_CROSS_WINDOW"":3,""BAD_EDGE_SPIKE"":1,""NO_GOOD_TEMPLATE"":9}",tae-rules-axis-all-peaks-grid-highr-packet-turns-rle05-near-axis-grid-oscillation-cont-window-edge-interior-envelope-harmonic-incoherence-continuum-crossing-tail-smooth-crossing-window-extremum-clearance-axis-energy-concentration-extended-continuum-noise-distributed-harmonic-noise-secondary-edge-energy-peaks-footprint-exception-v25,tae_rules_production_v13,tae-rule-run-config-v13,5d1319910b578d9b684a367d358d5a2304a7319218fe1571b462e9ce9d3b3919,0.5,0.4,0.2,-0.1,True,0.02,0.9,0.1,0.05,True,0.03,0.2,10.0,True,0.015,0.5,0.05,0.5,True,4.0,0.005,0.05,0.03,0.05,16,0,True,0.01,0.2,0.04,True,0.3,1.0,0.7,0.75,True,0.3,0.2,3,4,0.5,True,0.1,0.1,4,0.3,False,,True,2,0.25,0.05,True,0.2,0.1,4,201,16,0,True,0.97,10.0,0.5,0.9,True,True,0.5,0.05,0.05,0.5,2.0,0.03,0.5,0.02,0.001,0.04,False,True,0.5,0.005,5,0.1,201,True,0.4,0.035,4,201,16,0
nstxuE202806A02t045,6,rules,datcon-monotonic-tail-v1,41,0,0,24,0,17,24,24,0,13,11,0,0,accept-as-good-v1,11,13,0,11,11,0,COMPLETED_RULE_SEVERITY,rule_severity,24,0,0,0,0,0,0,0,0,0,{},False,,"{""BAD_AXIS_SPIKE"":5,""BAD_CONT_CROSS_WINDOW"":7,""BAD_EDGE_SPIKE"":1,""NO_GOOD_TEMPLATE"":11}",tae-rules-axis-all-peaks-grid-highr-packet-turns-rle05-near-axis-grid-oscillation-cont-window-edge-interior-envelope-harmonic-incoherence-continuum-crossing-tail-smooth-crossing-window-extremum-clearance-axis-energy-concentration-extended-continuum-noise-distributed-harmonic-noise-secondary-edge-energy-peaks-footprint-exception-v25,tae_rules_production_v13,tae-rule-run-config-v13,5d1319910b578d9b684a367d358d5a2304a7319218fe1571b462e9ce9d3b3919,0.5,0.4,0.2,-0.1,True,0.02,0.9,0.1,0.05,True,0.03,0.2,10.0,True,0.015,0.5,0.05,0.5,True,4.0,0.005,0.05,0.03,0.05,24,0,True,0.01,0.2,0.04,True,0.3,1.0,0.7,0.75,True,0.3,0.2,3,4,0.5,True,0.1,0.1,4,0.3,False,,True,2,0.25,0.05,True,0.2,0.1,4,201,24,0,True,0.97,10.0,0.5,0.9,True,True,0.5,0.05,0.05,0.5,2.0,0.03,0.5,0.02,0.001,0.04,False,True,0.5,0.005,5,0.1,201,True,0.4,0.035,4,201,24,0
nstxuE202806A02t045,7,rules,datcon-monotonic-tail-v1,50,0,0,25,1,24,26,26,0,10,16,0,0,accept-as-good-v1,16,10,0,16,16,0,COMPLETED_RULE_SEVERITY,rule_severity,26,0,0,0,0,0,0,0,0,0,{},False,,"{""BAD_AXIS_SPIKE"":3,""BAD_CONTINUUM_CROSSING_TAIL"":1,""BAD_CONT_CROSS_WINDOW"":6,""NO_GOOD_TEMPLATE"":16}",tae-rules-axis-all-peaks-grid-highr-packet-turns-rle05-near-axis-grid-oscillation-cont-window-edge-interior-envelope-harmonic-incoherence-continuum-crossing-tail-smooth-crossing-window-extremum-clearance-axis-energy-concentration-extended-continuum-noise-distributed-harmonic-noise-secondary-edge-energy-peaks-footprint-exception-v25,tae_rules_production_v13,tae-rule-run-config-v13,5d1319910b578d9b684a367d358d5a2304a7319218fe1571b462e9ce9d3b3919,0.5,0.4,0.2,-0.1,True,0.02,0.9,0.1,0.05,True,0.03,0.2,10.0,True,0.015,0.5,0.05,0.5,True,4.0,0.005,0.05,0.03,0.05,26,0,True,0.01,0.2,0.04,True,0.3,1.0,0.7,0.75,True,0.3,0.2,3,4,0.5,True,0.1,0.1,4,0.3,False,,True,2,0.25,0.05,True,0.2,0.1,4,201,26,0,True,0.97,10.0,0.5,0.9,True,True,0.5,0.05,0.05,0.5,2.0,0.03,0.5,0.02,0.001,0.04,False,True,0.5,0.005,5,0.1,201,True,0.4,0.035,4,201,26,0
nstxuE202806A02t045,8,rules,datcon-monotonic-tail-v1,49,0,0,18,0,31,18,18,0,12,6,0,0,accept-as-good-v1,6,12,0,6,6,0,COMPLETED_RULE_SEVERITY,rule_severity,18,0,0,0,0,0,0,0,0,0,{},False,,"{""BAD_AXIS_SPIKE"":6,""BAD_CONT_CROSS_WINDOW"":5,""BAD_NEAR_AXIS_GRID_OSCILLATION"":1,""NO_GOOD_TEMPLATE"":6}",tae-rules-axis-all-peaks-grid-highr-packet-turns-rle05-near-axis-grid-oscillation-cont-window-edge-interior-envelope-harmonic-incoherence-continuum-crossing-tail-smooth-crossing-window-extremum-clearance-axis-energy-concentration-extended-continuum-noise-distributed-harmonic-noise-secondary-edge-energy-peaks-footprint-exception-v25,tae_rules_production_v13,tae-rule-run-config-v13,5d1319910b578d9b684a367d358d5a2304a7319218fe1571b462e9ce9d3b3919,0.5,0.4,0.2,-0.1,True,0.02,0.9,0.1,0.05,True,0.03,0.2,10.0,True,0.015,0.5,0.05,0.5,True,4.0,0.005,0.05,0.03,0.05,18,0,True,0.01,0.2,0.04,True,0.3,1.0,0.7,0.75,True,0.3,0.2,3,4,0.5,True,0.1,0.1,4,0.3,False,,True,2,0.25,0.05,True,0.2,0.1,4,201,18,0,True,0.97,10.0,0.5,0.9,True,True,0.5,0.05,0.05,0.5,2.0,0.03,0.5,0.02,0.001,0.04,False,True,0.5,0.005,5,0.1,201,True,0.4,0.035,4,201,18,0
nstxuE202806A02t045,9,rules,datcon-monotonic-tail-v1,64,0,0,30,2,32,32,32,0,18,14,0,0,accept-as-good-v1,14,18,0,14,14,0,COMPLETED_RULE_SEVERITY,rule_severity,32,0,0,0,0,0,0,0,0,0,{},False,,"{""BAD_AXIS_SPIKE"":9,""BAD_CONTINUUM_CROSSING_TAIL"":2,""BAD_CONT_CROSS_WINDOW"":5,""BAD_INTERIOR_HARMONIC_INCOHERENCE"":1,""BAD_NEAR_AXIS_GRID_OSCILLATION"":1,""NO_GOOD_TEMPLATE"":14}",tae-rules-axis-all-peaks-grid-highr-packet-turns-rle05-near-axis-grid-oscillation-cont-window-edge-interior-envelope-harmonic-incoherence-continuum-crossing-tail-smooth-crossing-window-extremum-clearance-axis-energy-concentration-extended-continuum-noise-distributed-harmonic-noise-secondary-edge-energy-peaks-footprint-exception-v25,tae_rules_production_v13,tae-rule-run-config-v13,5d1319910b578d9b684a367d358d5a2304a7319218fe1571b462e9ce9d3b3919,0.5,0.4,0.2,-0.1,True,0.02,0.9,0.1,0.05,True,0.03,0.2,10.0,True,0.015,0.5,0.05,0.5,True,4.0,0.005,0.05,0.03,0.05,32,0,True,0.01,0.2,0.04,True,0.3,1.0,0.7,0.75,True,0.3,0.2,3,4,0.5,True,0.1,0.1,4,0.3,False,,True,2,0.25,0.05,True,0.2,0.1,4,201,32,0,True,0.97,10.0,0.5,0.9,True,True,0.5,0.05,0.05,0.5,2.0,0.03,0.5,0.02,0.001,0.04,False,True,0.5,0.005,5,0.1,201,True,0.4,0.035,4,201,32,0
nstxuE202806A02t045,10,rules,datcon-monotonic-tail-v1,59,0,0,32,1,26,33,33,0,16,17,0,0,accept-as-good-v1,17,16,0,17,17,0,COMPLETED_RULE_SEVERITY,rule_severity,33,0,0,0,0,0,0,0,0,0,{},False,,"{""BAD_AXIS_SPIKE"":8,""BAD_CONTINUUM_CROSSING_TAIL"":1,""BAD_CONT_CROSS_WINDOW"":6,""BAD_GRID_SCALE_SPIKE"":1,""NO_GOOD_TEMPLATE"":17}",tae-rules-axis-all-peaks-grid-highr-packet-turns-rle05-near-axis-grid-oscillation-cont-window-edge-interior-envelope-harmonic-incoherence-continuum-crossing-tail-smooth-crossing-window-extremum-clearance-axis-energy-concentration-extended-continuum-noise-distributed-harmonic-noise-secondary-edge-energy-peaks-footprint-exception-v25,tae_rules_production_v13,tae-rule-run-config-v13,5d1319910b578d9b684a367d358d5a2304a7319218fe1571b462e9ce9d3b3919,0.5,0.4,0.2,-0.1,True,0.02,0.9,0.1,0.05,True,0.03,0.2,10.0,True,0.015,0.5,0.05,0.5,True,4.0,0.005,0.05,0.03,0.05,33,0,True,0.01,0.2,0.04,True,0.3,1.0,0.7,0.75,True,0.3,0.2,3,4,0.5,True,0.1,0.1,4,0.3,False,,True,2,0.25,0.05,True,0.2,0.1,4,201,33,0,True,0.97,10.0,0.5,0.9,True,True,0.5,0.05,0.05,0.5,2.0,0.03,0.5,0.02,0.001,0.04,False,True,0.5,0.005,5,0.1,201,True,0.4,0.035,4,201,33,0
