shot,inventory_status,post_training_checked,directory_exists,input_modes,nr_counts,footer_or_size_errors
nstxuE202806A02t025,checked_post_training,yes,True,700,"{""201"": 700}",0
nstxuE203609A01t020,checked_post_training,yes,True,247,"{""201"": 247}",0
nstxuE203963A01t025,checked_post_training,yes,True,693,"{""201"": 693}",0
nstxuE204707A04t030,checked_post_training,yes,True,1134,"{""201"": 1134}",0
nstxuE204954A01t022,checked_post_training,yes,True,503,"{""201"": 503}",0
nstxuE205035A01t020,checked_post_training,yes,True,235,"{""201"": 235}",0
nstxuE205045A01t022,checked_post_training,yes,True,1127,"{""201"": 1127}",0
nstxuE205054A01t037,checked_post_training,yes,True,639,"{""201"": 639}",0
nstxuE205057A01t020,checked_post_training,yes,True,967,"{""201"": 967}",0
nstxuG121123K34,checked_post_training,yes,True,1258,"{""201"": 1258}",0
nstxuG121123K70,checked_post_training,yes,True,478,"{""201"": 478}",0
nstxuG121123N80,checked_post_training,yes,True,186,"{""201"": 186}",0
nstxuG142301E72,checked_post_training,yes,True,648,"{""201"": 648}",0
nstxuG142301H56,checked_post_training,yes,True,913,"{""201"": 913}",0
nstxuG142301V21,checked_post_training,yes,True,951,"{""201"": 951}",0
