shot,mode_key,input_fingerprint,old_decision,v5_decision,old_reason,v5_reason,rf_cnn_decision,old_selected_final,v5_selected_final
nstxuE202806A02t025,nstxuE202806A02t025/N3/egn03w.7423E+01,2fec1402fbb861b352c615d80e1b41728c27364ce9ee0d91b0aaf7931df8cbfb,BAD,BAD,BAD_GRID_SCALE_SPIKE,BAD_GRID_SCALE_SPIKE,GOOD,,
nstxuE202806A02t025,nstxuE202806A02t025/N3/egn03w.2515E+02,8be9e16371a6a989118d69beda3a49f5a35465eb7374db869548fd91a05fba39,BAD,BAD,BAD_CONT_CROSS_WINDOW,BAD_CONT_CROSS_WINDOW,GOOD,,
nstxuE202806A02t025,nstxuE202806A02t025/N4/egn04w.1294E+02,b0159fd2a30cd918dffd8ae15ce838b2ee61f4ed0d855ab2d296d20b8f4915c9,BAD,BAD,BAD_GRID_SCALE_SPIKE,BAD_GRID_SCALE_SPIKE,GOOD,,
nstxuE202806A02t025,nstxuE202806A02t025/N6/egn06w.9229E+01,783f25289858d550cc75bfa1641b2b78d6d6d0668b9ad6e92c1af0d06e118117,GOOD,GOOD,NO_GOOD_TEMPLATE,NO_GOOD_TEMPLATE,BAD,True,True
nstxuE202806A02t025,nstxuE202806A02t025/N7/egn07w.8340E+01,f680dbc01f8108994e35f1575a4eb84e688f6d230d13db5e21d01deffdfd6f85,BAD,BAD,BAD_GRID_SCALE_SPIKE,BAD_GRID_SCALE_SPIKE,GOOD,,
nstxuE202806A02t025,nstxuE202806A02t025/N7/egn07w.2445E+02,3893b12babfd5d6e98830bb120c2a8b00171e2149b4e0d66ad96436e2103a87c,BAD,BAD,BAD_GRID_SCALE_SPIKE,BAD_GRID_SCALE_SPIKE,GOOD,,
nstxuE202806A02t025,nstxuE202806A02t025/N8/egn08w.7959E+01,75d10fe839ba61b32c41b4e6a3a6195a4834bf33112abe395c6c62fc58f6d8e0,BAD,BAD,BAD_CONT_CROSS_WINDOW,BAD_CONT_CROSS_WINDOW,GOOD,,
nstxuE202806A02t025,nstxuE202806A02t025/N8/egn08w.9030E+01,50e17b41f61158411b7324db314d13b3e5fef52169002702ff6f01aeb27e8b15,GOOD,GOOD,NO_GOOD_TEMPLATE,NO_GOOD_TEMPLATE,BAD,True,True
nstxuE202806A02t025,nstxuE202806A02t025/N8/egn08w.1016E+02,1a914bd894a5728c1d1f6510edb0b674d5863b2e894d959cb582b458de4b83e7,BAD,BAD,BAD_GRID_SCALE_SPIKE,BAD_GRID_SCALE_SPIKE,GOOD,,
nstxuE202806A02t025,nstxuE202806A02t025/N8/egn08w.1611E+02,1f885e062dc5bc88436795fdf3913507ec9ec2d6f5f72f3695ce8de95c86f16d,GOOD,GOOD,NO_GOOD_TEMPLATE,NO_GOOD_TEMPLATE,BAD,True,True
