shot,input_modes,tae_side,invalid_unchanged,old_good,v5_good,old_final_selected,v5_final_selected,decision_changes,reason_only_changes,old_ai_disagreements,v5_ai_disagreements,new_rejections_by_gate,cluster_statuses
nstxuE202806A02t025,700,204,0,78,77,77,76,1,0,17,16,"{""BAD_NEAR_AXIS_GRID_OSCILLATION"": 1}","{""PROCESSED_RF"": 31}"
nstxuE203609A01t020,247,85,0,37,35,37,35,2,0,9,11,"{""BAD_NEAR_AXIS_GRID_OSCILLATION"": 2}","{""PROCESSED_RF"": 13}"
nstxuE203963A01t025,693,97,0,31,27,31,27,4,1,12,10,"{""BAD_NEAR_AXIS_GRID_OSCILLATION"": 4}","{""PROCESSED_RF"": 15}"
nstxuE204707A04t030,1134,239,0,62,60,62,60,2,1,16,14,"{""BAD_CONTINUUM_CROSSING_TAIL"": 2}","{""PROCESSED_RF"": 18}"
nstxuE204954A01t022,503,117,0,28,27,28,27,1,0,1,2,"{""BAD_NEAR_AXIS_GRID_OSCILLATION"": 1}","{""PROCESSED_RF"": 7}"
nstxuE205035A01t020,235,52,0,7,7,7,7,0,0,0,0,{},{}
nstxuE205045A01t022,1127,313,0,24,14,24,14,10,17,14,6,"{""BAD_CONTINUUM_CROSSING_TAIL"": 8, ""BAD_NEAR_AXIS_GRID_OSCILLATION"": 2}",{}
nstxuE205054A01t037,639,227,0,35,33,35,33,2,0,3,5,"{""BAD_CONTINUUM_CROSSING_TAIL"": 1, ""BAD_NEAR_AXIS_GRID_OSCILLATION"": 1}",{}
nstxuE205057A01t020,967,233,0,34,34,34,34,0,3,13,13,{},{}
nstxuG121123K34,1258,160,97,1,1,1,1,0,0,2,2,{},{}
nstxuG121123K70,478,88,0,7,7,7,7,0,0,6,6,{},"{""PROCESSED_RF"": 4}"
nstxuG121123N80,186,160,0,10,10,10,10,0,0,3,3,{},"{""PROCESSED_RF"": 2}"
nstxuG142301E72,648,62,0,0,0,0,0,0,3,0,0,{},{}
nstxuG142301H56,913,209,0,4,2,4,2,2,2,4,2,"{""BAD_INTERIOR_HARMONIC_INCOHERENCE"": 2}",{}
nstxuG142301V21,951,131,0,9,9,9,9,0,0,3,3,{},"{""PROCESSED_RF"": 2}"
