shot,status,input_modes,estimated_input_modes,tae_like,mixed,eae_like,invalid,good_before_dedup,selected_good,bad,elapsed_seconds
nstxuE202842A01t030,verified,434,434,207,4,223,0,75,74,136,37.19
nstxuE202842A01t035,verified,635,635,239,3,393,0,89,87,153,45.85
nstxuE202855A01t025,verified,708,708,213,6,489,0,89,88,130,64.23
nstxuE202855A01t030,verified,790,790,143,26,621,0,64,64,105,56.77
nstxuE202926A03t030,verified,459,459,211,2,246,0,69,68,144,29.67
nstxuE202926A03t037,verified,385,385,169,3,213,0,54,54,118,
nstxuE202944A02t020,verified,497,497,145,9,343,0,39,39,115,24.15
nstxuE202944A02t023,verified,818,818,182,6,630,0,61,61,127,72.05
nstxuE202944A02t028,verified,790,790,239,10,541,0,80,80,169,73.45
nstxuE202947A03t020,verified,467,467,160,1,306,0,53,52,108,40.37
nstxuE202947A03t025,verified,612,612,201,4,407,0,71,71,134,60.5
nstxuE202947A03t037,verified,1114,1114,290,15,809,0,50,50,255,83.64
nstxuE203262A04t022,verified,456,456,196,6,254,0,75,75,127,35.46
nstxuE203262A04t025,verified,678,678,226,3,449,0,105,104,124,65.18
nstxuE203609A01t017,verified,198,198,106,2,90,0,67,66,41,16.28
nstxuE203609A01t030,verified,526,526,210,1,315,0,106,106,105,52.51
nstxuE203609A01t037,verified,484,484,182,2,300,0,89,89,95,33.65
nstxuE203653A02t020,verified,213,213,118,3,92,0,28,28,93,15.11
nstxuE203653A02t030,verified,670,670,164,19,487,0,72,70,111,46.39
nstxuE203655F01t017,verified,338,338,159,0,179,0,72,72,87,33.1
nstxuE203656A02t017,verified,325,325,164,0,161,0,109,108,55,29.4
nstxuE203656A02t020,verified,293,293,155,5,133,0,61,60,99,22.54
nstxuE203656A02t025,verified,550,550,169,2,379,0,85,85,86,45.32
nstxuE203963A01t017,verified,422,422,157,4,261,0,44,44,117,45.55
nstxuE203963A01t020,verified,631,631,162,3,466,0,52,52,113,39.68
nstxuE203963A01t030,verified,893,893,157,12,724,0,63,63,106,61.96
nstxuE203981A01t017,verified,600,600,200,10,390,0,69,69,141,56.62
nstxuE203981A01t019,verified,476,476,140,1,335,0,68,68,73,40.98
nstxuE203981A01t022,verified,663,663,173,3,487,0,78,78,98,53.61
nstxuE204118F01t017,verified,517,517,76,2,439,0,17,17,61,23.3
nstxuE204118F01t020,verified,639,639,116,2,521,0,30,30,88,54.02
nstxuE204118F01t035,verified,677,677,62,3,612,0,1,1,64,
nstxuE204118F01t040,verified,360,360,68,2,290,0,17,17,53,23.67
nstxuE204186A01t017,verified,505,505,144,6,355,0,29,29,121,27.27
nstxuE204186A01t025,verified,995,995,188,16,791,0,89,88,115,46.93
nstxuE204186A01t030,verified,595,595,194,9,392,0,78,78,125,30.46
nstxuE204621A03t017,verified,600,600,169,2,429,0,23,23,148,37.07
nstxuE204621A03t020,verified,723,723,158,9,556,0,36,36,131,35.96
nstxuE204621A03t025,verified,897,897,186,25,686,0,81,81,130,76.51
nstxuE204636A01t017,verified,554,554,97,1,456,0,32,32,66,37.02
nstxuE204636A01t025,verified,373,373,184,15,174,0,78,77,121,28.98
nstxuE204645A16t020,verified,242,242,145,14,83,0,34,34,125,20.56
nstxuE204645A16t025,verified,526,526,220,6,300,0,106,106,120,48.48
nstxuE204645A16t030,verified,463,463,139,2,322,0,61,61,80,32.89
nstxuE204669M03t015,verified,668,668,142,11,515,0,31,31,122,48.29
nstxuE204669M03t020,verified,206,206,23,1,182,0,7,7,17,8.38
nstxuE204669M03t030,verified,949,949,166,13,770,0,18,18,161,46.65
nstxuE204678M01t020,verified,438,438,137,7,294,0,38,37,106,29.33
nstxuE204678M01t025,verified,620,620,134,14,472,0,49,49,99,49.68
nstxuE204678M01t030,verified,796,796,222,12,562,0,70,70,164,76.18
nstxuE204707A04t015,verified,525,525,170,5,350,0,62,62,113,46.53
nstxuE204707A04t020,verified,623,623,170,3,450,0,35,35,138,38.37
nstxuE204707A04t025,verified,1156,1156,219,5,932,0,51,51,173,83.08
nstxuE204707X02t017,verified,607,607,145,2,460,0,12,11,135,61.04
nstxuE204707X02t020,verified,659,659,222,4,433,0,36,34,190,42.19
nstxuE204707X02t027,verified,949,949,214,2,733,0,58,58,158,67.14
nstxuE204707X02t035,verified,485,485,122,34,329,0,51,51,105,
nstxuE204708A06t017,verified,655,655,189,1,465,0,105,103,85,74.05
nstxuE204708A06t020,verified,670,670,228,2,440,0,103,102,127,56.54
nstxuE204708A06t025,verified,407,407,161,2,244,0,48,48,115,32.44
nstxuE204708A06t035,verified,425,425,203,2,220,0,89,89,116,35.56
nstxuE204708F03t020,verified,752,752,295,5,452,0,109,104,191,77.16
nstxuE204708F03t025,verified,476,476,184,9,283,0,62,62,131,39.0
nstxuE204708F03t035,verified,407,407,197,2,208,0,95,94,104,36.71
nstxuE204944A01t020,verified,597,597,116,7,474,0,46,46,77,29.43
nstxuE204944A01t027,verified,575,575,120,1,454,0,31,31,90,23.68
nstxuE204944A01t035,verified,484,484,148,2,334,0,83,82,67,45.54
nstxuE204954A01t017,verified,576,576,129,3,444,0,30,30,102,39.64
nstxuE204955F02t020,verified,474,474,94,2,378,0,41,40,55,29.7
nstxuE204955F02t023,verified,373,373,136,6,231,0,66,66,76,30.55
nstxuE204955F02t025,verified,564,564,211,6,347,0,95,95,122,52.92
nstxuE204957F05t017,verified,506,506,188,3,315,0,81,81,110,41.76
nstxuE204957F05t020,verified,607,607,204,13,390,0,56,56,161,64.99
nstxuE204957F05t027,verified,748,748,229,14,505,0,83,82,160,52.19
nstxuE204957F05t034,verified,641,641,186,13,442,0,63,63,136,53.61
nstxuE205016A01t017,verified,843,843,126,4,713,0,45,45,85,48.87
nstxuE205016A01t020,verified,393,393,88,3,302,0,35,35,56,28.5
nstxuE205016A01t025,verified,398,398,150,13,235,0,52,50,111,30.08
nstxuE205016A01t032,verified,719,719,187,8,524,0,63,63,132,49.75
nstxuE205017A01t017,verified,401,401,107,4,290,0,20,19,91,34.38
nstxuE205017A01t020,verified,638,638,78,3,557,0,21,21,60,50.47
nstxuE205017A01t030,verified,884,884,241,29,614,0,73,73,197,71.74
nstxuE205034A01t017,verified,426,426,59,1,366,0,2,2,58,
nstxuE205034A01t020,verified,579,579,65,3,511,0,16,16,52,23.23
nstxuE205034A01t021,verified,764,764,85,2,677,0,23,23,64,50.98
nstxuE205034A01t023,verified,742,742,89,1,652,0,41,41,49,41.63
nstxuE205035A01t017,verified,481,481,99,6,376,0,4,4,101,
nstxuE205035A01t025,verified,197,197,74,0,123,0,38,38,36,9.85
nstxuE205035A01t030,verified,587,587,201,3,383,0,118,118,86,34.21
nstxuE205040A01t018,verified,247,247,56,8,183,0,15,15,49,
nstxuE205040A01t020,verified,296,296,58,6,232,0,5,5,59,
