shot,n_total_files,n_rule_evaluated,n_final_good_before_clustering,n_final_good,n_good_removed_as_duplicates,n_severity_complete,n_severity_unavailable,duplicate_processing_status
nstxuE202806A02t025,700,204,77,76,1,204,0,COMPLETED_RULE_SEVERITY
nstxuE203609A01t020,247,85,35,35,0,85,0,COMPLETED_RULE_SEVERITY
nstxuE203963A01t025,693,96,27,27,0,96,0,COMPLETED_RULE_SEVERITY
nstxuE204707A04t030,1134,234,60,60,0,234,0,COMPLETED_RULE_SEVERITY
nstxuE204954A01t022,503,117,27,27,0,117,0,COMPLETED_RULE_SEVERITY
nstxuE205035A01t020,235,52,7,7,0,52,0,NO_CLOSE_FREQUENCY_CLUSTERS
nstxuE205045A01t022,1127,303,22,22,0,303,0,NO_CLOSE_FREQUENCY_CLUSTERS
nstxuE205054A01t037,639,217,33,33,0,217,0,NO_CLOSE_FREQUENCY_CLUSTERS
nstxuE205057A01t020,967,228,39,39,0,228,0,COMPLETED_RULE_SEVERITY
nstxuG121123K34,1258,160,1,1,0,160,0,NO_CLOSE_FREQUENCY_CLUSTERS
nstxuG121123K70,478,87,7,7,0,87,0,COMPLETED_RULE_SEVERITY
nstxuG121123N80,186,160,9,9,0,160,0,COMPLETED_RULE_SEVERITY
nstxuG142301E72,648,61,0,0,0,61,0,SKIPPED_NO_GOOD_MODES
nstxuG142301H56,913,208,2,2,0,208,0,NO_CLOSE_FREQUENCY_CLUSTERS
nstxuG142301V21,951,131,8,8,0,131,0,COMPLETED_RULE_SEVERITY
nstxuE205040A01t016,297,147,90,90,0,147,0,COMPLETED_RULE_SEVERITY
nstxuE204944A01t017,388,77,26,26,0,77,0,COMPLETED_RULE_SEVERITY
nstxuE204708F03t017,623,160,90,90,0,160,0,COMPLETED_RULE_SEVERITY
nstxuE204645A16t015,535,172,87,82,5,172,0,COMPLETED_RULE_SEVERITY
nstxuE203262A04t018,573,228,146,146,0,228,0,COMPLETED_RULE_SEVERITY
nstxuE204621A03t030,1050,155,19,19,0,155,0,COMPLETED_RULE_SEVERITY
nstxuE205017A01t025,853,219,60,60,0,219,0,COMPLETED_RULE_SEVERITY
nstxuE204186A01t020,1047,205,56,56,0,205,0,COMPLETED_RULE_SEVERITY
nstxuG133964R06,610,0,0,0,0,0,0,SKIPPED_NO_GOOD_MODES
nstxuG142301C50,546,194,0,0,0,194,0,SKIPPED_NO_GOOD_MODES
nstxuG142301L94,958,115,4,4,0,115,0,NO_CLOSE_FREQUENCY_CLUSTERS
nstxuG142301U84,1101,172,16,16,0,172,0,COMPLETED_RULE_SEVERITY
