shot,candidate_after_primary_holds,current_mode_files,hold_reasons,secondary_n1_hold,recorded_n1_status
nstxuE202842A01t030,True,434,,False,LOCAL_EXTRA_CROSSING_REVIEW
nstxuE202842A01t035,True,635,,False,LOCAL_EXTRA_CROSSING_REVIEW
nstxuE202855A01t025,True,708,,False,WITHIN_REVIEW_TOLERANCE
nstxuE202855A01t030,True,790,,False,WITHIN_REVIEW_TOLERANCE
nstxuE202926A03t030,True,459,,False,NO_USABLE_CORE_COMPARISON
nstxuE202926A03t037,True,385,,False,MODEST_SUBSET_OFFSET
nstxuE202944A02t020,True,497,,False,WITHIN_REVIEW_TOLERANCE
nstxuE202944A02t023,True,818,,False,WITHIN_REVIEW_TOLERANCE
nstxuE202944A02t028,True,790,,False,LOCAL_EXTRA_CROSSING_REVIEW
nstxuE202947A03t020,True,467,,False,WITHIN_REVIEW_TOLERANCE
nstxuE202947A03t025,True,612,,False,WITHIN_REVIEW_TOLERANCE
nstxuE202947A03t037,True,1114,,False,MODEST_SUBSET_OFFSET
nstxuE203262A04t022,True,456,,False,WITHIN_REVIEW_TOLERANCE
nstxuE203262A04t025,True,678,,False,WITHIN_REVIEW_TOLERANCE
nstxuE203609A01t017,True,198,,False,NO_USABLE_CORE_COMPARISON
nstxuE203609A01t030,True,526,,False,NO_USABLE_CORE_COMPARISON
nstxuE203609A01t037,True,484,,False,LOCAL_EXTRA_CROSSING_REVIEW
nstxuE203653A02t017,True,326,,False,NO_USABLE_CORE_COMPARISON
nstxuE203653A02t020,True,213,,False,WITHIN_REVIEW_TOLERANCE
nstxuE203653A02t030,True,670,,False,WITHIN_REVIEW_TOLERANCE
nstxuE203655F01t017,True,338,,False,LIMITED_LOG_COVERAGE
nstxuE203655F01t020,True,243,,False,WITHIN_REVIEW_TOLERANCE
nstxuE203655F01t030,True,461,,False,WITHIN_REVIEW_TOLERANCE
nstxuE203656A02t017,True,325,,False,NO_USABLE_CORE_COMPARISON
nstxuE203656A02t020,True,293,,False,WITHIN_REVIEW_TOLERANCE
nstxuE203656A02t025,True,550,,False,WITHIN_REVIEW_TOLERANCE
nstxuE203963A01t017,True,422,,False,LOCAL_EXTRA_CROSSING_REVIEW
nstxuE203963A01t020,True,631,,False,WITHIN_REVIEW_TOLERANCE
nstxuE203963A01t030,True,893,,False,LOCAL_EXTRA_CROSSING_REVIEW
nstxuE203981A01t017,True,600,,False,NO_USABLE_CORE_COMPARISON
nstxuE203981A01t019,True,476,,False,LOCAL_EXTRA_CROSSING_REVIEW
nstxuE203981A01t022,True,663,,False,LOCAL_EXTRA_CROSSING_REVIEW
nstxuE204118F01t017,True,517,,False,NO_USABLE_CORE_COMPARISON
nstxuE204118F01t020,True,639,,False,WITHIN_REVIEW_TOLERANCE
nstxuE204118F01t035,True,677,,False,NO_USABLE_CORE_COMPARISON
nstxuE204118F01t040,True,360,,False,NO_USABLE_CORE_COMPARISON
nstxuE204186A01t017,True,505,,False,WITHIN_REVIEW_TOLERANCE
nstxuE204186A01t025,True,995,,False,NEAR_AXIS_LOG_CORRESPONDENCE
nstxuE204186A01t030,True,595,,False,WITHIN_REVIEW_TOLERANCE
nstxuE204621A03t017,True,600,,False,WITHIN_REVIEW_TOLERANCE
nstxuE204621A03t020,True,723,,False,WITHIN_REVIEW_TOLERANCE
nstxuE204621A03t025,True,897,,False,WITHIN_REVIEW_TOLERANCE
nstxuE204636A01t017,True,554,,False,WITHIN_REVIEW_TOLERANCE
nstxuE204636A01t025,True,373,,False,NO_USABLE_CORE_COMPARISON
nstxuE204645A16t020,True,242,,False,NO_USABLE_CORE_COMPARISON
nstxuE204645A16t025,True,526,,False,WITHIN_REVIEW_TOLERANCE
nstxuE204645A16t030,True,463,,False,WITHIN_REVIEW_TOLERANCE
nstxuE204669M03t015,True,668,,False,NO_USABLE_CORE_COMPARISON
nstxuE204669M03t020,True,206,,False,NO_USABLE_CORE_COMPARISON
nstxuE204669M03t030,True,949,,False,NO_USABLE_CORE_COMPARISON
nstxuE204678M01t020,True,438,,False,WITHIN_REVIEW_TOLERANCE
nstxuE204678M01t025,True,620,,False,WITHIN_REVIEW_TOLERANCE
nstxuE204678M01t030,True,796,,False,WITHIN_REVIEW_TOLERANCE
nstxuE204707A04t015,True,525,,False,LOCAL_EXTRA_CROSSING_REVIEW
nstxuE204707A04t020,True,623,,False,WITHIN_REVIEW_TOLERANCE
nstxuE204707A04t025,True,1156,,False,MODEST_SUBSET_OFFSET
nstxuE204707X02t017,True,607,,False,LOCAL_EXTRA_CROSSING_REVIEW
nstxuE204707X02t020,True,659,,False,WITHIN_REVIEW_TOLERANCE
nstxuE204707X02t027,True,949,,False,ISOLATED_OFFSET
nstxuE204707X02t035,True,485,,False,WITHIN_REVIEW_TOLERANCE
nstxuE204708A06t017,True,655,,False,WITHIN_REVIEW_TOLERANCE
nstxuE204708A06t020,True,670,,False,WITHIN_REVIEW_TOLERANCE
nstxuE204708A06t025,True,407,,False,WITHIN_REVIEW_TOLERANCE
nstxuE204708A06t035,True,425,,False,WITHIN_REVIEW_TOLERANCE
nstxuE204708F03t020,True,752,,False,WITHIN_REVIEW_TOLERANCE
nstxuE204708F03t025,True,476,,False,WITHIN_REVIEW_TOLERANCE
nstxuE204708F03t035,True,407,,False,WITHIN_REVIEW_TOLERANCE
nstxuE204944A01t020,True,597,,False,WITHIN_REVIEW_TOLERANCE
nstxuE204944A01t027,True,575,,False,WITHIN_REVIEW_TOLERANCE
nstxuE204944A01t035,True,484,,False,NO_CORE_COMPARISON_EDGE_REVIEW
nstxuE204954A01t017,True,576,,False,WITHIN_REVIEW_TOLERANCE
nstxuE204955F02t020,True,474,,False,NO_USABLE_CORE_COMPARISON
nstxuE204955F02t023,True,373,,False,WITHIN_REVIEW_TOLERANCE
nstxuE204955F02t025,True,564,,False,WITHIN_REVIEW_TOLERANCE
