path,label,input_fingerprint,extremum_qualified,extremum_match_found,ext_dr,ext_df_gap,ext_energy_frac,energy_peak_r,energy_halfmax_width_grid,no_axis_decision,no_axis_primary_reason,w2_decision,w2_primary_reason,w2_axis_fires,w2_axis_peak,w2_axis_peak_harmonic_index,w2_axis_peak_r,w2_axis_halfmax_width_grid,w2_axis_component_touches_boundary,w3_decision,w3_primary_reason,w3_axis_fires,w3_axis_peak,w3_axis_peak_harmonic_index,w3_axis_peak_r,w3_axis_halfmax_width_grid,w3_axis_component_touches_boundary,w5_decision,w5_primary_reason,w5_axis_fires,w5_axis_peak,w5_axis_peak_harmonic_index,w5_axis_peak_r,w5_axis_halfmax_width_grid,w5_axis_component_touches_boundary,w10_decision,w10_primary_reason,w10_axis_fires,w10_axis_peak,w10_axis_peak_harmonic_index,w10_axis_peak_r,w10_axis_halfmax_width_grid,w10_axis_component_touches_boundary
nstxuG121123K70/N1/egn01w.2307E+02,,355ef9c5d72e2cad646df565eeab95902143365971ec9247e31ead519ad9a91d,False,True,0.165,0.3176127083825062,2.779623709354307e-06,0.02,1.581374558805193,BAD,BAD_GRID_SCALE_SPIKE,BAD,BAD_GRID_SCALE_SPIKE,False,1.0,1,0.02,3.4714859856995837,False,BAD,BAD_AXIS_SPIKE,True,0.2494657552742081,3,0.02,2.653635296982384,False,BAD,BAD_AXIS_SPIKE,True,1.0,1,0.02,3.4714859856995837,False,BAD,BAD_AXIS_SPIKE,True,1.0,1,0.02,3.4714859856995837,False
nstxuG121123K70/N1/egn01w.2401E+02,,46c4465ccd1332a93de3d6fddc5a90490c64391e06aeaffef28926d13dd8e4e8,False,True,0.16999999999999998,0.291714914866494,0.007850749328566047,0.015,1.4227056251741834,BAD,BAD_GRID_SCALE_SPIKE,BAD,BAD_AXIS_SPIKE,True,0.2514974415991262,3,0.02,1.9202266842043565,False,BAD,BAD_AXIS_SPIKE,True,1.0,1,0.015,2.086288109926108,False,BAD,BAD_AXIS_SPIKE,True,1.0,1,0.015,2.086288109926108,False,BAD,BAD_AXIS_SPIKE,True,1.0,1,0.015,2.086288109926108,False
nstxuG121123K70/N1/egn01w.2481E+02,,2089e93a12b217e18ab302bee18e71d44da235c479b4d1bf9cfb668750633bcd,False,True,0.16999999999999998,0.2707225578138481,0.01086875750265072,0.015,1.8102753319241693,BAD,BAD_GRID_SCALE_SPIKE,BAD,BAD_AXIS_SPIKE,True,0.2901350831106845,3,0.015,1.384033304130139,False,BAD,BAD_AXIS_SPIKE,True,1.0,1,0.015,2.012741512699833,False,BAD,BAD_AXIS_SPIKE,True,1.0,1,0.015,2.012741512699833,False,BAD,BAD_AXIS_SPIKE,True,1.0,1,0.015,2.012741512699833,False
nstxuG121123K70/N1/egn01w.2636E+02,,9fd5c784a6034927e2e477b1145f8c5955bdc8d3f7f5c0b656a522fa0b6cd00b,False,True,0.175,0.23279660481326123,0.05943571434247752,0.01,1.0477273899849024,BAD,BAD_INTERIOR_UNRESOLVED_ENVELOPE,BAD,BAD_AXIS_SPIKE,True,1.0,1,0.01,1.222755771753112,False,BAD,BAD_AXIS_SPIKE,True,1.0,1,0.01,1.222755771753112,False,BAD,BAD_AXIS_SPIKE,True,1.0,1,0.01,1.222755771753112,False,BAD,BAD_AXIS_SPIKE,True,1.0,1,0.01,1.222755771753112,False
nstxuG121123K70/N1/egn01w.2652E+02,,8e8ce57a6ff73049e4ad4b99a5c8eed4cbd1e8938964b007e5172b4976b7ef45,False,True,0.175,0.22913997915851508,0.05585682543070049,0.01,1.0552652029458505,BAD,BAD_INTERIOR_UNRESOLVED_ENVELOPE,BAD,BAD_AXIS_SPIKE,True,1.0,1,0.01,1.2561333233783523,False,BAD,BAD_AXIS_SPIKE,True,1.0,1,0.01,1.2561333233783523,False,BAD,BAD_AXIS_SPIKE,True,1.0,1,0.01,1.2561333233783523,False,BAD,BAD_AXIS_SPIKE,True,1.0,1,0.01,1.2561333233783523,False
nstxuG121123K70/N1/egn01w.2722E+02,,3cc6b77b5fc34b8a2b5f407598923774867f92e93448e30fd885f25e0577e408,False,True,0.175,0.21308956884557914,0.022736137572382475,0.01,1.1499030577800242,BAD,BAD_GRID_SCALE_SPIKE,BAD,BAD_AXIS_SPIKE,True,1.0,1,0.01,1.5178219265729251,False,BAD,BAD_AXIS_SPIKE,True,1.0,1,0.01,1.5178219265729251,False,BAD,BAD_AXIS_SPIKE,True,1.0,1,0.01,1.5178219265729251,False,BAD,BAD_AXIS_SPIKE,True,1.0,1,0.01,1.5178219265729251,False
nstxuG121123K70/N1/egn01w.2885E+02,,54eeec857e1967ebc3505bfb0a255a1851684c956e8ee342120a983e751d1917,False,True,0.16999999999999998,0.1784176732253596,0.04857134334219771,0.015,2.3675147169682416,REVIEW,NO_GOOD_TEMPLATE,BAD,BAD_AXIS_SPIKE,True,0.28547495683152896,2,0.005,1.5763058793491411,False,BAD,BAD_AXIS_SPIKE,True,0.28547495683152896,2,0.005,1.5763058793491411,False,BAD,BAD_AXIS_SPIKE,True,1.0,1,0.015,3.0602462839963263,False,BAD,BAD_AXIS_SPIKE,True,1.0,1,0.015,3.0602462839963263,False
nstxuG121123K70/N1/egn01w.2987E+02,,4040c8657c6097f924c47446b2e43da7559b3e3736baaa928a02ed69fdae774e,False,True,0.175,0.15811516108810922,0.07823365960205503,0.01,2.1550182853667135,REVIEW,NO_GOOD_TEMPLATE,REVIEW,NO_GOOD_TEMPLATE,False,1.0,1,0.01,3.0083312301184817,False,REVIEW,NO_GOOD_TEMPLATE,False,1.0,1,0.01,3.0083312301184817,False,BAD,BAD_AXIS_SPIKE,True,1.0,1,0.01,3.0083312301184817,False,BAD,BAD_AXIS_SPIKE,True,1.0,1,0.01,3.0083312301184817,False
nstxuG121123K70/N1/egn01w.3039E+02,,4ac8d2a43bd3d8eea6d536e88c04816394729b5d13dd27a13afbb9e5fc8b74f3,False,True,0.175,0.14818459543266577,0.11811290712941841,0.01,2.4076949793434435,BAD,BAD_GRID_SCALE_SPIKE,BAD,BAD_AXIS_SPIKE,True,0.23661404561191648,3,0.01,1.115291325219015,False,BAD,BAD_AXIS_SPIKE,True,0.23661404561191648,3,0.01,1.115291325219015,False,BAD,BAD_AXIS_SPIKE,True,1.0,1,0.01,3.6898243059159785,False,BAD,BAD_AXIS_SPIKE,True,1.0,1,0.01,3.6898243059159785,False
nstxuG121123K70/N1/egn01w.3498E+02,,f5fb3c5c04c6c7a98dd2d5916ad435c81305abba5a7985bae1724407e61928d6,False,True,0.425,0.1539980533394372,0.003988960026841657,0.875,1.1324548606058915,BAD,BAD_GRID_SCALE_SPIKE,BAD,BAD_AXIS_SPIKE,True,1.0,1,0.005,1.1118043335270162,False,BAD,BAD_AXIS_SPIKE,True,1.0,1,0.005,1.1118043335270162,False,BAD,BAD_AXIS_SPIKE,True,1.0,1,0.005,1.1118043335270162,False,BAD,BAD_AXIS_SPIKE,True,1.0,1,0.005,1.1118043335270162,False
