path,label,input_fingerprint,extremum_qualified,extremum_match_found,ext_dr,ext_df_gap,ext_energy_frac,energy_peak_r,energy_halfmax_width_grid,no_axis_decision,no_axis_primary_reason,w2_decision,w2_primary_reason,w2_axis_fires,w2_axis_peak,w2_axis_peak_harmonic_index,w2_axis_peak_r,w2_axis_halfmax_width_grid,w2_axis_component_touches_boundary,w3_decision,w3_primary_reason,w3_axis_fires,w3_axis_peak,w3_axis_peak_harmonic_index,w3_axis_peak_r,w3_axis_halfmax_width_grid,w3_axis_component_touches_boundary,w5_decision,w5_primary_reason,w5_axis_fires,w5_axis_peak,w5_axis_peak_harmonic_index,w5_axis_peak_r,w5_axis_halfmax_width_grid,w5_axis_component_touches_boundary,w10_decision,w10_primary_reason,w10_axis_fires,w10_axis_peak,w10_axis_peak_harmonic_index,w10_axis_peak_r,w10_axis_halfmax_width_grid,w10_axis_component_touches_boundary
nstx_120113/N1/egn01w.1445E+02,bad,9a7ebe1b9a0dcb9558aea3b8b1ba69d57b45e757cdeea4bbd211925978b4a7d9,False,False,,,,0.04,1.152539778014576,BAD,BAD_CONT_CROSS_WINDOW,BAD,BAD_CONT_CROSS_WINDOW,False,0.26367021284548137,1,0.03,7.469226340449303,False,BAD,BAD_CONT_CROSS_WINDOW,False,0.26367021284548137,1,0.03,7.469226340449303,False,BAD,BAD_CONT_CROSS_WINDOW,False,0.26367021284548137,1,0.03,7.469226340449303,False,BAD,BAD_AXIS_SPIKE,True,0.26367021284548137,1,0.03,7.469226340449303,False
nstx_120113/N1/egn01w.1455E+02,bad,7e81aa72bed7cfd20ce8aa9ff10853d84dcde34dd1072323e39f510b50919435,False,False,,,,0.04,1.192732747648996,BAD,BAD_CONT_CROSS_WINDOW,BAD,BAD_CONT_CROSS_WINDOW,False,0.4111514914703629,1,0.03,6.73308957573886,False,BAD,BAD_CONT_CROSS_WINDOW,False,0.4111514914703629,1,0.03,6.73308957573886,False,BAD,BAD_CONT_CROSS_WINDOW,False,0.4111514914703629,1,0.03,6.73308957573886,False,BAD,BAD_AXIS_SPIKE,True,0.4111514914703629,1,0.03,6.73308957573886,False
nstx_120113/N1/egn01w.1602E+02,bad,170e7ee8b64025df5a2e3b75d07b6cbd2c95a159f55159c542897bf39b45a5bf,False,False,,,,0.06,15.850573484027647,BAD,BAD_CONT_CROSS_WINDOW,BAD,BAD_AXIS_SPIKE,True,0.4076101012522636,2,0.01,1.4282836962680756,False,BAD,BAD_AXIS_SPIKE,True,0.4076101012522636,2,0.01,1.4282836962680756,False,BAD,BAD_AXIS_SPIKE,True,0.4076101012522636,2,0.01,1.4282836962680756,False,BAD,BAD_AXIS_SPIKE,True,0.4076101012522636,2,0.01,1.4282836962680756,False
nstx_120113/N1/egn01w.1621E+02,bad,c325f217a7629ff588a8b8cf172c3dcb7d7efb27ad86d7fc0786173af1ee63cc,False,False,,,,0.07,17.028457547668978,BAD,BAD_CONT_CROSS_WINDOW,BAD,BAD_AXIS_SPIKE,True,0.4284800947545198,2,0.01,1.5486954804106614,False,BAD,BAD_AXIS_SPIKE,True,0.4284800947545198,2,0.01,1.5486954804106614,False,BAD,BAD_AXIS_SPIKE,True,0.4284800947545198,2,0.01,1.5486954804106614,False,BAD,BAD_AXIS_SPIKE,True,0.4284800947545198,2,0.01,1.5486954804106614,False
nstx_120113/N1/egn01w.1642E+02,bad,bfe18fa8a826a769a2a3aa525a5ba6c4a83832d9866c4bd2c243fe2eef973e92,False,False,,,,0.075,17.314099462201227,BAD,BAD_CONT_CROSS_WINDOW,BAD,BAD_AXIS_SPIKE,True,0.4735443464380228,1,0.01,1.6971907926595968,False,BAD,BAD_AXIS_SPIKE,True,0.4735443464380228,1,0.01,1.6971907926595968,False,BAD,BAD_AXIS_SPIKE,True,0.4735443464380228,1,0.01,1.6971907926595968,False,BAD,BAD_AXIS_SPIKE,True,0.4735443464380228,1,0.01,1.6971907926595968,False
nstx_120113/N1/egn01w.1728E+02,bad,55c61b4921ecae065a5c9fe15988c06bdb729c88886adefc4137ab63620e0f0f,False,False,,,,0.14,21.111272082169357,BAD,BAD_GRID_SCALE_SPIKE,BAD,BAD_AXIS_SPIKE,True,0.6074739929659263,1,0.01,1.69670344283669,False,BAD,BAD_AXIS_SPIKE,True,0.6074739929659263,1,0.01,1.69670344283669,False,BAD,BAD_AXIS_SPIKE,True,0.7085859709898921,1,0.02,4.917375597509458,False,BAD,BAD_AXIS_SPIKE,True,0.7085859709898921,1,0.02,4.917375597509458,False
nstx_120113/N1/egn01w.1754E+02,bad,00bd8aeb119f2bf4310878c6bc174af002c58430ac027a7121d4445c95700a04,False,False,,,,0.14,21.94343554015411,BAD,BAD_CONT_CROSS_WINDOW,BAD,BAD_AXIS_SPIKE,True,0.35528113227172603,1,0.01,1.7307535914834775,False,BAD,BAD_AXIS_SPIKE,True,0.35528113227172603,1,0.01,1.7307535914834775,False,BAD,BAD_AXIS_SPIKE,True,0.35528113227172603,1,0.01,1.7307535914834775,False,BAD,BAD_AXIS_SPIKE,True,0.4916364130873454,1,0.03,5.869364370040519,False
nstx_120113/N1/egn01w.1780E+02,bad,0a684b620f434a416ef84c56b98fa9ed26bb4de0cd01959ac752dc4985ae6235,False,False,,,,0.14,22.42184056462162,BAD,BAD_CONT_CROSS_WINDOW,BAD,BAD_AXIS_SPIKE,True,0.2357846442122887,1,0.01,1.7799069338455888,False,BAD,BAD_AXIS_SPIKE,True,0.2357846442122887,1,0.01,1.7799069338455888,False,BAD,BAD_AXIS_SPIKE,True,0.2357846442122887,1,0.01,1.7799069338455888,False,BAD,BAD_AXIS_SPIKE,True,0.4460795574570161,1,0.03,5.589831093990758,False
nstx_120113/N1/egn01w.1807E+02,bad,a7b769baefcd33bd024ca895ed9f57d430f3c5ee0da8dbfdd6b2e2695fa60eaa,False,False,,,,0.145,22.83820261089407,BAD,BAD_CONT_CROSS_WINDOW,BAD,BAD_CONT_CROSS_WINDOW,False,0.4184023218494752,1,0.03,5.3762284448386835,False,BAD,BAD_CONT_CROSS_WINDOW,False,0.4184023218494752,1,0.03,5.3762284448386835,False,BAD,BAD_CONT_CROSS_WINDOW,False,0.4184023218494752,1,0.03,5.3762284448386835,False,BAD,BAD_AXIS_SPIKE,True,0.4184023218494752,1,0.03,5.3762284448386835,False
nstx_120113/N1/egn01w.1833E+02,bad,eabea2252accf7c1d7c81d302d9dad39c354ebb9acf8727298122c7db58210d4,False,False,,,,0.23500000000000001,1.7192840668177944,BAD,BAD_CONT_CROSS_WINDOW,BAD,BAD_CONT_CROSS_WINDOW,False,0.4032316899827339,1,0.03,5.196239939809984,False,BAD,BAD_CONT_CROSS_WINDOW,False,0.4032316899827339,1,0.03,5.196239939809984,False,BAD,BAD_CONT_CROSS_WINDOW,False,0.4032316899827339,1,0.03,5.196239939809984,False,BAD,BAD_AXIS_SPIKE,True,0.4032316899827339,1,0.03,5.196239939809984,False
