path,label,w10_axis_peak,w10_axis_peak_r,w10_axis_halfmax_width_grid,energy_peak_r,energy_halfmax_width_grid,ext_dr,ext_df_gap,ext_energy_frac,w2_decision,w2_primary_reason
nstx_135388/N10/egn10w.2055E+02,bad,0.2411904467914882,0.01,2.085943485468146,0.465,1.0168839608949654,0.0,0.008469825579976819,0.9103052980379843,BAD,BAD_GRID_SCALE_SPIKE
nstx_135388/N3/egn03w.2764E+02,bad,0.3338637256044041,0.005,2.797777318048895,0.085,6.7968026603390825,0.01999999999999999,0.01607313035174715,0.2551263860960317,REVIEW,NO_GOOD_TEMPLATE
nstx_135388/N4/egn04w.2986E+02,bad,1.0,0.02,4.628991712360589,0.02,2.811500885252512,0.02,0.02213089108746632,0.9002291757564772,BAD,BAD_GRID_SCALE_SPIKE
nstxuG121123B12/N7/egn07w.2697E+02,bad,0.3351498065313939,0.015,8.434470559953585,0.055,1.5027538462518641,0.0049999999999999975,0.014782206818406569,0.9498275935707078,REVIEW,NO_GOOD_TEMPLATE
nstxuG121123B12/N7/egn07w.2770E+02,bad,1.0,0.03,6.809356368003187,0.045,5.9501564173711845,0.0050000000000000044,0.027909139922628928,0.9025018894319722,BAD,BAD_GRID_SCALE_SPIKE
nstxuG121123B12/N8/egn08w.2899E+02,bad,0.34279772592009,0.02,2.7299069508883522,0.14,2.4910389753907913,0.0,0.012610316391422568,0.16301623117906525,BAD,BAD_CONT_CROSS_WINDOW
nstxuG121123B12/N9/egn09w.2347E+02,bad,0.2282955005533676,0.005,2.9685885093861044,0.11,2.9377584297281434,0.0,0.023201611399345914,0.9674912396930844,REVIEW,NO_GOOD_TEMPLATE
nstxuG121123J38/N7/egn07w.2697E+02,bad,0.296588214870454,0.025,9.41239440832447,0.115,1.1426925490925637,0.0,0.003656916794311819,0.5217513456003473,REVIEW,NO_GOOD_TEMPLATE
nstxuG121123J38/N7/egn07w.2725E+02,bad,0.2634126960100761,0.03,2.1290472683451807,0.115,2.691783655086985,0.0,0.008768961935023955,0.9042760739265105,BAD,BAD_GRID_SCALE_SPIKE
nstxuG121123J38/N7/egn07w.3357E+02,bad,0.40071339820599305,0.015,2.5781405128985027,0.1,9.708767318305103,0.01999999999999999,0.036746934102738826,0.5862361081319518,REVIEW,NO_GOOD_TEMPLATE
