path,label,w10_axis_peak,w10_axis_peak_r,w10_axis_halfmax_width_grid,w2_axis_peak,w2_axis_peak_r,w2_axis_halfmax_width_grid,extremum_qualified,energy_peak_r,energy_halfmax_width_grid
nstx_120113/N2/egn02w.1088E+02,bad,1.0,0.01,2.4550588327164022,1.0,0.01,2.4550588327164022,False,0.01,2.0890179933240605
nstx_120113/N4/egn04w.8982E+01,bad,0.6413040123022159,0.03,8.667792829806107,0.6413040123022159,0.03,8.667792829806107,False,0.045,2.7665075514049646
nstx_120113/N5/egn05w.1185E+02,bad,1.0,0.02,3.010178240940683,1.0,0.02,3.010178240940683,False,0.02,2.343730269714282
nstx_135388/N1/egn01w.2721E+02,bad,0.4936400969306417,0.025,2.347444555103712,0.4936400969306417,0.025,2.347444555103712,False,0.245,83.79596975067606
nstx_135388/N2/egn02w.3455E+02,bad,0.3305893261971818,0.01,3.1036266458916275,0.3699374905251896,0.01,10.225346451885667,False,0.745,64.58687720585019
nstx_135388/N3/egn03w.2764E+02,bad,0.3338637256044041,0.005,2.797777318048895,0.3338637256044041,0.005,2.797777318048895,True,0.085,6.7968026603390825
nstx_135388/N5/egn05w.3249E+02,bad,0.25115933275784597,0.02,4.312564023306322,0.25115933275784597,0.02,4.312564023306322,False,0.2,28.99787137446478
nstx_135388/N9/egn09w.6908E+02,bad,0.26199845490990253,0.03,7.20095837836642,0.26199845490990253,0.03,7.20095837836642,False,0.775,28.508835456675264
nstx_141711/N3/egn03w.3189E+02,bad,0.736628789004235,0.025,6.289074611483233,0.736628789004235,0.025,6.289074611483233,False,0.035,2.5847557102491954
nstxuE205052A01t022/N3/egn03w.9549E+01,bad,0.8477124607201255,0.02,3.1458637590703353,0.8477124607201255,0.02,3.1458637590703353,False,0.05,4.884633850194016
nstxuE205052A01t022/N3/egn03w.9808E+01,bad,1.0,0.03,5.056398999202698,1.0,0.03,5.056398999202698,False,0.03,3.8930618731651494
nstxuE205052A01t022/N4/egn04w.9849E+01,bad,0.22862757532219652,0.02,3.2195066817234954,0.22862757532219652,0.02,3.2195066817234954,False,0.745,37.47728556633727
nstxuE205052A01t022/N6/egn06w.9880E+01,bad,0.3221191340458516,0.01,5.562161139485147,0.3221191340458516,0.01,5.562161139485147,False,0.12,7.659576759077244
nstxuG121123B12/N7/egn07w.2697E+02,bad,0.3351498065313939,0.015,8.434470559953585,0.5873219467675771,0.03,7.253257216114002,True,0.055,1.5027538462518641
nstxuG121123B12/N9/egn09w.2347E+02,bad,0.2282955005533676,0.005,2.9685885093861044,0.2282955005533676,0.005,2.9685885093861044,True,0.11,2.9377584297281434
nstxuG121123J38/N10/egn10w.3071E+02,bad,1.0,0.02,3.879428966309464,1.0,0.02,3.879428966309464,False,0.02,2.2840537205608116
nstxuG121123J38/N7/egn07w.2697E+02,bad,0.296588214870454,0.025,9.41239440832447,0.296588214870454,0.025,9.41239440832447,True,0.115,1.1426925490925637
nstxuG121123J38/N7/egn07w.3357E+02,bad,0.40071339820599305,0.015,2.5781405128985027,0.40071339820599305,0.015,2.5781405128985027,True,0.1,9.708767318305103
nstxuG121123J38/N8/egn08w.3062E+02,bad,0.3593240037196098,0.02,2.409938820018487,0.3593240037196098,0.02,2.409938820018487,True,0.07,1.2699328041981761
nstxuG121123J38/N8/egn08w.3371E+02,bad,0.7599057206268336,0.02,2.105770464335066,0.7599057206268336,0.02,2.105770464335066,True,0.08,4.311039691647422
nstxuG142301H47/N9/egn09w.2352E+02,bad,0.5878924269305168,0.025,3.800358101241423,0.5878924269305168,0.025,3.800358101241423,True,0.035,1.2650828494918873
nstxuG142301W29/N4/egn04w.2117E+02,bad,0.6168137648143249,0.005,2.4862316039130836,0.6168137648143249,0.005,2.4862316039130836,True,0.145,5.766074353953942
nstxuG142301W29/N4/egn04w.2238E+02,bad,0.6399655722916371,0.01,8.383277011566694,0.6399655722916371,0.01,8.383277011566694,False,0.135,9.975768955319856
nstxuG142301W29/N5/egn05w.2374E+02,bad,0.4647045317207323,0.03,3.5535145079850476,0.4647045317207323,0.03,3.5535145079850476,True,0.09,2.159922901431588
nstxu_204202/N10/egn10w.1303E+02,bad,0.514609122786857,0.02,2.3428220293212916,0.514609122786857,0.02,2.3428220293212916,False,0.635,22.60351878830482
