blind_id,path,shot,n,signed_delta,fraction_below_upper2,gap_region,error
B001,nstx_120113/N2/egn02w.1088E+02,nstx_120113,2,,,,
B002,nstx_120113/N4/egn04w.8982E+01,nstx_120113,4,,,,
B003,nstx_120113/N5/egn05w.1185E+02,nstx_120113,5,,,,
B004,nstx_135388/N1/egn01w.2721E+02,nstx_135388,1,,,,
B005,nstx_135388/N2/egn02w.3455E+02,nstx_135388,2,,,,
B006,nstx_135388/N3/egn03w.2764E+02,nstx_135388,3,,,,
B007,nstx_135388/N5/egn05w.3249E+02,nstx_135388,5,,,,
B008,nstx_135388/N9/egn09w.6908E+02,nstx_135388,9,,,,
B009,nstx_141711/N3/egn03w.3189E+02,nstx_141711,3,,,,
B010,nstxuE205052A01t022/N3/egn03w.9549E+01,nstxuE205052A01t022,3,,,,
B011,nstxuE205052A01t022/N3/egn03w.9808E+01,nstxuE205052A01t022,3,,,,
B012,nstxuE205052A01t022/N4/egn04w.9849E+01,nstxuE205052A01t022,4,,,,
B013,nstxuE205052A01t022/N6/egn06w.9880E+01,nstxuE205052A01t022,6,,,,
B014,nstxuG121123B12/N7/egn07w.2697E+02,nstxuG121123B12,7,,,,
B015,nstxuG121123B12/N9/egn09w.2347E+02,nstxuG121123B12,9,,,,
B016,nstxuG121123J38/N10/egn10w.3071E+02,nstxuG121123J38,10,,,,
B017,nstxuG121123J38/N7/egn07w.2697E+02,nstxuG121123J38,7,,,,
B018,nstxuG121123J38/N7/egn07w.3357E+02,nstxuG121123J38,7,,,,
B019,nstxuG121123J38/N8/egn08w.3062E+02,nstxuG121123J38,8,,,,
B020,nstxuG121123J38/N8/egn08w.3371E+02,nstxuG121123J38,8,,,,
B021,nstxuG142301H47/N9/egn09w.2352E+02,nstxuG142301H47,9,,,,
B022,nstxuG142301W29/N4/egn04w.2117E+02,nstxuG142301W29,4,,,,
B023,nstxuG142301W29/N4/egn04w.2238E+02,nstxuG142301W29,4,,,,
B024,nstxuG142301W29/N5/egn05w.2374E+02,nstxuG142301W29,5,,,,
B025,nstxu_204202/N10/egn10w.1303E+02,nstxu_204202,10,,,,
