path,shot,role,n,omega,gamma_d,validity,family,gap_region,signed_delta,fraction_below_upper2,r_peak,ext_kind,r_ext,ext_dr,ext_df_gap,ext_energy_frac,ext_prom_rel,n_cross,n_near_cross,n_secondary_cross,max_cross_W_all,max_cross_W_near,max_cross_W_secondary,max_cross_W_outer,geometry_3pct,localized_gap_side_4pct,robust_secondary_W_lt_0p001,robust_secondary_W_lt_0p01,robust_secondary_W_lt_0p05,secondary_crossings,all_crossings
nstxuG142301M21/N6/egn06w.1800E+02,nstxuG142301M21,candidate,6,4.242750323113103,-0.0003239624401738108,,,mixed,0.06774570488409674,0.3066140304904375,0.875,lower_max,0.37,0.505,-0.5087550142045202,0.018794407779038343,0.15639069889882598,4,0,4,0.14408633370209448,0.0,0.14408633370209448,0.14408633370209448,False,False,False,False,False,low@0.5428:W=0.0558519;low@0.5505:W=0.144086;low@0.5736:W=0.0389771;high@0.8073:W=0.101855,low@0.5428:W=0.0558519;low@0.5505:W=0.144086;low@0.5736:W=0.0389771;high@0.8073:W=0.101855
nstxuG142301M21/N6/egn06w.1850E+02,nstxuG142301M21,candidate,6,4.301007880848212,-0.02674553412390436,,,mixed,-0.05387149785183066,0.3530610328201415,0.895,lower_max,0.37,0.525,-0.4883187851198107,0.0034895990804525152,0.15427237211990932,4,0,4,0.06902018639431641,0.0,0.06902018639431641,0.06902018639431641,False,False,False,False,False,low@0.5395:W=0.0121556;low@0.5535:W=0.0690202;low@0.5719:W=0.0642554;high@0.8049:W=0.0575376,low@0.5395:W=0.0121556;low@0.5535:W=0.0690202;low@0.5719:W=0.0642554;high@0.8049:W=0.0575376
nstxuG142301M21/N6/egn06w.1944E+02,nstxuG142301M21,candidate,6,4.408880210685142,-2.256785108831384e-05,,,below_upper2,0.9991893750916783,0.9999771795115117,0.395,lower_max,0.37,0.025000000000000022,-0.45190400240427087,0.6466042200273444,0.15049778097322486,4,0,4,1.028058997265158e-05,0.0,1.028058997265158e-05,1.028058997265158e-05,False,False,False,False,False,low@0.5361:W=1.02806e-05;low@0.5589:W=6.27245e-06;low@0.5678:W=5.39609e-06;high@0.8007:W=2.41119e-06,low@0.5361:W=1.02806e-05;low@0.5589:W=6.27245e-06;low@0.5678:W=5.39609e-06;high@0.8007:W=2.41119e-06
nstxuG142301M21/N6/egn06w.2356E+02,nstxuG142301M21,candidate,6,4.854291902702675,-0.0001314498773560135,,,below_upper2,0.9972916775431819,0.9999176167203463,0.16,lower_max,0.37,0.21,-0.31868271466138487,0.01171731671904546,0.1366886667683608,4,0,4,0.0003500388009440525,0.0,0.0003500388009440525,0.0003500388009440525,False,False,False,False,False,low@0.4808:W=0.000350039;low@0.5126:W=0.000157127;low@0.5228:W=0.000127671;high@0.7832:W=2.28195e-05,low@0.4808:W=0.000350039;low@0.5126:W=0.000157127;low@0.5228:W=0.000127671;high@0.7832:W=2.28195e-05
nstxuG142301M21/N6/egn06w.2384E+02,nstxuG142301M21,candidate,6,4.882285695265835,-6.496076775796231e-06,,,below_upper2,0.9973353501038679,0.9998906103607421,0.19,lower_max,0.37,0.18,-0.31112172116879805,0.01238782573232568,0.13590492849041474,4,0,4,0.00046452064800368815,0.0,0.00046452064800368815,0.00046452064800368815,False,False,False,False,False,low@0.4800:W=0.000464521;low@0.5142:W=0.000202607;low@0.5212:W=0.000176835;high@0.7820:W=2.5243e-05,low@0.4800:W=0.000464521;low@0.5142:W=0.000202607;low@0.5212:W=0.000176835;high@0.7820:W=2.5243e-05
nstxuG142301M21/N6/egn06w.2420E+02,nstxuG142301M21,candidate,6,4.919437836444804,-1.3059036093040216e-05,,,below_upper2,0.9971887786186237,0.9999204823933271,0.17500000000000002,lower_max,0.37,0.19499999999999998,-0.30121998424129587,0.01164640377468333,0.13487855936897003,2,0,2,0.0005932986094448161,0.0,0.0005932986094448161,0.0005932986094448161,False,False,False,False,False,low@0.4791:W=0.000593299;high@0.7805:W=6.48269e-05,low@0.4791:W=0.000593299;high@0.7805:W=6.48269e-05
nstxuG142301M21/N6/egn06w.2470E+02,nstxuG142301M21,candidate,6,4.96977966408366,-8.079850946036011e-05,,,below_upper2,0.9969780348112468,0.999981108612229,0.16,lower_max,0.37,0.21,-0.2880391600207943,0.01044795033005613,0.13351229493736935,2,0,2,0.0007123411363226394,0.0,0.0007123411363226394,0.0007123411363226394,False,False,False,False,False,low@0.4778:W=0.000712341;high@0.7784:W=3.68487e-05,low@0.4778:W=0.000712341;high@0.7784:W=3.68487e-05
nstxuG142301M21/N6/egn06w.2877E+02,nstxuG142301M21,candidate,6,5.363467777044508,-3.953677105391112e-05,,,below_upper2,0.9966927230992149,0.9994989275163645,0.145,lower_max,0.37,0.225,-0.19349478548412335,0.0031529213653663677,0.12371225406158935,4,0,4,0.001996674023592099,0.0,0.001996674023592099,0.001996674023592099,False,False,False,False,False,low@0.4081:W=0.00199667;low@0.4465:W=0.00108598;low@0.4672:W=0.000899093;high@0.7618:W=0.000257242,low@0.4081:W=0.00199667;low@0.4465:W=0.00108598;low@0.4672:W=0.000899093;high@0.7618:W=0.000257242
nstxuG142301M21/N6/egn06w.3087E+02,nstxuG142301M21,candidate,6,5.556456467065567,-1.5975697637776866e-07,,,below_upper2,0.9995405269016185,0.9996133236846785,0.07,lower_max,0.215,0.145,-0.422143450877611,0.0011174474873569809,0.16639326853030098,2,0,2,1.9692128650460077e-05,0.0,1.9692128650460077e-05,1.9692128650460077e-05,False,False,False,False,False,low@0.4029:W=2.17786e-06;high@0.7529:W=1.96921e-05,low@0.4029:W=2.17786e-06;high@0.7529:W=1.96921e-05
nstxuG142301M21/N6/egn06w.3123E+02,nstxuG142301M21,candidate,6,5.588149578101578,-5.2868967823350986e-08,,,below_upper2,0.9998601230605284,0.9999702995515581,0.075,lower_max,0.215,0.14,-0.4140777844762633,0.0011123010306170376,0.16544957146896228,2,0,2,4.284786590088234e-06,0.0,4.284786590088234e-06,4.284786590088234e-06,False,False,False,False,False,low@0.4021:W=2.57681e-06;high@0.7513:W=4.28479e-06,low@0.4021:W=2.57681e-06;high@0.7513:W=4.28479e-06
