shot,n,usable,suitable,median_relative_width,edge_monotonicity,lower_max_count,upper_min_count,extrema_pairs,upper_outer_change_rel,inner_center_frequency,shape_rmse_to_K51_same_n,raw_mode_count,error
nstxuG121123B12,6,True,True,0.39587558498655073,0.24592116177827722,2,2,2,-0.0663839767860673,4.846533951667082,0.05576955548098123,28,
nstxuG121123B12,7,True,True,0.45502897877050413,0.42413428780184675,2,2,2,-0.06650838059811405,4.855000933515025,0.06542309263998768,109,
nstxuG121123B12,8,True,True,0.44190896875081664,0.2123515808221808,3,2,2,-0.05641202633976431,4.858585118711603,0.06906586697771228,99,
nstxuG121123B12,9,True,True,0.4557479081031056,0.18963017866379434,3,3,3,-0.06486468262064411,4.842049184953895,0.08046967642648768,108,
nstxuG121123B12,10,True,True,0.4413000908068101,0.16301905292916996,4,4,4,-0.0611619783806888,4.863246486615296,0.07862473851661503,117,
nstxuG121123J38,6,True,True,0.3214055427422572,0.48700764186234224,1,1,1,-0.027603237929373033,5.492778118108507,0.03956658037485856,61,
nstxuG121123J38,7,True,True,0.3804133174836474,0.3788317143548278,1,1,1,-0.03203858657353186,5.4843936256992745,0.04314452101623364,106,
nstxuG121123J38,8,True,True,0.31472672298197196,0.3909376964530638,3,3,3,-0.02528521758556094,5.485171394338797,0.05360162613140222,73,
nstxuG121123J38,9,True,False,0.39043889876290133,0.5482489692575125,2,2,2,-0.020740077145846934,5.482024966294778,0.043725742615246616,96,
nstxuG121123J38,10,True,True,0.31758273917052615,0.30984912670950165,3,3,3,-0.022137164664757392,5.4791080911575785,0.052758596040549235,102,
nstxuG121123K34,6,True,True,0.2690686985894636,0.35691979230693743,3,2,2,-0.20505997480745713,7.985117981032393,0.10370714265095726,79,
nstxuG121123K34,7,True,True,0.3069643509262578,0.3597635783358878,3,3,3,-0.2050787372161886,7.960486743235252,0.08791206895139994,123,
nstxuG121123K34,8,True,True,0.2581194145693027,0.3074092652215805,4,4,4,-0.2016695730201966,7.97000353702305,0.09457659168507898,108,
nstxuG121123K34,9,True,True,0.2938864466675907,0.2874242240942413,4,4,4,-0.20971708747491483,7.95539629551776,0.08336770096665636,119,
nstxuG121123K34,10,True,True,0.2904710374148807,0.279816421133075,5,5,5,-0.20683030905577376,7.964328493457108,0.08844834928093506,141,
nstxuG121123K51,6,True,True,0.3897462880680555,0.46978016263936184,2,2,2,-0.04083687285731501,6.132462507378021,0.0,82,
nstxuG121123K51,7,True,True,0.40404539907898857,0.27887711274014787,2,2,2,-0.056788874865618344,6.152078987868658,0.0,96,
nstxuG121123K51,8,True,True,0.3865601248116704,0.22097705810337187,3,3,3,-0.059790004947081234,6.1242188172370575,0.0,117,
nstxuG121123K51,9,True,True,0.39941932099457594,0.2063660578781861,3,3,3,-0.05280858825561907,6.148151844635721,0.0,130,
nstxuG121123K51,10,True,True,0.3872990635259886,0.35801804223869543,3,3,3,-0.04754639548016804,6.122438273918384,0.0,115,
nstxuG121123K70,6,True,True,0.4034126996312627,0.3584514447432548,1,2,1,0.009193329640330239,5.220534092427744,0.05509131920609314,45,
nstxuG121123K70,7,True,True,0.3867020143958371,0.3183129942745287,1,1,1,0.011505612568988454,5.205036964886453,0.04215601167878279,57,
nstxuG121123K70,8,True,True,0.33856022574917516,0.2548884739885774,2,2,2,0.006100462224275393,5.206941398949317,0.038601852423705896,63,
nstxuG121123K70,9,True,True,0.38505612804171035,0.3245634966356015,3,3,3,0.005071996401549745,5.208189410568933,0.03340358136088134,63,
nstxuG121123K70,10,True,True,0.40400107764644305,0.4109516619516272,3,2,2,0.013968639677560605,5.203383355469446,0.0389659956646839,74,
nstxuG121123N22,6,True,False,0.14204275809411698,0.8893721054337222,1,1,1,0.1558896621659033,3.9576049656430907,0.21387710440264046,27,
nstxuG121123N22,7,True,False,0.14523267752760974,0.8413041741936185,2,2,2,0.16419485805032574,3.956521885664648,0.22222761391472345,96,
nstxuG121123N22,8,True,False,0.1421408132491732,0.8604785512138764,2,1,1,0.16382387871696263,3.9582560101866946,0.21384714599942325,192,
nstxuG121123N22,9,True,False,0.1444487176728568,0.8162610850219674,2,2,2,0.1587646925992729,3.9541695203509506,0.2174119357223603,168,
nstxuG121123N22,10,True,False,0.14165892321943807,0.8388075251855338,3,3,3,0.1614217637558355,3.9576047837356825,0.2153307165627423,178,
nstxuG121123N75,6,True,False,0.32918495534823855,0.5471332127312588,1,1,1,-0.06587385340362124,5.618486355557893,0.041633914942351954,65,
nstxuG121123N75,7,True,True,0.4039439532823486,0.36182228600289984,2,2,2,-0.06674082468962798,5.616628910201401,0.04270737232397636,80,
nstxuG121123N75,8,True,True,0.3382876684634583,0.41129620346755,2,2,2,-0.06876046883129398,5.60976179604271,0.052542876543679895,95,
nstxuG121123N75,9,True,False,0.3508679970478466,0.5766670720123998,2,2,2,-0.07879160764290791,5.612100756045958,0.0448893710803815,100,
nstxuG121123N75,10,True,True,0.3807803828990604,0.2912974752203629,2,1,1,-0.06433719197093013,5.607495120090716,0.049503361137891624,140,
nstxuG121123N80,6,True,True,0.33112669262304567,0.4977366462237664,1,1,1,-0.10382299503542429,6.215684880346478,0.04034344379032689,27,
nstxuG121123N80,7,True,True,0.38190217249362496,0.2640090547246618,2,2,2,-0.1103996222225596,6.238081506394793,0.03996899297592628,28,
