topology_rank,shot,usable_n_count,suitable_n_count,suitable_ns,raw_modes_n6_10,raw_modes_suitable_ns,median_width_suitable_ns,median_monotonicity_suitable_ns,median_shape_rmse_suitable_ns,median_outer_change_suitable_ns
1,nstxuG121123K51,5,5,6;7;8;9;10,540,540,0.3897462880680555,0.27887711274014787,0.0,-0.05280858825561907
2,nstxuG121123K70,5,5,6;7;8;9;10,302,302,0.3867020143958371,0.3245634966356015,0.0389659956646839,0.009193329640330239
3,nstxuG142301W29,5,5,6;7;8;9;10,702,702,0.3944370417438421,0.24532018700913774,0.046410217436237196,-0.30196259334486597
4,nstxuG142301L94,5,5,6;7;8;9;10,617,617,0.346031584749181,0.3005681407506458,0.050152127243915615,-0.36685682762339444
5,nstxuG142301L89,5,5,6;7;8;9;10,659,659,0.3246108334821548,0.3238861605867002,0.06438280713201734,-0.3894848667582738
6,nstxuG142301E55,5,5,6;7;8;9;10,456,456,0.39441943664066637,0.2426025090045827,0.06694232045694339,-0.586067334320675
7,nstxuG142301F66,5,5,6;7;8;9;10,361,361,0.308990552307008,0.349326526033377,0.06748237417592183,-0.5197703248221026
8,nstxuG121123B12,5,5,6;7;8;9;10,461,461,0.44190896875081664,0.2123515808221808,0.06906586697771228,-0.06486468262064411
9,nstxuG142301B37,5,5,6;7;8;9;10,315,315,0.33574192069761083,0.26660466167119373,0.07270306296027708,-0.5527035819117905
10,nstxuG142301H47,5,5,6;7;8;9;10,743,743,0.376673939776175,0.3092632976240716,0.07282071274992258,-0.28317006157655017
11,nstxuG142301V21,5,5,6;7;8;9;10,631,631,0.3941894874892068,0.3031792971000583,0.07458524411191708,-0.296922599965778
12,nstxuG121123R42,5,5,6;7;8;9;10,611,611,0.2755111554411288,0.29584471960583564,0.08062264954751695,-0.16996549577191863
13,nstxuG142301E34,5,5,6;7;8;9;10,657,657,0.4253684449117018,0.24976160336683376,0.08072340317985165,-0.26162687891997366
14,nstxuG142301F62,5,5,6;7;8;9;10,441,441,0.42694100047284295,0.2565775922667678,0.08246854118898915,-0.5378111838186435
15,nstxuG121123K34,5,5,6;7;8;9;10,570,570,0.2904710374148807,0.3074092652215805,0.08844834928093506,-0.2050787372161886
16,nstxuG142301M21,5,5,6;7;8;9;10,442,442,0.5006684207910961,0.28365623259266365,0.11129260081765402,-0.5649203630188921
17,nstxuG121123N80,5,4,6;7;9;10,126,104,0.35107268861873786,0.3301563485468738,0.04785249155713033,-0.10941911305973137
18,nstxuG121123J38,5,4,6;7;8;10,438,342,0.31949414095639167,0.3848847054039458,0.04795155852839143,-0.026444227757466986
19,nstxuG142301B85,5,4,7;8;9;10,430,336,0.2873727085848367,0.2581673584299755,0.0840029260905365,-0.4786573889471419
20,nstxuG121123N75,5,3,7;8;10,480,315,0.3807803828990604,0.36182228600289984,0.049503361137891624,-0.06674082468962798
21,nstxuG142301C50,5,3,6;9;10,328,222,0.3658749816626256,0.41273299792309576,0.07122681284596559,-0.5297720523129127
22,nstxuG142301Q91,5,3,7;8;9,345,190,0.34813697422043544,0.14842871796150295,0.07447431950529466,-0.6022795806103931
23,nstxuG142301K79,5,3,7;9;10,377,248,0.3161828088492839,0.1826509727130518,0.0796731084188241,-0.5307384085616
24,nstxuG142301H56,5,3,6;8;10,503,336,0.27119493090839275,0.17022658816925193,0.08897974734023252,-0.5088344000459699
25,nstxuG142301D46,5,3,6;7;9,387,110,0.2684985207593883,0.4577701382717627,0.08978886379798348,-0.4679278212283242
26,nstxuG142301F83,5,2,8;9,443,237,0.26136316032388746,0.1389562885479556,0.09740275456406716,-0.4964406629495319
27,nstxuG142301M32,5,2,8;9,493,217,0.2590555557170199,0.40893742534393,0.10196477044321982,-0.5164373719775148
28,nstxuG121123N22,5,0,,661,0,nan,nan,nan,nan
29,nstxuG121123Q62,5,0,,686,0,nan,nan,nan,nan
30,nstxuG133964R06,5,0,,262,0,nan,nan,nan,nan
31,nstxuG133964R48,5,0,,591,0,nan,nan,nan,nan
32,nstxuG133964S31,5,0,,583,0,nan,nan,nan,nan
33,nstxuG133964U27,5,0,,697,0,nan,nan,nan,nan
34,nstxuG133964U37,5,0,,574,0,nan,nan,nan,nan
35,nstxuG142301E72,5,0,,449,0,nan,nan,nan,nan
36,nstxuG142301E77,5,0,,580,0,nan,nan,nan,nan
37,nstxuG142301S39,5,0,,470,0,nan,nan,nan,nan
38,nstxuG142301S94,5,0,,665,0,nan,nan,nan,nan
39,nstxuG142301U84,5,0,,657,0,nan,nan,nan,nan
40,nstxuG142301U85,5,0,,567,0,nan,nan,nan,nan
41,nstxuG142301Y93,5,0,,353,0,nan,nan,nan,nan
