tae_pool_rank,shot,suitable_n_count,suitable_ns,n6_tae_like,n6_raw,n7_10_tae_like,n7_10_raw,n6_10_tae_like,n6_10_raw,n6_10_tae_like_fraction,median_width_n6_10,median_monotonicity_n6_10,median_shape_rmse_to_K51,median_upper_outer_change_rel
1,nstxuG142301M21,5,6;7;8;9;10,54,86,189,356,243,442,0.5497737556561086,0.5006684207910961,0.28365623259266365,0.11129260081765402,-0.5649203630188921
2,nstxuG142301E55,5,6;7;8;9;10,23,80,160,376,183,456,0.40131578947368424,0.39441943664066637,0.2426025090045827,0.06694232045694339,-0.586067334320675
3,nstxuG142301H47,5,6;7;8;9;10,19,123,119,620,138,743,0.1857335127860027,0.376673939776175,0.3092632976240716,0.07282071274992258,-0.28317006157655017
4,nstxuG121123K51,5,6;7;8;9;10,6,82,130,458,136,540,0.2518518518518518,0.3897462880680555,0.27887711274014787,0.0,-0.05280858825561907
5,nstxuG121123B12,5,6;7;8;9;10,1,28,127,433,128,461,0.27765726681127983,0.44190896875081664,0.2123515808221808,0.06906586697771228,-0.06486468262064411
6,nstxuG121123R42,5,6;7;8;9;10,25,115,97,496,122,611,0.19967266775777415,0.2755111554411288,0.29584471960583564,0.08062264954751695,-0.16996549577191863
7,nstxuG142301B37,5,6;7;8;9;10,17,68,100,247,117,315,0.37142857142857144,0.33574192069761083,0.26660466167119373,0.07270306296027708,-0.5527035819117905
8,nstxuG142301F62,5,6;7;8;9;10,13,59,95,382,108,441,0.24489795918367346,0.42694100047284295,0.2565775922667678,0.08246854118898915,-0.5378111838186435
9,nstxuG142301E34,5,6;7;8;9;10,28,152,75,505,103,657,0.1567732115677321,0.4253684449117018,0.24976160336683376,0.08072340317985165,-0.26162687891997366
10,nstxuG142301V21,5,6;7;8;9;10,0,0,102,631,102,631,0.16164817749603805,0.3941894874892068,0.3031792971000583,0.07458524411191708,-0.296922599965778
11,nstxuG142301W29,5,6;7;8;9;10,13,121,76,581,89,702,0.1267806267806268,0.3944370417438421,0.24532018700913774,0.046410217436237196,-0.30196259334486597
12,nstxuG121123K34,5,6;7;8;9;10,6,79,71,491,77,570,0.13508771929824562,0.2904710374148807,0.3074092652215805,0.08844834928093506,-0.2050787372161886
13,nstxuG142301F66,5,6;7;8;9;10,5,68,65,293,70,361,0.19390581717451524,0.308990552307008,0.349326526033377,0.06748237417592183,-0.5197703248221026
14,nstxuG142301L94,5,6;7;8;9;10,13,113,50,504,63,617,0.10210696920583469,0.346031584749181,0.3005681407506458,0.050152127243915615,-0.36685682762339444
15,nstxuG121123K70,5,6;7;8;9;10,9,45,45,257,54,302,0.17880794701986755,0.3867020143958371,0.3245634966356015,0.0389659956646839,0.009193329640330239
16,nstxuG142301L89,5,6;7;8;9;10,21,129,29,530,50,659,0.07587253414264036,0.3246108334821548,0.3238861605867002,0.06438280713201734,-0.3894848667582738
