overall_rank,new_candidate_rank,selection,shot,already_labeled,passes_topology,inner_shape_rmse_to_K51,full_shape_rmse_to_K51,median_relative_width,edge_monotonicity,center_change_rel,inner_center_frequency,center_frequency_ratio_to_K51,lower_max_count,upper_min_count,extrema_count,extrema_pairs,extrema_prominence_sum_rel,extrema_prominence_max_rel,upper_outer_change_rel,n8_mode_count,n7_10_mode_count
1,,reference_labeled,nstxuG121123K51,True,True,0.000000,0.000000,0.386560,0.220977,-0.095877,6.124219,1.000000,3,3,6,3,0.446748,0.133716,-0.059790,117,458
2,1,new_candidate,nstxuG121123K70,False,True,0.038602,0.049894,0.338560,0.254888,-0.064698,5.206941,0.850221,2,2,4,2,0.324700,0.154925,0.006100,63,257
3,2,new_candidate,nstxuG142301W29,False,True,0.045553,0.154172,0.390314,0.245320,-0.148397,4.781557,0.780762,4,4,8,4,0.553499,0.130413,-0.303277,137,581
4,3,new_candidate,nstxuG142301L94,False,True,0.048474,0.163339,0.337495,0.239019,-0.087079,4.727067,0.771864,3,3,6,3,0.346488,0.111129,-0.364287,124,504
5,4,new_candidate,nstxuG121123N75,False,True,0.052543,0.039541,0.338288,0.411296,-0.036466,5.609762,0.915996,2,2,4,2,0.157364,0.073656,-0.068760,95,415
6,,passes_already_labeled,nstxuG121123J38,True,True,0.053602,0.046920,0.314727,0.390938,-0.049912,5.485171,0.895652,3,3,6,3,0.222141,0.070929,-0.025285,73,377
7,5,new_candidate,nstxuG142301L89,False,True,0.062879,0.178974,0.327618,0.261776,-0.068946,5.071920,0.828174,3,2,5,2,0.229360,0.090121,-0.389485,130,530
8,6,new_candidate,nstxuG121123B12,False,True,0.069066,0.049731,0.441909,0.212352,-0.105231,4.858585,0.793340,3,2,5,2,0.390079,0.157339,-0.056412,99,433
9,7,new_candidate,nstxuG142301E55,False,True,0.074605,0.234248,0.402982,0.169266,-0.042310,7.475641,1.220669,3,1,4,1,0.163625,0.083016,-0.586067,83,376
10,8,new_candidate,nstxuG142301Q91,False,True,0.076748,0.343618,0.348137,0.135076,-0.030808,7.050799,1.151298,3,2,5,2,0.210137,0.071708,-0.602280,72,345
11,,passes_already_labeled,nstxuG142301H47,True,True,0.076860,0.166143,0.372561,0.309263,-0.143410,4.486565,0.732594,4,4,8,4,0.307274,0.086737,-0.284521,151,620
12,9,new_candidate,nstxuG142301F66,False,True,0.077223,0.215258,0.308991,0.360081,-0.025537,7.606645,1.242060,2,2,4,2,0.202691,0.062631,-0.520971,70,293
13,10,new_candidate,nstxuG142301V21,False,True,0.079431,0.162667,0.402697,0.304062,-0.150174,4.697549,0.767045,3,3,6,3,0.347911,0.097189,-0.296222,153,631
14,11,new_candidate,nstxuG121123R42,False,True,0.080055,0.159844,0.251230,0.295845,-0.042515,6.933059,1.132072,3,3,6,3,0.205985,0.047540,-0.169965,120,496
15,12,new_candidate,nstxuG142301H56,False,True,0.081068,0.228440,0.283939,0.170227,-0.031980,6.529499,1.066177,3,2,5,2,0.187106,0.065686,-0.508834,75,420
16,13,new_candidate,nstxuG142301F62,False,True,0.082070,0.280410,0.445115,0.256578,-0.116370,8.845409,1.444333,3,2,5,2,0.334422,0.108514,-0.541843,111,382
17,14,new_candidate,nstxuG142301B85,False,True,0.083808,0.197049,0.306216,0.407876,-0.010742,6.343789,1.035853,3,3,6,3,0.187518,0.060816,-0.478945,71,336
18,15,new_candidate,nstxuG142301B37,False,True,0.084419,0.288924,0.328705,0.244814,-0.114011,9.673399,1.579532,3,3,6,3,0.292780,0.082464,-0.553647,0,247
19,16,new_candidate,nstxuG142301E34,False,True,0.086662,0.170376,0.417032,0.249762,-0.176294,4.650493,0.759361,4,4,8,4,0.583845,0.113553,-0.261627,155,505
