overall_rank,new_candidate_rank,selection,shot,inner_shape_rmse_to_K51,median_relative_width,edge_monotonicity,upper_outer_change_rel,n8_raw,n8_below,n8_mixed,n8_above,n8_tae_like,n8_tae_like_fraction,n8_errors,n7_10_raw,n7_10_below,n7_10_mixed,n7_10_above,n7_10_tae_like,n7_10_tae_like_fraction,n7_10_errors
1,,reference_labeled,nstxuG121123K51,0.000000,0.386560,0.220977,-0.059790,117,37,0,80,37,0.316239,0,458,128,2,328,130,0.283843,0
2,1,new_candidate,nstxuG121123K70,0.038602,0.338560,0.254888,0.006100,63,4,1,58,5,0.079365,0,257,40,5,212,45,0.175097,0
3,2,new_candidate,nstxuG142301W29,0.045553,0.390314,0.245320,-0.303277,137,15,2,120,17,0.124088,0,581,73,3,505,76,0.130809,0
4,3,new_candidate,nstxuG142301L94,0.048474,0.337495,0.239019,-0.364287,124,12,0,112,12,0.096774,0,504,46,4,454,50,0.099206,0
5,4,new_candidate,nstxuG121123N75,0.052543,0.338288,0.411296,-0.068760,95,24,0,71,24,0.252632,0,415,111,3,301,114,0.274699,0
6,,passes_already_labeled,nstxuG121123J38,0.053602,0.314727,0.390938,-0.025285,73,23,1,49,24,0.328767,0,377,116,7,254,123,0.326260,0
7,5,new_candidate,nstxuG142301L89,0.062879,0.327618,0.261776,-0.389485,130,9,0,121,9,0.069231,0,530,29,0,501,29,0.054717,0
8,6,new_candidate,nstxuG121123B12,0.069066,0.441909,0.212352,-0.056412,99,23,1,75,24,0.242424,0,433,122,5,306,127,0.293303,0
9,7,new_candidate,nstxuG142301E55,0.074605,0.402982,0.169266,-0.586067,83,31,1,51,32,0.385542,0,376,147,13,216,160,0.425532,0
10,8,new_candidate,nstxuG142301Q91,0.076748,0.348137,0.135076,-0.602280,72,31,8,33,39,0.541667,0,345,125,18,202,143,0.414493,0
11,,passes_already_labeled,nstxuG142301H47,0.076860,0.372561,0.309263,-0.284521,151,24,1,126,25,0.165563,0,620,108,11,501,119,0.191935,0
12,9,new_candidate,nstxuG142301F66,0.077223,0.308991,0.360081,-0.520971,70,18,0,52,18,0.257143,0,293,64,1,228,65,0.221843,0
13,10,new_candidate,nstxuG142301V21,0.079431,0.402697,0.304062,-0.296222,153,20,1,132,21,0.137255,0,631,99,3,529,102,0.161648,0
14,11,new_candidate,nstxuG121123R42,0.080055,0.251230,0.295845,-0.169965,120,17,1,102,18,0.150000,0,496,94,3,399,97,0.195565,0
15,12,new_candidate,nstxuG142301H56,0.081068,0.283939,0.170227,-0.508834,75,14,0,61,14,0.186667,0,420,81,9,330,90,0.214286,0
16,13,new_candidate,nstxuG142301F62,0.082070,0.445115,0.256578,-0.541843,111,27,3,81,30,0.270270,0,382,88,7,287,95,0.248691,0
17,14,new_candidate,nstxuG142301B85,0.083808,0.306216,0.407876,-0.478945,71,7,0,64,7,0.098592,0,336,48,1,287,49,0.145833,0
18,15,new_candidate,nstxuG142301B37,0.084419,0.328705,0.244814,-0.553647,0,0,0,0,0,nan,0,247,99,1,147,100,0.404858,0
19,16,new_candidate,nstxuG142301E34,0.086662,0.417032,0.249762,-0.261627,155,20,1,134,21,0.135484,0,505,69,6,430,75,0.148515,0
20,17,new_candidate,nstxuG121123K34,0.094577,0.258119,0.307409,-0.201670,108,16,0,92,16,0.148148,0,491,66,5,420,71,0.144603,0
21,18,new_candidate,nstxuG142301F83,0.097171,0.261907,0.141371,-0.503987,109,10,0,99,10,0.091743,0,439,53,8,378,61,0.138952,0
22,19,new_candidate,nstxuG142301M32,0.107422,0.250306,0.413399,-0.516346,100,4,1,95,5,0.050000,0,407,24,2,381,26,0.063882,0
23,20,new_candidate,nstxuG142301M21,0.111293,0.494479,0.295708,-0.558615,44,12,0,32,12,0.272727,0,356,184,5,167,189,0.530899,0
