path,validity,family,review_index,morphology
nstxuG121123B12/N7/egn07w.1373E+02,bad,none,1,too_narrow_or_axis_boundary
nstxuG121123B12/N7/egn07w.2666E+02,bad,none,2,too_narrow_or_axis_boundary
nstxuG121123B12/N7/egn07w.2697E+02,bad,none,3,too_narrow_or_axis_boundary
nstxuG121123B12/N7/egn07w.2770E+02,bad,none,4,too_narrow_or_axis_boundary
nstxuG121123B12/N7/egn07w.2883E+02,good,tae,5,extremum_tae
nstxuG121123B12/N7/egn07w.2949E+02,good,tae,6,extremum_tae
nstxuG121123B12/N7/egn07w.2972E+02,good,tae,7,extremum_tae
nstxuG121123B12/N8/egn08w.1250E+02,bad,none,8,too_narrow_or_axis_boundary
nstxuG121123B12/N8/egn08w.2078E+02,bad,none,9,too_narrow_or_axis_boundary
nstxuG121123B12/N8/egn08w.2963E+02,good,tae,10,extremum_tae
nstxuG121123B12/N9/egn09w.1374E+02,bad,none,11,too_narrow_or_axis_boundary
nstxuG121123B12/N9/egn09w.1743E+02,good,tae,12,extremum_tae
nstxuG121123B12/N9/egn09w.2255E+02,bad,none,13,too_narrow_or_axis_boundary
nstxuG121123B12/N9/egn09w.2347E+02,bad,none,14,axis_spike_novac_failure
nstxuG121123B12/N9/egn09w.2884E+02,good,tae,15,global_tae
nstxuG121123B12/N9/egn09w.2912E+02,good,tae,16,extremum_tae
nstxuG121123B12/N10/egn10w.1503E+02,bad,none,17,too_narrow_or_axis_boundary
nstxuG121123B12/N10/egn10w.1909E+02,bad,none,19,too_narrow_or_axis_boundary
nstxuG121123B12/N10/egn10w.1945E+02,good,tae,20,extremum_tae
nstxuG121123B12/N10/egn10w.2406E+02,bad,none,21,too_narrow_or_axis_boundary
nstxuG121123B12/N10/egn10w.2508E+02,good,tae,22,extremum_tae
nstxuG121123B12/N10/egn10w.2828E+02,good,tae,23,extremum_tae
nstxuG121123B12/N10/egn10w.2921E+02,good,tae,24,extremum_tae
nstxuG121123B12/N10/egn10w.2944E+02,good,tae,25,global_tae
