path,shot,role,n,omega,gamma_d,validity,family,gap_region,signed_delta,fraction_below_upper2,r_peak,ext_kind,r_ext,ext_dr,ext_df_gap,ext_energy_frac,ext_prom_rel,n_cross,n_near_cross,n_secondary_cross,max_cross_W_all,max_cross_W_near,max_cross_W_secondary,max_cross_W_outer,geometry_3pct,localized_gap_side_4pct,robust_secondary_W_lt_0p001,robust_secondary_W_lt_0p01,robust_secondary_W_lt_0p05,secondary_crossings,all_crossings
nstxuG121123B12/N7/egn07w.1373E+02,nstxuG121123B12,candidate,7,3.705097811719401,-0.00023850561835733758,,,below_upper2,0.954645491661504,0.9761310949117865,0.34500000000000003,lower_max,0.34500000000000003,0.0,0.0032483553015058082,0.6587484584764844,0.048423460225904075,2,0,2,0.009348073872130902,0.0,0.009348073872130902,0.009348073872130902,True,True,False,True,True,low@0.2414:W=0.00329856;high@0.9690:W=0.00934807,low@0.2414:W=0.00329856;high@0.9690:W=0.00934807
nstxuG121123B12/N7/egn07w.2666E+02,nstxuG121123B12,candidate,7,5.163718673859293,-5.143270282316082e-08,,,below_upper2,0.9258077864875053,0.9999769079401413,0.05,lower_max,0.05,0.0,0.009191850422211795,0.8937459639184824,0.0405562800550108,1,0,1,7.098597699080554e-06,0.0,7.098597699080554e-06,7.098597699080554e-06,True,True,True,True,True,high@0.8438:W=7.0986e-06,high@0.8438:W=7.0986e-06
nstxuG121123B12/N7/egn07w.2697E+02,nstxuG121123B12,candidate,7,5.1930188224318625,-2.8903547679670933e-08,,,below_upper2,0.94352262640355,0.9999997167407703,0.055,lower_max,0.05,0.0049999999999999975,0.014782206818406569,0.9498275935707078,0.040327452648102606,1,0,1,1.48955563580096e-07,0.0,1.48955563580096e-07,1.48955563580096e-07,True,True,True,True,True,high@0.8426:W=1.48956e-07,high@0.8426:W=1.48956e-07
nstxuG121123B12/N7/egn07w.2770E+02,nstxuG121123B12,candidate,7,5.2631443770385635,-1.0173979024518425e-06,,,below_upper2,0.9359079097734018,0.9999001675409099,0.045,lower_max,0.05,0.0050000000000000044,0.027909139922628928,0.9025018894319722,0.039790134121337264,1,0,1,7.823121139186346e-05,0.0,7.823121139186346e-05,7.823121139186346e-05,True,True,True,True,True,high@0.8346:W=7.82312e-05,high@0.8346:W=7.82312e-05
nstxuG121123B12/N7/egn07w.2883E+02,nstxuG121123B12,candidate,7,5.36925277959459,-1.234060995610559e-06,,,below_upper2,0.8571541621534998,0.9999703176838877,0.05,upper_min,0.055,0.0049999999999999975,0.022669485026609846,0.9098949909330833,0.06316330485894077,1,0,1,1.1774090135700337e-05,0.0,1.1774090135700337e-05,1.1774090135700337e-05,True,True,True,True,True,high@0.8310:W=1.17741e-05,high@0.8310:W=1.17741e-05
nstxuG121123B12/N7/egn07w.2949E+02,nstxuG121123B12,candidate,7,5.430588658178975,-5.210365311492653e-06,,,below_upper2,0.5893771480230409,0.9999957646426739,0.17500000000000002,upper_min,0.18,0.004999999999999977,0.005649147045029377,0.9272368699007414,0.14021037209578888,1,0,1,6.792482092944266e-07,0.0,6.792482092944266e-07,6.792482092944266e-07,True,True,True,True,True,high@0.8236:W=6.79248e-07,high@0.8236:W=6.79248e-07
nstxuG121123B12/N7/egn07w.2972E+02,nstxuG121123B12,candidate,7,5.451634872183323,-2.655056175200614e-06,,,below_upper2,0.5121665900964807,0.9995196343106477,0.18,upper_min,0.18,0.0,0.0017668057550809,0.8986254018105305,0.13966908538713307,1,0,1,0.00020211442185041824,0.0,0.00020211442185041824,0.00020211442185041824,True,True,True,True,True,high@0.8229:W=0.000202114,high@0.8229:W=0.000202114
nstxuG121123B12/N8/egn08w.1250E+02,nstxuG121123B12,candidate,8,3.535569159333138,-1.6548318829078066e-05,,,below_upper2,0.9991151806847649,0.9999868163910517,0.39,lower_max,0.39,0.0,0.0086923652149367,0.8978009819626568,0.012413284618069257,2,0,2,0.0019186232312668645,0.0,0.0019186232312668645,7.247866754383334e-06,True,True,False,True,True,low@0.3273:W=0.00191862;high@0.9748:W=7.24787e-06,low@0.3273:W=0.00191862;high@0.9748:W=7.24787e-06
nstxuG121123B12/N8/egn08w.2078E+02,nstxuG121123B12,candidate,8,4.55892242126274,-4.6556643307824186e-05,,,below_upper2,0.9943021443087489,0.9975668150585281,0.14,lower_max,0.135,0.0050000000000000044,0.002039659522473522,0.985875160667224,0.11291446184393636,2,0,2,0.000637623269885705,0.0,0.000637623269885705,0.0002988910990936019,True,True,True,True,True,low@0.0525:W=0.000637623;high@0.8952:W=0.000298891,low@0.0525:W=0.000637623;high@0.8952:W=0.000298891
nstxuG121123B12/N8/egn08w.2963E+02,nstxuG121123B12,candidate,8,5.443577403753704,-5.090330520674876e-06,,,below_upper2,0.6311670234750699,0.9998383161386751,0.135,upper_min,0.14,0.0050000000000000044,0.001512371014177705,0.929504152937932,0.14043041241767998,1,0,1,7.48265216575125e-05,0.0,7.48265216575125e-05,7.48265216575125e-05,True,True,True,True,True,high@0.8251:W=7.48265e-05,high@0.8251:W=7.48265e-05
nstxuG121123B12/N9/egn09w.1374E+02,nstxuG121123B12,candidate,9,3.7061519524174784,-0.02397503067860492,,,below_upper2,0.9705376098427456,0.990553160174478,0.34500000000000003,lower_max,0.34500000000000003,0.0,0.005958892385121246,0.6943471391108367,0.05533623628558352,2,0,2,0.005381544017248732,0.0,0.005381544017248732,0.005381544017248732,True,True,False,True,True,low@0.2652:W=0.00342265;high@0.9685:W=0.00538154,low@0.2652:W=0.00342265;high@0.9685:W=0.00538154
nstxuG121123B12/N9/egn09w.1743E+02,nstxuG121123B12,candidate,9,4.174365078376087,-0.00023750535576744152,,,below_upper2,0.9918623668569414,0.9955010328585403,0.215,lower_max,0.21,0.0050000000000000044,0.001109304789425915,0.95103498480376,0.08168884488196311,4,0,4,0.0007840275854939909,0.0,0.0007840275854939909,0.0005844003616682003,True,True,True,True,True,low@0.0468:W=0.000322205;low@0.0778:W=0.000126488;low@0.1329:W=0.000784028;high@0.9385:W=0.0005844,low@0.0468:W=0.000322205;low@0.0778:W=0.000126488;low@0.1329:W=0.000784028;high@0.9385:W=0.0005844
nstxuG121123B12/N9/egn09w.2255E+02,nstxuG121123B12,candidate,9,4.748653180771367,-1.5916664631610987e-08,,,below_upper2,0.994503241203615,0.9999998074688576,0.105,lower_max,0.11,0.0050000000000000044,0.003444743149594544,0.9976988810251511,0.13049359719915735,1,0,1,1.5457486765893544e-08,0.0,1.5457486765893544e-08,1.5457486765893544e-08,True,True,True,True,True,high@0.8805:W=1.54575e-08,high@0.8805:W=1.54575e-08
nstxuG121123B12/N9/egn09w.2347E+02,nstxuG121123B12,candidate,9,4.8447001402577206,-1.1123540595508067e-07,,,below_upper2,0.9771655808406766,0.9999984312352405,0.11,lower_max,0.11,0.0,0.023201611399345914,0.9674912396930844,0.12790654064652018,1,0,1,1.8379440373784033e-07,0.0,1.8379440373784033e-07,1.8379440373784033e-07,True,True,True,True,True,high@0.8722:W=1.83794e-07,high@0.8722:W=1.83794e-07
