path,shot,role,n,omega,gamma_d,validity,family,gap_region,signed_delta,fraction_below_upper2,r_peak,ext_kind,r_ext,ext_dr,ext_df_gap,ext_energy_frac,ext_prom_rel,n_cross,n_near_cross,n_secondary_cross,max_cross_W_all,max_cross_W_near,max_cross_W_secondary,max_cross_W_outer,geometry_3pct,localized_gap_side_4pct,robust_secondary_W_lt_0p001,robust_secondary_W_lt_0p01,robust_secondary_W_lt_0p05,secondary_crossings,all_crossings
nstxuG142301E55/N6/egn06w.4515E+02,nstxuG142301E55,candidate,6,6.719566963794694,-1.3834923467733186e-06,,,below_upper2,0.9994902406317562,0.999979265127689,0.12,lower_max,0.125,0.0050000000000000044,0.0017057744731421138,0.9182161766596325,0.05200996410856493,1,0,1,2.274621373873962e-06,0.0,2.274621373873962e-06,2.274621373873962e-06,True,True,True,True,True,high@0.6493:W=2.27462e-06,high@0.6493:W=2.27462e-06
nstxuG142301E55/N6/egn06w.4545E+02,nstxuG142301E55,candidate,6,6.741438131115489,-0.00020883071749618623,,,below_upper2,0.9926539624524865,0.9996258497973075,0.12,lower_max,0.125,0.0050000000000000044,0.004944528521941506,0.5840569197163398,0.05184122880235235,1,0,1,4.017040853098587e-05,0.0,4.017040853098587e-05,4.017040853098587e-05,True,True,True,True,True,high@0.6482:W=4.01704e-05,high@0.6482:W=4.01704e-05
nstxuG142301E55/N7/egn07w.4066E+02,nstxuG142301E55,candidate,7,6.376477673170932,-3.385020560818771e-05,,,below_upper2,0.9877880386048075,0.9964099978231569,0.125,lower_max,0.125,0.0,0.0022529507763266563,0.9889383058388206,0.04312817528716486,3,0,3,0.00010580735837870343,0.0,0.00010580735837870343,0.00010580735837870343,True,True,True,True,True,low@0.9471:W=3.47552e-05;high@0.6717:W=2.88518e-05;high@0.9421:W=0.000105807,low@0.9471:W=3.47552e-05;high@0.6717:W=2.88518e-05;high@0.9421:W=0.000105807
nstxuG142301E55/N8/egn08w.3269E+02,nstxuG142301E55,candidate,8,5.717130199131012,-2.419007066318751e-05,,,below_upper2,0.9955523103129135,0.999988523922492,0.39,lower_max,0.39,0.0,0.01663630135261865,0.8105480512907933,0.01728175525330891,4,0,4,0.008072423893195534,0.0,0.008072423893195534,1.2705351332487069e-06,True,True,False,True,True,low@0.3275:W=0.00807242;low@0.9085:W=1.27054e-06;high@0.7096:W=6.64194e-07;high@0.9050:W=1.22687e-06,low@0.3275:W=0.00807242;low@0.9085:W=1.27054e-06;high@0.7096:W=6.64194e-07;high@0.9050:W=1.22687e-06
nstxuG142301E55/N8/egn08w.3739E+02,nstxuG142301E55,candidate,8,6.1143276045629955,-2.281341522868212e-06,,,below_upper2,0.9996463646009783,0.9999896225111019,0.14,lower_max,0.125,0.015000000000000013,0.00042482041181348274,0.7014272753040128,0.014653559744498878,5,0,5,4.742320231689189e-05,0.0,4.742320231689189e-05,4.778338980001934e-07,True,True,True,True,True,low@0.2763:W=4.74232e-05;low@0.3095:W=8.41509e-06;low@0.9090:W=2.04809e-07;high@0.6870:W=4.77834e-07;high@0.9053:W=3.33683e-07,low@0.2763:W=4.74232e-05;low@0.3095:W=8.41509e-06;low@0.9090:W=2.04809e-07;high@0.6870:W=4.77834e-07;high@0.9053:W=3.33683e-07
nstxuG142301E55/N8/egn08w.3748E+02,nstxuG142301E55,candidate,8,6.122484546573093,-1.5777087072211144e-06,,,below_upper2,0.9993466188531321,0.999995353536986,0.135,lower_max,0.125,0.010000000000000009,0.0017565472153048736,0.7060256705074968,0.014634036912523046,5,0,5,3.6307505264129774e-05,0.0,3.6307505264129774e-05,4.0438492340026705e-07,True,True,True,True,True,low@0.2771:W=3.63075e-05;low@0.3089:W=6.84149e-06;low@0.9090:W=1.7627e-07;high@0.6867:W=4.04385e-07;high@0.9053:W=2.95381e-07,low@0.2771:W=3.63075e-05;low@0.3089:W=6.84149e-06;low@0.9090:W=1.7627e-07;high@0.6867:W=4.04385e-07;high@0.9053:W=2.95381e-07
nstxuG142301E55/N8/egn08w.3754E+02,nstxuG142301E55,candidate,8,6.126965816383473,-4.130370029854651e-07,,,below_upper2,0.9994773470816463,0.9999993586107705,0.125,lower_max,0.125,0.0,0.00248666361915556,0.6614971559095807,0.014623333561176654,5,0,5,5.107119553895597e-06,0.0,5.107119553895597e-06,5.325059924322257e-08,True,True,True,True,True,low@0.2776:W=5.10712e-06;low@0.3086:W=9.96676e-07;low@0.9091:W=2.49888e-08;high@0.6865:W=5.32506e-08;high@0.9053:W=4.26362e-08,low@0.2776:W=5.10712e-06;low@0.3086:W=9.96676e-07;low@0.9091:W=2.49888e-08;high@0.6865:W=5.32506e-08;high@0.9053:W=4.26362e-08
nstxuG142301E55/N8/egn08w.3773E+02,nstxuG142301E55,candidate,8,6.14271655654719,-5.60190971652789e-06,,,below_upper2,0.9991411893102471,0.9999887293654017,0.12,lower_max,0.125,0.0050000000000000044,0.005044420146995134,0.551779490518204,0.014585837393946872,5,0,5,4.238270135150031e-05,0.0,4.238270135150031e-05,3.1232317258813655e-06,True,True,True,True,True,low@0.2791:W=4.23827e-05;low@0.3075:W=9.45702e-06;low@0.9091:W=1.24183e-07;high@0.6860:W=3.12323e-06;high@0.9053:W=1.40277e-07,low@0.2791:W=4.23827e-05;low@0.3075:W=9.45702e-06;low@0.9091:W=1.24183e-07;high@0.6860:W=3.12323e-06;high@0.9053:W=1.40277e-07
nstxuG142301E55/N8/egn08w.3779E+02,nstxuG142301E55,candidate,8,6.147751614839621,-4.425007894509032e-06,,,below_upper2,0.9991009053376999,0.9999961770441824,0.115,lower_max,0.125,0.009999999999999995,0.005859296813587774,0.48150008018762985,0.01457389147515842,5,0,5,4.9140080111458835e-05,0.0,4.9140080111458835e-05,1.5728707655034727e-06,True,True,True,True,True,low@0.2796:W=4.91401e-05;low@0.3071:W=1.1252e-05;low@0.9091:W=2.05682e-07;high@0.6858:W=1.57287e-06;high@0.9053:W=3.05807e-07,low@0.2796:W=4.91401e-05;low@0.3071:W=1.1252e-05;low@0.9091:W=2.05682e-07;high@0.6858:W=1.57287e-06;high@0.9053:W=3.05807e-07
nstxuG142301E55/N8/egn08w.3833E+02,nstxuG142301E55,candidate,8,6.190732973831894,-1.4792229469896518e-05,,,below_upper2,0.9985992505711002,0.9999879854735667,0.12,lower_max,0.125,0.0050000000000000044,0.012761471181809154,0.41345037415636354,0.01447270706548415,5,0,5,0.00017094389222500593,0.0,0.00017094389222500593,8.785602484995258e-06,True,True,True,True,True,low@0.2844:W=0.000170944;low@0.3036:W=6.38385e-05;low@0.9091:W=6.93508e-07;high@0.6797:W=8.7856e-06;high@0.9053:W=7.29788e-07,low@0.2844:W=0.000170944;low@0.3036:W=6.38385e-05;low@0.9091:W=6.93508e-07;high@0.6797:W=8.7856e-06;high@0.9053:W=7.29788e-07
