path,shot,role,n,omega,gamma_d,validity,family,gap_region,signed_delta,fraction_below_upper2,r_peak,ext_kind,r_ext,ext_dr,ext_df_gap,ext_energy_frac,ext_prom_rel,n_cross,n_near_cross,n_secondary_cross,max_cross_W_all,max_cross_W_near,max_cross_W_secondary,max_cross_W_outer,geometry_3pct,localized_gap_side_4pct,robust_secondary_W_lt_0p001,robust_secondary_W_lt_0p01,robust_secondary_W_lt_0p05,secondary_crossings,all_crossings
nstxuG142301W29/N6/egn06w.1889E+02,nstxuG142301W29,candidate,6,4.346583584484247,-8.11612648300187e-09,,,below_upper2,0.998399847378368,0.9999622486561742,0.185,lower_max,0.185,0.0,0.0012520557851641045,0.9929071964402805,0.07752081306926817,3,0,3,8.754072413768147e-06,0.0,8.754072413768147e-06,4.471007816166623e-06,True,True,True,True,True,low@0.0811:W=8.75407e-06;high@0.7088:W=1.09213e-06;high@0.9853:W=4.47101e-06,low@0.0811:W=8.75407e-06;high@0.7088:W=1.09213e-06;high@0.9853:W=4.47101e-06
nstxuG142301W29/N7/egn07w.2103E+02,nstxuG142301W29,candidate,7,4.585715651295826,-9.900240420909966e-08,,,below_upper2,0.9932314688942124,0.9999940108838108,0.14,lower_max,0.135,0.0050000000000000044,0.000983334481308486,0.9817633441497159,0.10415108587799653,3,0,3,3.280488221750973e-07,0.0,3.280488221750973e-07,3.280488221750973e-07,True,True,True,True,True,low@0.9887:W=4.3302e-08;high@0.6679:W=3.28049e-07;high@0.9853:W=4.7867e-08,low@0.9887:W=4.3302e-08;high@0.6679:W=3.28049e-07;high@0.9853:W=4.7867e-08
nstxuG142301W29/N7/egn07w.2116E+02,nstxuG142301W29,candidate,7,4.600062235884766,-4.5506792023840836e-07,,,below_upper2,0.9906764941319673,0.9999887100673621,0.135,lower_max,0.135,0.0,0.004099048217922435,0.9761658913450659,0.10382626149803001,3,0,3,9.241310331238183e-07,0.0,9.241310331238183e-07,9.241310331238183e-07,True,True,True,True,True,low@0.9887:W=1.80081e-07;high@0.6659:W=9.24131e-07;high@0.9853:W=2.01319e-07,low@0.9887:W=1.80081e-07;high@0.6659:W=9.24131e-07;high@0.9853:W=2.01319e-07
nstxuG142301W29/N8/egn08w.1268E+02,nstxuG142301W29,candidate,8,3.5608429750912323,-9.943726852065921e-06,,,below_upper2,0.9959357586721796,0.9971007884248676,0.375,lower_max,0.375,0.0,0.009196621371417493,0.9530341517016986,0.028213599400728654,4,0,4,0.003376958067951368,0.0,0.003376958067951368,0.00014629807557830235,True,True,False,True,True,low@0.3262:W=0.00337696;low@0.9859:W=5.71562e-05;high@0.8546:W=0.000146298;high@0.9850:W=5.99478e-05,low@0.3262:W=0.00337696;low@0.9859:W=5.71562e-05;high@0.8546:W=0.000146298;high@0.9850:W=5.99478e-05
nstxuG142301W29/N8/egn08w.1488E+02,nstxuG142301W29,candidate,8,3.857865475617381,-1.1614501334719375e-05,,,below_upper2,0.8965629608442011,0.8912135829498206,0.3,lower_max,0.3,0.0,0.0038428861745082687,0.8573759035178817,0.04460376050743024,4,0,4,0.008934887566289292,0.0,0.008934887566289292,0.0012234883105767813,True,True,False,True,True,low@0.2333:W=0.00893489;low@0.9860:W=0.00024528;high@0.7964:W=0.00122349;high@0.9851:W=0.00027028,low@0.2333:W=0.00893489;low@0.9860:W=0.00024528;high@0.7964:W=0.00122349;high@0.9851:W=0.00027028
nstxuG142301W29/N8/egn08w.2304E+02,nstxuG142301W29,candidate,8,4.800390073754152,-1.1763334591172526e-11,,,below_upper2,0.9947771168821596,0.9999786587297479,0.095,lower_max,0.1,0.0050000000000000044,0.002020660752056438,0.9977832475178204,0.12809057341873417,3,0,3,5.269577882622492e-07,0.0,5.269577882622492e-07,5.269577882622492e-07,True,True,True,True,True,low@0.9866:W=1.8228e-07;high@0.6298:W=5.26958e-07;high@0.9853:W=2.21885e-07,low@0.9866:W=1.8228e-07;high@0.6298:W=5.26958e-07;high@0.9853:W=2.21885e-07
nstxuG142301W29/N9/egn09w.1638E+02,nstxuG142301W29,candidate,9,4.046902623864267,-1.3177064596009033e-06,,,below_upper2,0.9982001007052833,0.9999919992159675,0.255,lower_max,0.25,0.0050000000000000044,0.0031189201308616872,0.9607779573218944,0.05870114358532481,6,0,6,0.0009865497122732673,0.0,0.0009865497122732673,5.489134637992113e-07,True,True,True,True,True,low@0.1106:W=0.00014316;low@0.1333:W=1.26146e-06;low@0.1881:W=0.00098655;low@0.9856:W=2.94482e-08;high@0.7607:W=5.48913e-07;high@0.9851:W=2.93003e-08,low@0.1106:W=0.00014316;low@0.1333:W=1.26146e-06;low@0.1881:W=0.00098655;low@0.9856:W=2.94482e-08;high@0.7607:W=5.48913e-07;high@0.9851:W=2.93003e-08
nstxuG142301W29/N9/egn09w.1982E+02,nstxuG142301W29,candidate,9,4.451406928499362,-7.183339146752426e-08,,,below_upper2,0.9957012415207932,0.9999996432631276,0.165,lower_max,0.165,0.0,0.0018328113214158561,0.9897823099525668,0.09132853687549221,6,0,6,6.282707913178499e-05,0.0,6.282707913178499e-05,1.3036963865978546e-08,True,True,True,True,True,low@0.0885:W=6.28271e-05;low@0.9857:W=5.22551e-10;high@0.6899:W=1.3037e-08;high@0.6915:W=1.27815e-08;high@0.6953:W=1.227e-08;high@0.9851:W=5.80737e-10,low@0.0885:W=6.28271e-05;low@0.9857:W=5.22551e-10;high@0.6899:W=1.3037e-08;high@0.6915:W=1.27815e-08;high@0.6953:W=1.227e-08;high@0.9851:W=5.80737e-10
nstxuG142301W29/N9/egn09w.2524E+02,nstxuG142301W29,candidate,9,5.023946050934203,-7.54028833534033e-11,,,below_upper2,0.9820301406197115,0.9999999302277874,0.065,lower_max,0.065,0.0,0.008314382220796609,0.9968609156261783,0.0693075495857249,5,0,5,6.348754314378927e-08,0.0,6.348754314378927e-08,6.348754314378927e-08,True,True,True,True,True,low@0.9859:W=6.85989e-10;high@0.5747:W=6.34875e-08;high@0.5830:W=5.30811e-09;high@0.5919:W=1.20054e-08;high@0.9852:W=6.63125e-10,low@0.9859:W=6.85989e-10;high@0.5747:W=6.34875e-08;high@0.5830:W=5.30811e-09;high@0.5919:W=1.20054e-08;high@0.9852:W=6.63125e-10
nstxuG142301W29/N10/egn10w.1775E+02,nstxuG142301W29,candidate,10,4.21345976787017,-2.125604391228435e-06,,,below_upper2,0.9962427244788392,0.9999863799481281,0.21,lower_max,0.215,0.0050000000000000044,0.0021771305522953793,0.9763620070144585,0.07037758824614077,6,0,6,0.0006979278894987777,0.0,0.0006979278894987777,7.680404918121334e-07,True,True,True,True,True,low@0.0719:W=3.39976e-07;low@0.1087:W=9.18895e-07;low@0.1523:W=0.000697928;low@0.9851:W=3.86252e-07;high@0.7326:W=7.6804e-07;high@0.9850:W=3.92981e-07,low@0.0719:W=3.39976e-07;low@0.1087:W=9.18895e-07;low@0.1523:W=0.000697928;low@0.9851:W=3.86252e-07;high@0.7326:W=7.6804e-07;high@0.9850:W=3.92981e-07
